context,id,iiif_format,profile,resource,substance,creator,date,description,format,collection,size-in-cm,access-rights,medium,keyword,title,type,repository,source
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:48/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:48/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],['Commencement de la 1er Cataracte N. 161A'],['image/jpg'],['19th Century photographs'],['26.6 x 20.6'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['Officers; Nile river; cataract'],['The first cataract'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/48"">The first cataract</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:49/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:49/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],['no. 36? Vues Generales des tombeaux'],['image/jpg'],['19th Century photographs'],['26 x 20.7'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['minarets; domes; Citadel; stones; rubble'],['General view of the Citadel from the cemetery'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/49"">General view of the Citadel from the cemetery</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:50/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:50/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],"[""Porte precedant le sanctuaire d'Edfu, 45A""]",['image/jpg'],['19th Century photographs'],['26.8 x 21'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['temples; columns'],['Door leading to the sanctuary of Edfu Temple'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/50"">Door leading to the sanctuary of Edfu Temple</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:51/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:51/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],"[""Partie posterieure du temple d'Edfou, 47A""]",['image/jpg'],['19th Century photographs'],['27 x 21.1'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['walls; temples'],['Edfu Temple'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/51"">Edfu Temple</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:52/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:52/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],"[""Partie posterieure du temple d'Edfou, 46A""]",['image/jpg'],['19th Century photographs'],['27 x 21.2'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['walls; temples'],['Wall in Edfu Temple'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/52"">Wall in Edfu Temple</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:53/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:53/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],"['Les villageois attendant S.A. le Khedive Korosko, 75A']",['image/jpg'],['19th Century photographs'],['26.4 x 20.6'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['Nubia: tennts; camels'],['Nubians waiting for the arrival of the Khedive'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/53"">Nubians waiting for the arrival of the Khedive</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:54/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:54/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],"[""Le temple d'Hathor, Denderah, 34A""]",['image/jpg'],['19th Century photographs'],['26.8 x 21'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['facades; temples; columns'],['Hathor Temple in Dandara'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/54"">Hathor Temple in Dandara</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:55/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:55/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],"[""Chapiteaux du grand temple d'Hathor, 35A""]",['image/jpg'],['19th Century photographs'],['27 x 21'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['columns; capitals; temples'],"[""Capitals in Hathor's Temple in Dandara""]",['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/55"">Capitals in Hathor\'s Temple in Dandara</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:56/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:56/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],"[""La cour du temple d'Edfou. 43A""]",['image/jpg'],['19th Century photographs'],['27 x 21.4'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['temples; columns'],['His Majesty Khedive Tewfik at the inner court of Edfu Temple.'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/56"">His Majesty Khedive Tewfik at the inner court of Edfu Temple.</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll38:57/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll38:57/full/full/0/default.jpg,['Albumin'],['Abdullah Frères'],['1890-1899'],"[""Interieure du temple d'Edfou, 44A""]",['image/jpg'],['19th Century photographs'],['27.1 x 21'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['photographic prints'],['temples; columns'],['Interior of Edfu Temple'],['Still Image'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll38/id/57"">Interior of Edfu Temple</a></span>']"
