context,id,iiif_format,profile,resource,architectural-detail-arabic,architectural-detail-english,acknowledgements,location-english,date-created,description,format,license,location-arabic,medium,original-identifier,collector,collection,access-rights,site-english,site-arabic,source,subject-arabic,subject-english,title-english,title-arabic,topic-english,topic-arabic,type,repository,photographer,extent-in-cm
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1883/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1883/full/full/0/default.jpg,['الأبراج ؛ الصخور'],['towers; stones'],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Al Jamālīyah; Cairo; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: The Bab an - Nasr - rear and wall going west and south""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",['الجمالية؛ شارع المعز لدين الله الفاطمي؛ القاهرة؛ مصر'],['photographic prints'],['A12 Pl.40 B/3'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Bab Al-Nasr'],['باب النصر'],"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1883"">Bab al-Nasr</a></span>']",['باب الفتوح (القاهرة، مصر)؛ البوابات--مصر--القاهرة العمارة الإسلامية--مصر--تاريخ؛ العمارة، الفاطمية--مصر—القاهرة'],"['Bāb al-Futūḥ (Cairo, Egypt); Gates—Egypt—Cairo; Islamic architecture—Egypt—History; Architecture, Fatimid--Egypt—Cairo']",['Bab al-Nasr'],['باب النصر'],"['Architecture, Fatimid']",['البوابات؛ العمارة الفاطمية'],['Still Image'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1884/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1884/full/full/0/default.jpg,,['domes; minarets; arches '],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Moqattam; Cairo; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: Mosque of el-Guyushi: North side""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",,['photographic prints'],['A12 Pl.27 B/5 c.1 (1/2)'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Juyushi Mosque'],,"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1884"">Minaret and Dome of the Mosque of al-Guyushi</a></span>']",,,['Minaret and Dome of the Mosque of al-Guyushi'],,,,['Still Image'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1885/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1885/full/full/0/default.jpg,,['arches; mausoleums'],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Aswān; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: No.4""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",,['photographic prints'],['A12 Pl.1 D/6 c.2 (2/2)'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,,"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1885"">Interior view of the Mausoleums of Aswan</a></span>']",,,['Interior view of the Mausoleums of Aswan'],,,,['Still Image'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1886/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1886/full/full/0/default.jpg,['الأبراج ؛ الصخور؛ الأقواس'],['towers; stones; arches'],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Al Jamālīyah; Cairo; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: The Bab an - Nasr - rear face, before restoration and clearance""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",['الجمالية؛ شارع المعز لدين الله الفاطمي؛ القاهرة؛ مصر'],['photographic prints'],['A12 Pl.39 A/5 c.2 (2/2)'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Bab Al-Nasr'],['باب النصر'],"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1886"">Bab al-Nasr</a></span>']",['باب الفتوح (القاهرة، مصر)؛ البوابات--مصر--القاهرة العمارة الإسلامية--مصر--تاريخ؛ العمارة، الفاطمية--مصر—القاهرة'],"['Bāb al-Naṣr (Cairo, Egypt); Gates—Egypt—Cairo; Islamic architecture—Egypt—History; Architecture, Fatimid--Egypt—Cairo']",['Bab al-Nasr'],['باب النصر'],"['Architecture, Fatimid']",['البوابات؛ العمارة الفاطمية'],['Still Image'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1887/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1887/full/full/0/default.jpg,,['minarets; bricks; inscriptions'],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Aswān; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: Aswan: minaret in Tabia""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",,['photographic prints'],['A12 Pl.23 B/5 c.1 (1/2)'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['El-Tabia Mosque'],,"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1887"">Minaret of El-Tabia Mosque</a></span>']",,,['Minaret of El-Tabia Mosque'],,,,['Still Image'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1888/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1888/full/full/0/default.jpg,['الأبراج ؛ الصخور؛ المداخل'],['towers; stones; arches'],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Al Jamālīyah; Cairo; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: The Bab an - Nasr - south side, before restoration and clearance""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",['الجمالية؛ شارع المعز لدين الله الفاطمي؛ القاهرة؛ مصر'],['photographic prints'],['A12 Pl.39 B/5 c.1 (1/2)'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Bab Al-Nasr'],['باب النصر'],"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1888"">Bab al-Nasr</a></span>']",['باب الفتوح (القاهرة، مصر)؛ البوابات--مصر--القاهرة العمارة الإسلامية--مصر--تاريخ؛ العمارة، الفاطمية--مصر—القاهرة'],"['Bāb al-Naṣr (Cairo, Egypt); Gates—Egypt—Cairo; Islamic architecture—Egypt—History; Architecture, Fatimid--Egypt—Cairo']",['Bab al-Nasr'],['باب النصر'],"['Architecture, Fatimid']",['البوابات؛ العمارة الفاطمية'],['Still Image'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1889/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1889/full/full/0/default.jpg,['الأبراج ؛ الصخور'],['towers; stones'],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Al Jamālīyah; Cairo; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: The Bab an - Nasr - rear face, before removal of workshop""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",['الجمالية؛ شارع المعز لدين الله الفاطمي؛ القاهرة؛ مصر'],['photographic prints'],['A12 Pl.39 C/5 c.1 (1/2)'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Bab Al-Nasr'],['باب النصر'],"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1889"">Bab al-Nasr</a></span>']",['باب الفتوح (القاهرة، مصر)؛ البوابات--مصر--القاهرة العمارة الإسلامية--مصر--تاريخ؛ العمارة، الفاطمية--مصر—القاهرة'],"['Bāb al-Naṣr (Cairo, Egypt); Gates—Egypt—Cairo; Islamic architecture—Egypt—History; Architecture, Fatimid--Egypt—Cairo']",['Bab al-Nasr'],['باب النصر'],"['Architecture, Fatimid']",['البوابات؛ العمارة الفاطمية'],['Still Image'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1890/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1890/full/full/0/default.jpg,,['domes; arches; mausoleums; bricks; inscriptions'],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Aswān; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: The Masuoleums at Aswan. No.20""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",,['photographic prints'],['A12 Pl.5 C/6'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,,"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1890"">Mausoleums of Aswan</a></span>']",,,['Mausoleums of Aswan'],,,,['Still Image'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1891/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1891/full/full/0/default.jpg,,['domes; arches; mausoleums; bricks'],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Aswān; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: The Masuoleums at Aswan. No.31""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",,['photographic prints'],['A12 Pl.8 A/6'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,,"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1891"">Mausoleums of Aswan</a></span>']",,,['Mausoleums of Aswan'],,,,['Still Image'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll14:1892/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll14:1892/full/full/0/default.jpg,,['mihrabs; stucco; carvings; inscriptions'],['The K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture was donated to the American University in Cairo by K.A.C. Creswell.'],['Moqattam; Cairo; Egypt'],['ca. late 19th century or early 20th century'],"[""Collector's Description: Mosque of al-Guyushi: mihrab""]",['image/jpg'],"['Copyright 2012, American University in Cairo. All rights reserved.']",,['photographic prints'],['A12 Pl.29 B/5 c.3 (3/4)'],"['Creswell, K. A. C. (Keppel Archibald Cameron), 1879-1974']",['K.A.C. Creswell Photographs of Islamic Architecture'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Juyushi Mosque'],,"['K.A.C. Creswell Oversized Photograph Albums; K.A.C. Creswell Photographs; K.A.C. Creswell Papers and Photograph Collection of Islamic Architecture; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll14/id/1892"">Minaret and Dome of the Mosque of al-Guyushi</a></span>']",,,['Minaret and Dome of the Mosque of al-Guyushi'],,,,['Still Image'],['Rare Books and Special Collections Digital Library '],,
