context,id,iiif_format,profile,resource,collection,coordinated-longitude,coordinates-latitude,date,location-getty-thesaurus-of-geographic-names-tgn,location-english-name,location-arabic,object-identifier,project-type,creator,access-rights,license,source,subject-aat,title-english,title-arabic,title-inscribed,title-alternative,repository
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:11/manifest.json,"['image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:6/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:7/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:8/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:9/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:10/full/full/0/default.jpg']",['Hassan Fathy Architectural Archives'],['31.2218'],['31.1742'],['1934'],"['Biyala, Kafr ash Shaykh, Egypt']","['Biyala, Kafr al-Shaykh, Kafr El Sheikh, Egypt.']",['بيلة، كفر الشيخ، مصر'],['HF 34.02'],"['Residence, House, Villa']","['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/11"">Abd al-Halim al-Biyali House</a></span>']","['Houses, Dwelling']",['Abd al-Halim al-Biyali House'],['منزل سعادة عبد الحليم البيلي بك'],['منزل سعادة عبد الحليم البيلي بك ببيلة مسقط عمومى للأرض وتوقيع المنزل'],['Abdel Halim al-Biyali House'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:19/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:18/full/full/0/default.jpg,['Hassan Fathy Architectural Archives'],['31.27113003'],['30.04498281'],['1946'],"['Salah Salem Street, Cairo, Egypt']",['Shari Salah Salim'],['شارع صلاح سالم، القاهرة، مصر'],['HF 46.01'],['Mausoleum'],"['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/19"">Ahmad Hassanein Mausoleum</a></span>']",['Tombs & sepulchral monuments'],['Ahmad Hassanein Mausoleum'],['مدفن احمد حسانين باشا'],['مدفن المغفور له احمد حسنين باشا'],['Ahmed Hasanayn Mausoleum'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:21/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:20/full/full/0/default.jpg,['Hassan Fathy Architectural Archives'],['31.1667'],['29.9667'],"['Undated, 1940s']","['Al Ḩarrānīyah, Giza, Egypt']","['Al- Haraneyah, Jīzah ']",['الحرانية، الجيزة، مصر'],['HF 4-.07'],['Town'],"['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/21"">al-Harraniyah Village</a></span>']",['Villages'],['al-Harraniyah Village'],['مشروع قرية الحرانية'],['مشروع قرية الحرانية'],"['Harania,al-Harraniya']",['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:29/manifest.json,"['image/jpeg', 'image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:26/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:27/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:28/full/full/0/default.jpg']",['Hassan Fathy Architectural Archives'],['31.23127611'],['30.02319774'],"['Undated, 1930s']","['Fomm el-Khalig, Cairo, Egypt\u202c']","['Fam al Khalij, Fom al Khalig']",['فم الخليج، القاهرة، مصر'],['HF 3-.01'],"['Residence, House, Villa, Multiple Dwellings, Apartment House']","['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/29"">al-Sada al-Bakriyya Villa-Apartment House House </a></span>']","['Apartment houses, Villas, Dwellings']",['al-Sada al-Bakriyya Villa-Apartment House House '],['منزل السادة البكرية'],['Villa- Apartment House At Fomm El-Kalig For The Sada El Bakreya'],['Al-Sadah al-Bakriyya Villa-Apartment House '],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:31/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:30/full/full/0/default.jpg,['Hassan Fathy Architectural Archives'],['30.85'],['30'],"['Undated,\r\n1960s']","['Giza, Egypt']",['Jīzah'],['الجيزة، مصر'],['HF 6-.02'],"['Apartment, Residence']","['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/31"">Ali Fathy Apartment</a></span>']","['Apartments, Dwellings']",['Ali Fathy Apartment'],['شقة علي فتحي'],['----'],"[""Aly/'Ali""]",['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:34/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:32/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:33/full/full/0/default.jpg']",['Hassan Fathy Architectural Archives'],,,['1963'],['Unidentified Location'],,['الموقع غير معروف'],['HF 63.05'],"['Residence, Multiple Dwellings, Apartment Houses']","['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/34"">Duplex Building</a></span>']","['Duplexes, Dwellings']",['Duplex Building'],['مبني دوبلكس'],,,['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:36/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:35/full/full/0/default.jpg,['Hassan Fathy Architectural Archives'],['31.20868323'],['30.02989165'],['1947'],"['Giza, Egypt']",['Jīzah'],['الجيزة، القاهرة'],['HF 45.03'],"['Student Housing, Dormitory, Multiple Dwellings']","['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/36"">Cairo University Hostel</a></span>']",['Dormitories; Dwellings'],['Cairo University Hostel'],['مدينة فاروق الأول الجامعية (جامعة القاهرة)'],['مدينة فاروق الأول الجامعية'],,['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:48/manifest.json,"['image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:37/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:38/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:39/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:40/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:41/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:42/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:43/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:44/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:45/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:46/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:47/full/full/0/default.jpg']",['Hassan Fathy Architectural Archives'],['31.25'],['29.9667'],['1949'],"[""Ma'adi, Cairo, Egypt""]","['Maadi, Qahirah']",['المعادي، القاهرة، مصر'],['HF 49.02'],"['Villa, House, Residence']","['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/48"">Aziza Hassanein Villa \u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c</a></span>']","['Villas, Dwellings']",['Aziza Hassanein Villa \u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c'],['فيلا عزيزة هانم حسانين'],['فيلا حضرة صاحبة العصمة عزيزة هانم حسانين بناحية المعادي علي النيل'],"['‘Aziza, Azizah Hasaniyn/ Hassanen/ Hassanayn']",['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:59/manifest.json,"['image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:49/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:50/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:51/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:52/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:53/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:54/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:55/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:56/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:57/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:58/full/full/0/default.jpg']",['Hassan Fathy Architectural Archives'],['31.24158117'],['30.04115662'],['1933'],"['al-Dakhliah Street (Shaikh Rihan),  Abidin,  Cairo, Egypt\u202c\u202c\u202c']","['Shari al-Dakhiliyah, El-Shaikh Rihan street, al-Shaykh Rayhan, Abdeen, Qahirah']",['شارع الداخلية (الشيخ ريحان)، القاهرة، مصر'],['HF 33.01'],"['Commercial Building, Print Shop']","['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/59"">El Sabah Newspaper Print House</a></span>']",,['El Sabah Newspaper Print House'],['مطبعة جريدة الصباح'],"['Proprieté de Mustafa Bey el-Kachachi, Imprimerie Aboul-Hol & El Sabah, Rue El Dakhlieh Caire']",['Al-Sabah Newspaper Print House'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll13:70/manifest.json,"['image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:60/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:61/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:62/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:63/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:64/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:65/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:66/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:67/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:68/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll13:69/full/full/0/default.jpg']",['Hassan Fathy Architectural Archives'],['31.24787947'],['30.06128377'],['1932'],"['Bab al-Hadid, Ramsis, \u202c\u202c\u202cCairo, Egypt\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c\u202c']","['Ramsis Square, Maydan Ramsis, al-Qahirah']",['باب الحديد (ميدان رمسيس حالياً)، القاهرة، مصر'],['HF 32.01'],"['Commercial Building, Restaurant']","['Fathy, Hassan']",['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],"['Copyright 2015, American University in Cairo. All rights reserved.']","['Rare Books and Special Collections Library, The American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll13/id/70"">Bosphore Casino</a></span>']",['Casinos'],['Bosphore Casino'],['كازينو البسفور'],"['Projet Du Casino Bosphore, Propriete des Mesrs Koudsy Freres, Place Bab El-Hadid']",,['Rare Books and Special Collections Digital Library ']
