context,id,iiif_format,profile,resource,location-governorate-transliteration,creator,date,format,medium,source,location-governorate-english,location-governorate-arabic,location-country-english,location-country-arabic,location-governorate-alternative,identifier,rights,collection,subject-lc,title-by-creator,title-arabic,type,repository,titles-new
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:296/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:296/full/full/0/default.jpg,['Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/296"">Loading and gleaning wheat</a></span>']",['Assuit governate'],['محافظة أسيوط'],['Egypt'],['مصر'],"[""As'jut, Assiout, Assiut, Assuit, Asyut, Asyūţ, Licopolis, Likupulis, Lycopolis, Līkūpūlīs, Siut, asywt, Асьют""]",['Hopkins_061'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Egypt--Rural conditions; Agriculture -- Egypt.'],['Loading and gleaning wheat'],['تحميل القمح وجمعة'],['still image'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:297/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:297/full/full/0/default.jpg,['Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/297"">Jehan and Zeinab</a></span>']",['Assuit governate'],['محافظة أسيوط'],['Egypt'],['مصر'],"[""As'jut, Assiout, Assiut, Assuit, Asyut, Asyūţ, Licopolis, Likupulis, Lycopolis, Līkūpūlīs, Siut, asywt, Асьют""]",['Hopkins_032'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Egypt--Rural conditions; '],['Jehan and Zeinab'],['جيهان وزينب'],['still image'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:298/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:298/full/full/0/default.jpg,['Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/298"">Threshing wheat, clearing</a></span>']",['Assuit governate'],['محافظة أسيوط'],['Egypt'],['مصر'],"[""As'jut, Assiout, Assiut, Assuit, Asyut, Asyūţ, Licopolis, Likupulis, Lycopolis, Līkūpūlīs, Siut, asywt, Асьют""]",['Hopkins_087'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Egypt--Rural conditions; Agriculture -- Egypt.'],"['Threshing wheat, clearing']",['درس القمح، والتطهير'],['still image'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:299/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:299/full/full/0/default.jpg,['Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/299"">Releasing straw</a></span>']",['Assuit governate'],['محافظة أسيوط'],['Egypt'],['مصر'],"[""As'jut, Assiout, Assiut, Assuit, Asyut, Asyūţ, Licopolis, Likupulis, Lycopolis, Līkūpūlīs, Siut, asywt, Асьют""]",['Hopkins_136'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Egypt--Rural conditions; Agriculture -- Egypt.'],['Releasing straw'],['فصل القش'],['still image'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:300/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:300/full/full/0/default.jpg,['Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/300"">Pump house and dog</a></span>']",['Assuit governate'],['محافظة أسيوط'],['Egypt'],['مصر'],"[""As'jut, Assiout, Assiut, Assuit, Asyut, Asyūţ, Licopolis, Likupulis, Lycopolis, Līkūpūlīs, Siut, asywt, Асьют""]",['Hopkins_042'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Egypt--Rural conditions; Agriculture -- Egypt.'],['Pump house and dog'],['منزل المضخة والكلب'],['still image'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:301/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:301/full/full/0/default.jpg,['Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/301"">Loading straw</a></span>']",['Assuit governate'],['محافظة أسيوط'],['Egypt'],['مصر'],"[""As'jut, Assiout, Assiut, Assuit, Asyut, Asyūţ, Licopolis, Likupulis, Lycopolis, Līkūpūlīs, Siut, asywt, Асьют""]",['Hopkins_101'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Egypt--Rural conditions; Agriculture -- Egypt.'],['Loading straw'],['تحميل القش'],['still image'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:302/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:302/full/full/0/default.jpg,['Al Qūsīyah; Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/302"">Team at Adhra Monastery</a></span>']","['El Quseyya, Assiut governate']",['القوصية، محافظة أسيوط'],['Egypt'],['مصر'],"['Cusae, Qesy']",['Hopkins_027'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Egypt--Rural conditions; '],['Team at Adhra Monastery'],['الفريق فى دير العذراء'],['still image'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:303/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:303/full/full/0/default.jpg,['Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/303"">CRS thresher</a></span>']",['Assuit governate'],['محافظة أسيوط'],['Egypt'],['مصر'],"[""As'jut, Assiout, Assiut, Assuit, Asyut, Asyūţ, Licopolis, Likupulis, Lycopolis, Līkūpūlīs, Siut, asywt, Асьют""]",['Hopkins_092'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Egypt--Rural conditions; Agriculture -- Egypt.; Agricultural machinery -- Egypt.'],['CRS thresher'],['آلة الدراس'],['still image'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:304/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:304/full/full/0/default.jpg,['Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/304"">CRS thresher sorghum</a></span>']",['Assuit governate'],['محافظة أسيوط'],['Egypt'],['مصر'],"[""As'jut, Assiout, Assiut, Assuit, Asyut, Asyūţ, Licopolis, Likupulis, Lycopolis, Līkūpūlīs, Siut, asywt, Асьют""]",['Hopkins_096'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Agriculture -- Egypt.; Agricultural machinery -- Egypt.'],['CRS thresher sorghum'],['دراس الذرة '],['still image'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll12:305/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll12:305/full/full/0/default.jpg,['Asyūţ governate; Egypt'],"['Hopkins, Nicholas S.']",['1980'],['image/jpeg'],['color photographs'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll12/id/305"">Two boys</a></span>']",['Assuit governate'],['محافظة أسيوط'],['Egypt'],['مصر'],"[""As'jut, Assiout, Assiut, Assuit, Asyut, Asyūţ, Licopolis, Likupulis, Lycopolis, Līkūpūlīs, Siut, asywt, Асьют""]",['Hopkins_034'],"['Copyright 2015, American University in Cairo. All rights reserved.; To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Nicholas S. Hopkins Personal Papers'],['Egypt--Rural conditions; '],['Two boys'],['ولدان'],['still image'],['Rare Books and Special Collections Digital Library '],
