context,id,iiif_format,profile,resource,acknowledgments,alternative-title,access-rights,extent,location,photographer,date,format,identifier,language,getty-aat,collection,license,source,subject,title,type,repository
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:0/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:0/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['Darabouka player'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/0"">No. 31, Joueuse de Darabouka</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History; Games'],"['No. 31, Joueuse de Darabouka']",['Still Image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:1/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:1/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['Group of whirling dervishes'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/1"">No. 33, Derwiches tourneurs (Groupe)</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History; Performers'],"['No. 33, Derwiches tourneurs (Groupe)']",['Still Image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:2/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:2/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['Arab women going to the washroom'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/2"">No. 65, Femmes arabes allant au bain</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History'],"['No. 65, Femmes arabes allant au bain']",['Still Image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:3/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:3/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['Sais (A Stable Groom)'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/3"">No. 21, Sais (Palfrenier)</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History'],"['No. 21, Sais (Palfrenier)']",['Still Image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:4/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:4/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['[Scribes]'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/4"">No. 1, [illegible]</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History'],"['No. 1, [illegible]']",['Still Image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:5/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:5/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['Jewerly merchant'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/5"">No. 56, Marchande de Verroteries</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History; Merchants -- Egypt'],"['No. 56, Marchande de Verroteries']",['Still Image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:6/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:6/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['Whirling Dervish'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/6"">No. 7, Derwishe tourneur</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History; Performers'],"['No. 7, Derwishe tourneur']",['Still Image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:8/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:8/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['Dervish'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/8"">No. 10, Derwishe [illegible]</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History; Performers'],"['No. 10, Derwishe [illegible]']",['Still Image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:9/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:9/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['Beggar'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/9"">No. 41, Mandiant [mendiant]</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History; Beggars -- Egypt'],"['No. 41, Mandiant [mendiant]']",['Still Image'],['Rare Books and Special Collections Digital Library ']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll16:10/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll16:10/full/full/0/default.jpg,"[""The Rare Books and Special Collections Library would like to thank Philip Maritz for donating digital surrogates of Émile Béchard's Oriental Studies Photographs.""]",['[Water carrier]'],['Access to high-resolution master file restricted to RBSCL staff only. Please contact the RBSCL at rbscl-ref@aucegypt.edu or 2615-3676 to request access to master files.'],['27.2 x 20 cm'],"['Cairo, Egypt']","['Béchard, Émile']",['1870s'],['image/jpeg'],['SC-2016-09'],['French'],['albumen prints'],"[""Philip Maritz Collection of Émile Béchard's Photographs of Egypt""]",['This item is in the public domain'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll16/id/10"">No. 32, Hemeli\'l</a></span>']",['Ethnology -- Egypt; Egypt -- Social life and customs -- 19th century -- Pictorial works; Photography -- Egypt -- History; Water carriers -- Egypt -- Cairo'],"[""No. 32, Hemeli'l""]",['Still Image'],['Rare Books and Special Collections Digital Library ']
