context,id,iiif_format,profile,resource,access-rights,location,date,format,genre-aat,identifier,source,rights,collection,subject,title,type,repository,publisher
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:2/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:0/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:1/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Cairo; Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_29_b'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/2"">Mena House Hotel - Pyramids</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],['Hotels--Egypt--Cairo; '],['Mena House Hotel - Pyramids'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:5/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:3/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:4/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Cairo; Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_35_a'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/5"">CAIRO - Monument of Ibrahim Pacha</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],"['Statues; Ibrahim, Pasha, 1789-1848']",['CAIRO - Monument of Ibrahim Pacha'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],['The Cairo Postcard Trust']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:8/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:6/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:7/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Mit Ruhaynah; Giza; Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_47_a'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/8"">Memphis - The Alabaster Sphinx</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],['Statues; Memphis (Extinct city)--Antiquities; Sphinxes--Egypt'],['Memphis - The Alabaster Sphinx'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],"['Lehnert & Landrock, Cairo']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:11/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:9/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:10/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Cairo; Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_55_c'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/11"">[Feluccas]</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],['Nile River; Boats'],['[Feluccas]'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:14/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:12/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:13/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Cairo; Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_34_b'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/14"">Cairo - Midan Squares</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],['Streets--Egypt--Cairo'],['Cairo - Midan Squares'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],"['Lehnert & Landrock, Cairo']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:17/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:15/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:16/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Cairo; Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_53_a'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/17"">Egyptian Types and Scenes. - Egyptian Landscape.</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],,['Egyptian Types and Scenes. - Egyptian Landscape.'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],"['Léon & Lévy, Paris']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:20/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:18/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:19/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Pyramids of Giza; Giza; Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_53_b'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/20"">The Nile at the Pyramid</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],['Nile River; Pyramids of Giza (Egypt); Egypt--Antiquities'],['The Nile at the Pyramid'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:23/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:21/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:22/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_58_b'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/23"">Village arabe</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],['Villages--Egypt'],['Village arabe'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],['The Cairo Postcard Trust']
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:26/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:24/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:25/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Heliopolis; Cairo; Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_46_a'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/26"">Heliopolis - Palace Hotel in the Arabian Desert</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],['Hotels--Egypt--Cairo'],['Heliopolis - Palace Hotel in the Arabian Desert'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll21:29/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:27/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll21:28/full/full/0/default.jpg']","['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Alexandria; Egypt'],['ca. late 19th century or early 20th century'],['image/jpeg'],['postcards'],['Postc_B1_4_d'],"['Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll21/id/29"">ALEXANDRIA - Mohamed Aly Place</a></span>']",['We believe that there are no copyright restrictions on the use of this image.'],['Postcard Collection'],"['Alexandria (Egypt)--Buildings, structures, etc.']",['ALEXANDRIA - Mohamed Aly Place'],['Still Image; Text'],['Rare Books and Special Collections Digital Library '],['The Cairo Postcard Trust']
