context,id,iiif_format,profile,resource,acknowledgements,location,date-created,description,format,extent,medium,identifier,language,original-identifier,collection,access-rights,license,source,subject,topic,title,type,publisher,repository,architectural-detail,name
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:2/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:0/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:1/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],['Port Said; Port Said governorate; Egypt; Africa'],['1897'],['Suez Canal'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-001'],['English'],['1'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/2"">The Suez Canal at Port Said, Egypt.</a></span>']",['Boats; Canals'],['Commerce'],"['The Suez Canal at Port Said, Egypt.']",['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:5/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:3/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:4/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],['Az-Zaqāzīq; Ash Sharqīyah governorate; Egypt; Africa'],['1896'],['Ali Kaka dancers'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-002'],['English'],['2'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/5"">Ali Kaka Dancers at the Arab Market, Zakazik, Egypt.</a></span>']",['Dancers; Markets; Musicians; Spectators'],['Performing arts'],"['Ali Kaka Dancers at the Arab Market, Zakazik, Egypt.']",['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:8/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:6/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:7/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],['Pyramids of Giza; Al-Jīzah governorate; Egypt; Africa'],['1896'],['Women herding goats'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-004'],['English'],['4'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/8"">The road to the pyramids, Egypt.</a></span>']",['Donkeys; Goats; Herders; Pitchers; Pyramids; Tombs & sepulchral monuments'],['Antiquities; Herding'],"['The road to the pyramids, Egypt.']",['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:11/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:9/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:10/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],['Pyramids of Giza; Al-Jīzah governorate; Egypt; Africa'],['1896'],['Man seated on a camel'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-005'],['English'],['5'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/11"">The Farewell Offering-Leaving for the Desert-Egypt.</a></span>']",['Camels; Men; Pyramids; Flood; Tombs & sepulchral monuments; Puddles'],['Antiquities; Transportation'],['The Farewell Offering-Leaving for the Desert-Egypt.'],['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:14/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:12/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:13/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],"['Ad Darb al Aḩmar; Al Khalīfah;  Muqaţţam, Jabal al; Al-Qāhirah governorate; Egypt; Africa']",['1897'],['Birds-eye view of Cairo; the photograph is taken from the hills of Muqaţţam.'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-003'],['English'],['3'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/14"">Cairo, Egypt--The City of the Khalifs.</a></span>']",['Donkeys; Men; Mosques'],"['Architecture, Islamic']","['Cairo, Egypt--The City of the Khalifs.']",['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],['minarets'],
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:17/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:15/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:16/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],['Pyramids of Giza; Al-Jīzah governorate; Egypt; Africa'],['1896'],['Sphinx and pyramids at Giza'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-006'],['English'],['6'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/17"">Ruins of the Temple, Sphinx and Great Pyramid, Egypt.</a></span>']",['Camels; Men; Pyramids; Sphinx; Tombs & sepulchral monuments'],['Antiquities; Excavations (Archaeology)'],"['Ruins of the Temple, Sphinx and Great Pyramid, Egypt.']",['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:20/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:18/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:19/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],['Pyramids of Giza; Al-Jīzah governorate; Egypt; Africa'],['1896'],['Men standing on the Sphinx; Pyramid complex of Khafre is visible in the background.'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-007'],['English'],['7'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/20"">The Sphinx and Pyramid of Chefren, Egypt.</a></span>']",['Camels; Men; Pyramids; Sphinx; Tombs & sepulchral monuments'],['Antiquities'],"['The Sphinx and Pyramid of Chefren, Egypt.']",['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],,"['Chefren, King of Egypt']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:23/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:21/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:22/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],['Pyramids of Giza; Al-Jīzah governorate; Egypt; Africa'],['1896'],['Men climbing the Great Pyramid'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-009'],['English'],['9'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/23"">Climbing Cheops, the greatest of the Pyramids, Egypt.</a></span>']",['Men; Pyramids; Tombs & sepulchral monuments'],['Antiquities'],"['Climbing Cheops, the greatest of the Pyramids, Egypt.']",['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],,"['Cheops, King of Egypt']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:26/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:24/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:25/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],['Pyramids of Giza; Al-Jīzah governorate; Egypt; Africa'],['1897'],['Mena House hotel dining room'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-010'],['English'],['10'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/26"">The Mena House Dining Room, at the Gizeh Pyramids, Egypt.</a></span>']",['Dining rooms; Hotels; Waiters'],"['Architecture, Islamic']","['The Mena House Dining Room, at the Gizeh Pyramids, Egypt.']",['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],,
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll8:29/manifest.json,"['image/jpeg', 'image/jpeg']","['http://iiif.io/api/image/2/level1.json', 'http://iiif.io/api/image/2/level1.json']","['https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:27/full/full/0/default.jpg', 'https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll8:28/full/full/0/default.jpg']",['The Underwood & Underwood Egypt Stereoviews collection was donated by American University in Cairo President Richard F. Pedersen.'],['Pyramids of Giza; Al-Jīzah governorate; Egypt; Africa'],['1897'],['Great Pyramid in Giza'],['image/jp2'],['17.7 x 9 cm.'],['stereoscopic photographs; albumen prints'],['SC-1985-01-02-008'],['English'],['8'],['Underwood & Underwood Egypt Stereoviews'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['This item is in the public domain. '],"['Underwood & Underwood Egypt Stereoviews; Stereoscopic Photographs Collection; Rare Books and Special Collections Library; American University in Cairo', '<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll8/id/29"">Cheops, the Greatest of the Pyramids, Egypt.</a></span>']",['Camels; Men; Pyramids; Tombs & sepulchral monuments'],['Antiquities'],"['Cheops, the Greatest of the Pyramids, Egypt.']",['Still Image'],['Underwood & Underwood Publishers'],['Rare Books and Special Collections Digital Library '],,"['Cheops, King of Egypt']"
