context,id,iiif_format,profile,resource,license,subject,collection,creator,date,description,size-h-x-w-cm,photo-term,type,access-rights,location,title-arabic,title-english,medium,repository,source
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:0/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:0/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",['self-portrait'],['Van-Leo Photographic Collection'],['Van-Leo'],['1942'],"['Self-portrait (seated) of a Van-Leo, taken in Cairo in the 1940s, showing a studio setting.']",['39.7 x 30'],['self portrait'],['reproduction'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Cairo (Egypt)'],['صورة ذاتية للمصور فان-ليو'],['Self-portrait of Van-Leo sitting behind a desk in his studio'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/0"">Self-portrait of Van-Leo sitting behind a desk in his studio</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:1/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:1/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",,['Van-Leo Photographic Collection'],['Van-Leo'],['1950'],"['Self-portrait (three-quarter-length) of a woman, taken in Cairo in the 1950s, showing a studio setting.']",['40.2 x 30.3'],['portrait'],['photographic prints'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,['ماجدة الصباحي'],['Magda'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/1"">Magda</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:2/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:2/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",['heads; beards; boldness'],['Van-Leo Photographic Collection'],['Van-Leo'],['1945'],"['Three juxtaposed self-portraits (half figure) of Van-Leo, taken in Cairo in the 1940s.']",['30.3 x 40.3'],['self portrait'],['photographic prints'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Cairo (Egypt)'],['ثلاثة صور ذاتية للمصور فان-ليو مركبة'],['Three juxtaposed self-portraits of Van-Leo'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/2"">Three juxtaposed self-portraits of Van-Leo</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:3/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:3/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",['contrasts; hands; head cover'],['Van-Leo Photographic Collection'],['Van-Leo'],['1946'],"['Self-portrait (half figure) of a woman, taken in Cairo in the 1940s, showing a studio setting.']",['40.2 x 30.2'],['portrait'],['photographic prints'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,['الممثلة نيللي مظلوم'],['Nelly Mazloum Greek-Dancer Films'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/3"">Nelly Mazloum Greek-Dancer Films</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:4/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:4/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",['activist; hair; broach'],['Van-Leo Photographic Collection'],['Van-Leo'],['1950'],"['Self-portrait (profile) of a woman, taken in Cairo in the 1950s, showing a studio setting.']",['29.8 x 39.9'],['portrait'],['photographic prints'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,['درية شفيق'],['Doria Shafik'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/4"">Doria Shafik</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:5/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:5/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",['necklaces; frontal portrait'],['Van-Leo Photographic Collection'],['Van-Leo'],['1950'],"['Self-portrait (half figure) of a woman, taken in Cairo in the 1950s, showing a studio setting.']",['30.6 x 29.8'],['portrait'],['photographic prints'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,['مي مدور'],['May Medwar'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/5"">May Medwar</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:6/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:6/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",['curled hairs'],['Van-Leo Photographic Collection'],['Van-Leo'],['1945'],"['Single-sitter portrait (half figure) of a woman, taken in Cairo in the 1940s, showing a studio setting.']",['39.9 x 29.6'],['portrait'],['photographic prints'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,['أورسولا جينز'],['Miss Ursula Jeans'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/6"">Miss Ursula Jeans</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:7/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:7/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",['contrast; back light'],['Van-Leo Photographic Collection'],['Van-Leo'],['1950'],"['Single-sitter portrait (half figure) of a woman, taken in Cairo in the 1950s, showing a studio setting.']",['40.3 x 30.3'],['portrait'],['photographic prints'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,['سوزان طه حسين'],['Suzanne Taha Hussein'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/7"">Suzanne Taha Hussein</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:8/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:8/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",['close-up'],['Van-Leo Photographic Collection'],['Van-Leo'],['1950'],"['Single-sitter portrait (bust) of a woman, taken in Cairo in the 1950s, showing a studio setting.']",['39.7 x 29.8'],['portrait'],['photographic prints'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",,['أميرة أمير'],['Amira Amir'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/8"">Amira Amir</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm15795.contentdm.oclc.org/iiif/p15795coll10:9/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm15795.contentdm.oclc.org/iiif/2/p15795coll10:9/full/full/0/default.jpg,"['Copyright 2012, American University in Cairo. All rights reserved.']",['cigarette; beard; long hair; smoking; head'],['Van-Leo Photographic Collection'],['Van-Leo'],['1942'],"['Self-portrait (close-up) of Van-Leo, taken in Cairo in the 1940s.']",['29.8 x 40'],['self portrait - frontal'],['photographic prints'],"['To inquire about permissions or reproductions, contact the Rare Books and Special Collections Library, The American University in Cairo at +20.2.2615.3676 or rbscl-ref@aucegypt.edu.']",['Cairo (Egypt)'],['صورة ذاتية للمصور فان-ليو يدخن سيجارة'],['Bearded self portrait of Van-Leo smoking'],['black & white print'],['Rare Books and Special Collections Digital Library '],"['<span>From: <a href=""http://digitalcollections.aucegypt.edu/digital/collection/p15795coll10/id/9"">Bearded self portrait of Van-Leo smoking</a></span>']"
