id,description,rendering,thumbnail,homepage,catalogue-description,title,other-titles,shelfmark,language,extent,record-origin,collection,record-created,holding-institution,digitization-sponsor,author,date-statement,place-of-origin,provenance,acknowledgements,materials,slide-roll-title,digitization-project,translator,editors,scribe,former-owner,contents-note,layout,hand,dimensions,decoration,binding,origin-note,catalogue-identifier,contents,annotator,additional-information-sources
https://iiif.bodleian.ox.ac.uk/iiif/manifest/26a37a1e-c539-4d46-9da3-1edbe80f4552.json,['17 Kufic fragments.'],https://digital.bodleian.ox.ac.uk/objects/26a37a1e-c539-4d46-9da3-1edbe80f4552/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/c933e776-2f54-417d-b744-84dfcc53d4bd/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/c933e776-2f54-417d-b744-84dfcc53d4bd']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/26a37a1e-c539-4d46-9da3-1edbe80f4552/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_10110"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['قرآن كريم'],['Qurʼān'],['Bodleian Library MS. Arab. c. 38'],['Arabic'],['ff. 17.'],"[""Manuscript description based on the Bodleian Library's public card index of Arabic manuscripts with additional enhancements by the OCIMCO project team.""]",['Arabic Manuscripts and Maps'],['2021-04-20T14:06:05Z'],"['Bodleian Libraries, University of Oxford']",['<span>The Tolkien Trust</span>'],,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/8f8bcaeb-dd31-44c7-8d38-c14e119d12d8.json,A collection of fragments from Arabic manuscripts,https://digital.bodleian.ox.ac.uk/objects/8f8bcaeb-dd31-44c7-8d38-c14e119d12d8/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/116e4781-5b0a-4e76-9ebf-776cf672b42a/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/116e4781-5b0a-4e76-9ebf-776cf672b42a']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/8f8bcaeb-dd31-44c7-8d38-c14e119d12d8/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_22913"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['A collection of fragments from Arabic manuscripts'],,['Bodleian Library MS. Arab. c. 58 (P)'],['Arabic'],,,['Arabic Manuscripts and Maps'],['2021-09-29T09:00:21Z'],"['Bodleian Libraries, University of Oxford']",['<span>The Tolkien Trust</span>'],,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/44f2f044-27ba-4fe4-b753-c7558595113b.json,['2 works by anonymous authors on the subjects of Calligraphy and Koran.'],https://digital.bodleian.ox.ac.uk/objects/44f2f044-27ba-4fe4-b753-c7558595113b/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/f6df0c4d-95ce-4397-ad54-cf918ab41d76/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/f6df0c4d-95ce-4397-ad54-cf918ab41d76']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/44f2f044-27ba-4fe4-b753-c7558595113b/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_781"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['Specimens of Arabic and Persian calligraphy; Qurʼān'],,['Bodleian Library MS. Arab. c. 75'],['Arabic'],"['ff. 7, 1.']","[""Manuscript description based on the Bodleian Library's public card index of Arabic manuscripts with additional enhancements by the OCIMCO project team.""]",['Arabic Manuscripts and Maps'],['2021-04-20T14:10:57Z'],"['Bodleian Libraries, University of Oxford']",['<span>The Tolkien Trust</span>'],['Anonymous'],['8th or 9th century?'],,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/748a9d50-5a3a-440e-ab9d-567dd68b6abb.json,"['Incomplete late 12th or early 13th century copy, probably made in Egypt, of an anonymous work compiled in Egypt between AD 1020 and 1050. Contains a number of unique illustrations and rare texts. Erroneously attributed to ʻArabānī, ʻAbd al-Ghanī ibn Husām al-Dīn, d. 1450.', 'Contents: Divided into two books, one on celestial matters, one on the Earth.', 'Extent: ff. 48. Size of page: 324 x 245 mm. Size of written area: 291 x 226 mm.', 'Layout: 27 lines per page. Frame-ruled text area.', 'Hand: Medium-large Naskh script in dense black ink, with headings in red.', 'Decoration: 23 maps and diagrams.', 'Binding: Disbound, binding retained. 18th or 19th century Ottoman binding in poor condition.']",https://digital.bodleian.ox.ac.uk/objects/748a9d50-5a3a-440e-ab9d-567dd68b6abb/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/36ebabd9-4d62-4d8e-8e7b-1afd048e872e/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/36ebabd9-4d62-4d8e-8e7b-1afd048e872e']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/748a9d50-5a3a-440e-ab9d-567dd68b6abb/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_783"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']","[""Kitāb Gharāʼib al-funūn wa-mulaḥ al-ʻuyūn (كتاب غرائب الفنون وملح العيون) ('The Book of Curiosities')""]",,['Bodleian Library MS. Arab. c. 90'],['Arabic'],,"['Description in part based on Savage-Smith, E. and Rapoport, Y. (2013), An Eleventh-Century Egyptian Guide to the Universe, pp. 2-4.']",['Arabic Manuscripts and Maps'],['2018-04-11T16:03:03Z'],"['Bodleian Libraries, University of Oxford']","['<span>Heritage Lottery Fund</span>', '<span>National Arts Collections Fund</span>', '<span>Friends of the Bodleian</span>', '<span>Saudi Aramco</span>', '<span>Arts and Humanities Research Council</span>']",,['1190–1210'],['Egypt'],"['Bought from Sam Fogg, 2002.']","['The acquisition of the Book of Curiosities was made possible by a grant from the Heritage Lottery Fund and generous donations from the National Arts Collections Fund, the Friends of the Bodleian, Saudi Aramco, several Oxford colleges, and private individuals. These grants and donations, along with the Arts & Humanities Research Council, have also funded the project to prepare a full study of the treatise, including an edition of the Arabic text and English translation, and to disseminate the results as widely as possible through the internet, exhibitions, and an outreach programme.', 'Annotations converted by Data Futures (https://www.data-futures.org/).']",,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/2a9a14c0-1dc1-4b6b-b4a2-740550aceb1a.json,"[""al’-Farabi's importance is chiefly due to his scholarly commentaries on Aristotle. They covered the whole of the Organon, the Physics, the De caelo, &c. His intense study of the Aristotelian philosophy is indicated by the report that he lectured on the Physics 40 times and the Rhetoric 200 times. In the Islamic world he was known by the title “the second teacher”, the first, by implication, being Aristotle. Besides the commentaries, al’-Farabi also wrote monographs on logic, physics, metaphysics, ethics and politics."", 'Leaf.']",https://digital.bodleian.ox.ac.uk/objects/2a9a14c0-1dc1-4b6b-b4a2-740550aceb1a/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/8747f547-35cc-4b98-9b1e-b427ceb77449/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/8747f547-35cc-4b98-9b1e-b427ceb77449']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/2a9a14c0-1dc1-4b6b-b4a2-740550aceb1a/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_804"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['Maqāla fī aghrāḍ kitāb Ma ba’d al-tabī’ah (On the scope of Aristotle’s Metaphysics)'],,['Bodleian Library MS. Arab. d. 84'],['Arabic'],,,['Arabic Manuscripts and Maps'],['2018-08-01T13:00:00Z'],"['Bodleian Libraries, University of Oxford']",,['al‛-Farabi'],,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/f07eba25-4a0b-497f-8698-bb002a79dcb6.json,['Text pages.'],https://digital.bodleian.ox.ac.uk/objects/f07eba25-4a0b-497f-8698-bb002a79dcb6/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/c5f68274-5ba0-44b2-99cd-a7debe3563b7/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/c5f68274-5ba0-44b2-99cd-a7debe3563b7']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/f07eba25-4a0b-497f-8698-bb002a79dcb6/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_804"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']","[""Maqala fi aghrad kitab Ma ba'd al-tabi'a.""]",,['Bodleian Library MS. Arab. d. 84'],['Arabic'],,,"['Arabic Manuscripts and Maps', 'Images from 35mm Slides and Filmstrips']",['2018-08-01T13:00:00Z'],"['Bodleian Libraries, University of Oxford']",,['Al-Farabi'],['1630'],,,,['paper'],['Doctrina Arabum Science and philosophy in Medieval Islam & their transmission to Europe.'],['Medieval and Renaissance Manuscript Illumination (from 35mm)'],,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/a3220330-52c2-4b83-8948-8950b5ea170c.json,['1 copy of al-Qurʼān.'],https://digital.bodleian.ox.ac.uk/objects/a3220330-52c2-4b83-8948-8950b5ea170c/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/12d496cd-09ba-4beb-98ef-37932b874bd0/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/12d496cd-09ba-4beb-98ef-37932b874bd0']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/a3220330-52c2-4b83-8948-8950b5ea170c/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_10295"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['Qurʼān'],,['Bodleian Library MS. Arab. d. 98'],['Arabic'],['ff. 301.'],"[""Manuscript description based on the Bodleian Library's public card index of Arabic manuscripts with additional enhancements by the OCIMCO project team.""]",['Arabic Manuscripts and Maps'],['2021-04-20T14:20:27Z'],"['Bodleian Libraries, University of Oxford']",['<span>The Tolkien Trust</span>'],,['16th century?'],,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/4f104fd5-16b5-4cd6-99b3-9a8f8868d7ff.json,"[""An illustrated copy of Iṣṭafan ibn Bāsil's Arabic translation of Books III-V of Dioscorides' Materia Medica. Dioscorides’ Greek treatise on materia medica (Περὶ ὕλης ἰατρικῆς), composed of five books, was translated several times into Arabic. The version most widely circulated was that by Iṣṭafān ibn Bāsil and slightly revised by Ḥunayn ibn Isḥāq (d. 260/873 or 264/877). In the fourth/tenth century an interpretation of the Greek terms left unexplained in the Iṣṭafān/Ḥunayn version was undertaken in Spain, while in Iran (or possibly Samarqand), the Iṣṭafān translation was revised by al-Ḥusayn ibn Ibrāhīm ibn al-Ḥasan al-Khurshīd al-Ṭabarī al-Nātilī about 374/985. In the sixth/twelfth century, another translation was prepared by Mihrān ibn Manṣūr ibn Mihrān (fl. c. 545/1150) working in Diyārbakr from a Syriac version made in the third/ninth century by Ḥunayn ibn Isḥāq.""]",https://digital.bodleian.ox.ac.uk/objects/4f104fd5-16b5-4cd6-99b3-9a8f8868d7ff/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/8add3004-ff7e-4221-b51a-b0c78ce446b2/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/8add3004-ff7e-4221-b51a-b0c78ce446b2']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/4f104fd5-16b5-4cd6-99b3-9a8f8868d7ff/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_788"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['كتاب الحشائش'],"['Kitāb al-Ḥashāʼish', 'في هيولى علاج الطب', 'Fī Hayūlá ʻilāj al-ṭibb']",['Bodleian Library MS. Arab. d. 138'],['Arabic'],['ff. 211.'],"['Manuscript description based on NCAM-1 = Emilie Savage-Smith, A New Catalogue of Arabic Manuscripts in the Bodleian Library, Volume I: Medicine, University of Oxford: Oxford University Press, 2011.']",['Arabic Manuscripts and Maps'],['2021-05-26T10:10:46Z'],"['Bodleian Libraries, University of Oxford']",['<span>The Tolkien Trust</span>'],"['Iṣṭafan Ibn-Bāsil', 'Dioscorides Pedanius, of Anazarbos']",['17th July 1240'],['Baghdad (?)'],"[""On folio 1a there are one obliterated owner’s stamp and two owners' notes, now illegible or obliterated except for the date on one of Rabīʿ I 867 (Nov.−Dec. 1462). Sir William Osler, whose ex libris occurs on folio 1, purchased the manuscript in 1912 through the agency of J. H. Bill, British Consul in Shiraz. The volume entered the collections of the Bodleian Library on 26th August 1926 as a bequest of Sir William Osler (d. 1919).""]",,"['The smooth, semi-glossy yellow-beige paper has a thickness of 0.15–0.22 mm and an opaqueness factor of 4 to 5. It is slightly fibrous, with horizontal sagging laid lines (sometimes indistinct) but no chain lines']",,,"['Iṣṭafan Ibn-Bāsil', 'Ḥunayn ibn Isḥāq al-ʻIbādī, ca. 809-873']","['Ḥunayn ibn Isḥāq al-ʻIbādī, ca. 809-873']",['al-Ḥasan ibn Aḥmad ibn Muḥammad al-Nashawī'],['Sir William Osler'],"['There are scattered marginalia, mostly written in the same hands as annotated many of the illustrations. The fifth book (maqālah) also has a separate numbering of the individual leaves written in red ink in the upper left corner. On Folio 1a there are later pious statements and invocations written near the illuminated roundel.']",['Written in one column throughout; 15 lines per page; the text area has been frame-ruled.'],"['The text is written in a medium-large professional and consistent Naskh with occasional vocalization, with dark-brown ink and headings in red. The letters ḥāʾ and ʿayn frequently have minuscule letters underneath. Háčeks occur frequently over the letter rāʾ and occasionally over sīn; the letter ﻫ, when an attached pronoun, frequently has a minuscule letter over it.']",['24.6 × 16.6 cm (size of leaf). 16.8 × 10.8 cm (size of written area).'],['Contains a depiction of Dioscorides and 289 illustrations of medicinal plants.'],"['The volume is bound in a European restored binding incorporating older pasteboard covers. The older covers are covered with dark-red leather, having a blind, oval medallion (floral arabesques and scalloped edges), with pendants; the design on each cover is framed by two gilt fillets enclosing a gilt braid. Part of the original fore-edge flap remains on one of the covers; the envelope flap is now missing. The edges and spine are of recent dark-brown leather. The doublures are of plain brown leather with two gilt frames, and the endpapers are modern.']","['Copied in al-Madrasah al-Niẓāmīyah, Baghdad?; 25th Dhū al-Ḥijjah 637. AH; 17th July 1240. CE']",,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/a13ff6ad-5858-45f1-9b06-56e034d68500.json,"['Text pages with coloured drawings of plants: nightshade (right), mandrake (left).', 'Written in Arabic.']",https://digital.bodleian.ox.ac.uk/objects/a13ff6ad-5858-45f1-9b06-56e034d68500/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/e4df69db-d195-4b61-932e-a8f14938d9b0/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/e4df69db-d195-4b61-932e-a8f14938d9b0']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/a13ff6ad-5858-45f1-9b06-56e034d68500/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_788"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['De materia medica.'],,['Bodleian Library MS. Arab. d. 138'],['Arabic'],,,"['Arabic Manuscripts and Maps', 'Images from 35mm Slides and Filmstrips']",['2018-08-01T13:00:00Z'],"['Bodleian Libraries, University of Oxford']",,"['Dioscorides of Anazarbus, d. ca. 90']",['1240'],['Iran or Iraq'],,,['paper'],['Doctrina Arabum Science and philosophy in Medieval Islam & their transmission to Europe.'],['Medieval and Renaissance Manuscript Illumination (from 35mm)'],,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/b220c1dd-2c4a-4e7a-bfe1-7f366d5d53dc.json,"['The Materia medica consists of five books on medicinal substances. This copy contains only the last three books (maqālahs) of the treatise, of which Books 3 and 4 cover herbs and roots, and Book 5 wines &c. The copy was completed on 25 Dhu al Hijjah 637 AH (17 July 1240 CE) by al-Ḥasan ibn Aḥmad ibn Muḥammad al-Nashawī at al-Madrasah al-Niẓāmīyah, presumably in Baghdad, though madrasahs of the same name occur in other cities.']",https://digital.bodleian.ox.ac.uk/objects/b220c1dd-2c4a-4e7a-bfe1-7f366d5d53dc/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/be0894eb-dd54-496e-bee8-b2cc616b0738/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/be0894eb-dd54-496e-bee8-b2cc616b0738']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/b220c1dd-2c4a-4e7a-bfe1-7f366d5d53dc/"">View on Digital Bodleian</a></span>']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_788"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['De materia medica. Book 3-5'],,['Bodleian Library MS. Arab. d. 138'],['Arabic'],,,['Arabic Manuscripts and Maps'],['2018-08-01T13:00:00Z'],"['Bodleian Libraries, University of Oxford']",,"['Dioscorides of Anazarbus, d. ca. 90']",,['Baghdad?'],,,,,,,,,,,,,,,,,,,,
