id,description,rendering,thumbnail,homepage,title,shelfmark,printer,language,date-statement,place-of-origin,collection,digitization-project,record-created,holding-institution,catalogue-identifier,author,translator,catalogue-description,scribe,slide-roll-title,contents-note,materials,layout,hand,extent,dimensions,record-origin,digitization-sponsor,provenance,contents,collation,decoration,other-titles,editors,commentators,former-owner,origin-note,binding,other-identifier,additional-information-sources,related-items,creator,annotator,publisher,compiler,digitization-note,author-of-introduction,acknowledgements
https://iiif.bodleian.ox.ac.uk/iiif/manifest/014a8e57-e084-46c2-96d2-87fffc242fac.json,"[""The so-called 'Holkham Bible'. 23 leaves missing. First leaf blank. Without the index to Haftarot (Italian rite) that appears in some copies.""]",https://digital.bodleian.ox.ac.uk/objects/014a8e57-e084-46c2-96d2-87fffc242fac/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/b5f1b9bc-96f4-4096-bde9-ea24072ef7c0/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/b5f1b9bc-96f4-4096-bde9-ea24072ef7c0']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/014a8e57-e084-46c2-96d2-87fffc242fac/"">View on Digital Bodleian</a></span>']",['Hebrew Bible'],['Bodleian Library Holkham c.1'],['[Joshua Solomon Soncino]'],['Hebrew'],['1491–1492'],['[Naples]'],['Incunabula and Blockbooks'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2016-08-22T13:43:38Z'],"['Bodleian Libraries, University of Oxford']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/029e4c7d-3955-4f22-ab67-781e434c8b50.json,Seder Seliḥot (Western Ashkenazi rite),https://digital.bodleian.ox.ac.uk/objects/029e4c7d-3955-4f22-ab67-781e434c8b50/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/f4c4d772-d19b-42d6-b817-805e405c7714/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/f4c4d772-d19b-42d6-b817-805e405c7714']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/029e4c7d-3955-4f22-ab67-781e434c8b50/"">View on Digital Bodleian</a></span>']",['Seder Seliḥot (Western Ashkenazi rite)'],['Bodleian Library MS. Arch. Selden A. 3'],,['Hebrew'],['1225–1275'],['[France?]'],['Hebrew Manuscripts and Printed Books'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2016-12-06T15:52:17Z'],"['Bodleian Libraries, University of Oxford']",['Neubauer 1159'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/a7d52f5f-b73c-4c47-b2f5-f5d67e917322.json,"['Contents: Sefer Neziḳin (ff. 1r-60v). Sefer Ḳinyan (ff. 60v-144v). Sefer Mishpaṭim (ff.145r-232v). Sefer Shofṭim (ff. 233r-303v).', 'Contains Maimuni glosses, and Responsa mostly by Meir of Rothenberg.']",https://digital.bodleian.ox.ac.uk/objects/a7d52f5f-b73c-4c47-b2f5-f5d67e917322/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/d9183fda-33be-4db4-b8d2-6ee03fc78da0/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/d9183fda-33be-4db4-b8d2-6ee03fc78da0']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/a7d52f5f-b73c-4c47-b2f5-f5d67e917322/"">View on Digital Bodleian</a></span>']",['Mishneh Torah'],['Bodleian Library MS. Arch. Selden A. 4'],,['Hebrew'],['1325–1375'],['[Ashkenaz]'],['Hebrew Manuscripts and Printed Books'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2016-12-07T10:23:27Z'],"['Bodleian Libraries, University of Oxford']",['Neubauer 610'],"['Maimonides, Moses']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/a6b52217-d005-4f2d-8291-962e642e00f9.json,"['Sefer mitsṿot gadol by Moses ben Jacob of Coucy, with glosses. On the left flyleaf: Taḳanot ḳehilot ShU""M (Community edicts of Speier, Worms and Mainz, dated 1380/81) and a compromise between the congregation of Frankfurt a/Main and Rabbi Isserlin Auerbach, dated 1565. On the right flyleaf: Halakhic texts by Ephraim ben Jacob of Bonn and מכ""י מהרשך.']",https://digital.bodleian.ox.ac.uk/objects/a6b52217-d005-4f2d-8291-962e642e00f9/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/82d85566-f1b6-4355-94d5-c699b4ec78d5/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/82d85566-f1b6-4355-94d5-c699b4ec78d5']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/a6b52217-d005-4f2d-8291-962e642e00f9/"">View on Digital Bodleian</a></span>']",['Sefer mitsṿot gadol'],['Bodleian Library MS. Arch. Selden A. 5'],,['Hebrew'],['1301–1325'],['[Ashkenaz]'],['Hebrew Manuscripts and Printed Books'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2017-08-23T16:40:48Z'],"['Bodleian Libraries, University of Oxford']",['Neubauer 864'],"['Moses ben Jacob, of Coucy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/9d219f10-8e59-4429-8c62-d64e3a2d216f.json,Maḥzor for the Days of Awe (Western Ashkenazi rite),https://digital.bodleian.ox.ac.uk/objects/9d219f10-8e59-4429-8c62-d64e3a2d216f/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/6dfd20d7-ec5c-4990-99b0-18ebe62f0ddc/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/6dfd20d7-ec5c-4990-99b0-18ebe62f0ddc']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/9d219f10-8e59-4429-8c62-d64e3a2d216f/"">View on Digital Bodleian</a></span>']",['Maḥzor for the Days of Awe (Western Ashkenazi rite)'],['Bodleian Library MS. Arch. Selden A. 6'],,['Hebrew'],['1275–1300'],['[Germany]'],['Hebrew Manuscripts and Printed Books'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2016-12-09T17:33:23Z'],"['Bodleian Libraries, University of Oxford']",['Neubauer 1037'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/d8f3c040-1b33-4acd-a6ee-02c8822cdd1f.json,['Talmudic commentary'],https://digital.bodleian.ox.ac.uk/objects/d8f3c040-1b33-4acd-a6ee-02c8822cdd1f/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/e2ca0159-97e2-4074-9e4e-afb359780ccd/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/e2ca0159-97e2-4074-9e4e-afb359780ccd']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/d8f3c040-1b33-4acd-a6ee-02c8822cdd1f/"">View on Digital Bodleian</a></span>']",['Sefer ha-Agudah'],['Bodleian Library MS. Arch. Selden A. 7'],,['Hebrew'],['1325–1375'],['[Ashkenaz]'],['Hebrew Manuscripts and Printed Books'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2016-12-21T12:27:46Z'],"['Bodleian Libraries, University of Oxford']",['Neubauer 671'],"['Alexander Suslin, ha-Kohen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/f1916173-04c4-4fa9-8f4f-ec9eade7f008.json,Hebrew Bible (Genesis 25:16 to 25:22 missing),https://digital.bodleian.ox.ac.uk/objects/f1916173-04c4-4fa9-8f4f-ec9eade7f008/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/a6f91782-8514-4ba6-b8b7-5020d2c035fa/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/a6f91782-8514-4ba6-b8b7-5020d2c035fa']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/f1916173-04c4-4fa9-8f4f-ec9eade7f008/"">View on Digital Bodleian</a></span>']",['Hebrew Bible (Genesis 25:16 to 25:22 missing)'],['Bodleian Library MS. Arch. Selden A. 47'],,['Hebrew'],['1303–1304'],['Soria (Spain)'],['Hebrew Manuscripts and Printed Books'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2016-12-15T09:48:48Z'],"['Bodleian Libraries, University of Oxford']",['Neubauer 1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/26b561f8-d852-4e8f-bbb6-c3dc45ebcf4c.json,['Mystical commentary on the aggadic passages of the Babylonian Talmud.'],https://digital.bodleian.ox.ac.uk/objects/26b561f8-d852-4e8f-bbb6-c3dc45ebcf4c/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/ecfef23d-1b5f-4250-b389-2e7e0311843c/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/ecfef23d-1b5f-4250-b389-2e7e0311843c']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/26b561f8-d852-4e8f-bbb6-c3dc45ebcf4c/"">View on Digital Bodleian</a></span>']",['ʾOtsar ha-kavod by Todros Abulafia'],['Bodleian Library MS. Arch. Selden A. 50'],,['Hebrew'],['1576–1600'],['[Italy?]'],['Hebrew Manuscripts and Printed Books'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2017-09-28T15:42:32Z'],"['Bodleian Libraries, University of Oxford']",['Neubauer 1599'],"['Abulafia, Todros ben Joseph ha-Levi']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/cfb0d7fe-cc98-4f98-b9d4-a6724511c2b7.json,"[""In the margins: Sidur according to the Ashkenazi rite (ff. 1v-76r). Eleazar ben Judah of Worms, Moreh Ḥaṭa'im (ff. 76r-85v). Isaac ben Meir Dueren, Shaʿare Dura (ff. 85v-106r). Meir ben Baruch of Rothenburg, Hilkhot yayin nesekh (ff. 106r-112v).""]",https://digital.bodleian.ox.ac.uk/objects/cfb0d7fe-cc98-4f98-b9d4-a6724511c2b7/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/fbce0b3f-27a3-4a5b-a1bd-4a395b00e5b2/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/fbce0b3f-27a3-4a5b-a1bd-4a395b00e5b2']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/cfb0d7fe-cc98-4f98-b9d4-a6724511c2b7/"">View on Digital Bodleian</a></span>']",['Sefer Mitsṿot Ḳaṭan'],['Bodleian Library MS. Arch. Selden A. 51'],,['Hebrew'],['1426–1475'],['[Northern Italy]'],['Hebrew Manuscripts and Printed Books'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2017-08-09T16:05:46Z'],"['Bodleian Libraries, University of Oxford']",['Neubauer 878'],"['Isaac ben Joseph, of Corbeil']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/f609515f-7d47-4160-9b31-4e21161db279.json,"[""Contents: A compendium of Moses ben Jacob Cordovero's Pardes Rimonim (ff. 1-76r). Ff. 76v-78v blank. Sefer ha-Peliʼah, attributed to the Tannaitic sage Neḥunya ben ha-Kanah (ff. 79r-217r).""]",https://digital.bodleian.ox.ac.uk/objects/f609515f-7d47-4160-9b31-4e21161db279/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/e2deea19-8933-4144-ac9b-6798e4ccd749/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/e2deea19-8933-4144-ac9b-6798e4ccd749']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/f609515f-7d47-4160-9b31-4e21161db279/"">View on Digital Bodleian</a></span>']",['Collection of kabbalistic texts'],['Bodleian Library MS. Arch. Selden A. 56'],,['Hebrew'],['1576–1625'],['[Italy]'],['Hebrew Manuscripts and Printed Books'],['The Polonsky Foundation Digitization Project (2012-2017)'],['2017-09-28T10:13:10Z'],"['Bodleian Libraries, University of Oxford']",['Neubauer 1806'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
