id,description,rendering,thumbnail,homepage,title,shelfmark,author,language,place-of-origin,record-created,holding-institution,catalogue-description,other-titles,scribe,date-statement,hand,extent,dimensions,decoration,record-origin,collection,catalogue-identifier,former-owner,materials,contents,contributor,binding,provenance,contents-note,digitization-sponsor,illustrator,related-items,editors,layout
https://iiif.bodleian.ox.ac.uk/iiif/manifest/8d95c910-5407-40a8-a183-6ff34d1e971b.json,"['Omar Khayyam, Rubáiyát, translated by Edward Fitzgerald (1809-1883), published by Bernard Quaritch, London, 1859.']",https://digital.bodleian.ox.ac.uk/objects/8d95c910-5407-40a8-a183-6ff34d1e971b/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/e29209f1-8a05-4f3f-9982-2a9648909d5f/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/e29209f1-8a05-4f3f-9982-2a9648909d5f']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/8d95c910-5407-40a8-a183-6ff34d1e971b/"">View on Digital Bodleian</a></span>']",['Rubā‘īyāt'],['Bodleian Library Arch. AA e.12'],['‘Umar Khayyām'],['English'],"['England, London']",['2018-08-01T13:00:00Z'],"['Bodleian Libraries, University of Oxford']",,,,,,,,,,,,,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/a25334b2-9fab-4931-9a0b-14eaa4ab898f.json,انتخاب حدیقه,https://digital.bodleian.ox.ac.uk/objects/a25334b2-9fab-4931-9a0b-14eaa4ab898f/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/e63ebd03-d100-443b-8fda-8d05b425c1ef/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/e63ebd03-d100-443b-8fda-8d05b425c1ef']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/a25334b2-9fab-4931-9a0b-14eaa4ab898f/"">View on Digital Bodleian</a></span>']",['انتخاب حدیقه'],['Bodleian Library MS. Canonici Or. 122'],"['ʻAṭṭār, Farīd al-Dīn, d. ca. 1230']",['Persian'],,['2019-02-01T13:29:14Z'],"['Bodleian Libraries, University of Oxford']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_4211"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['Intikhāb-i Ḥadīqah'],['ʻAlī al-Kātib Sulṭānī d. c. 1543'],['1500–1600'],['Written in splendid Nastaʻlīq.'],['60 ff.'],['12½ × 7¾ in.'],['9 full-page miniatures. Decorative borders.'],"['Manuscript description based on: Beeston, A. F. L. (Alfred Felix Landon); Ethé, Hermann, 1844-1917.; Sachau, Eduard, 1845-1930; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû manuscripts in the Bodleian Library, Oxford; at the Clarendon Press 1889-1953.']",['Persian Manuscripts'],['Ethé 2405'],,,,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/dab179f1-21bb-4dfd-a14b-b6d3a534e6ed.json,"[""Manuscript of a collection of seven poems by Jami. Contents: 1. author's preface. -- 2. fol. 2b, Silsilat al-dhahab. --  3. fol. 90b, Salaman wa Absal  -- 4. fol. 106b, Tuhfat al-ahrar. -- 5. fol. 129b, Subhat al-Abrar. -- 6. fol. 169b, Yusuf u Zulaykha. -- 7. fol. 221b, Layla wa Majnun. -- 8. 268b, Khirad Nama Iskandari. Binding: 19th-century half calf with marbled paper over pasteboard.""]",https://digital.bodleian.ox.ac.uk/objects/dab179f1-21bb-4dfd-a14b-b6d3a534e6ed/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/ba4be6f3-6da8-4303-9766-d402287d5fad/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/ba4be6f3-6da8-4303-9766-d402287d5fad']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/dab179f1-21bb-4dfd-a14b-b6d3a534e6ed/"">View on Digital Bodleian</a></span>']",['Haft Aurang'],['Bodleian Library MS. Elliott 149'],"['Artist B', 'Jāmī, 1414-1492', 'Artist A']",['Persian'],"['Iran', 'Persia', 'Persian', 'Shiraz']",['2018-08-01T13:00:00Z'],"['Bodleian Libraries, University of Oxford']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_22934"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",,,['1560-1599'],['nasta‘līq'],['ff. viii (modern paper) + 297 + i (modern paper)'],,['Illuminations; 20 miniatures.'],,['Persian Manuscripts'],"['Catalogue of Persian, [&c] Mss. Bodleian Library, Part I, 898.']","['Elliott, John Bardoe']",['opaque watercolour on paper'],,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/ed3dac54-cfc0-43b5-9eb7-6214abe98094.json,خمسۀ نظامی,https://digital.bodleian.ox.ac.uk/objects/ed3dac54-cfc0-43b5-9eb7-6214abe98094/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/78674653-b5ca-4b46-a338-8a40ba96e25f/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/78674653-b5ca-4b46-a338-8a40ba96e25f']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/ed3dac54-cfc0-43b5-9eb7-6214abe98094/"">View on Digital Bodleian</a></span>']",['خمسۀ نظامی'],['Bodleian Library MS. Elliott 192'],"['Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203']",['Persian'],,['2019-03-01T20:31:05Z'],"['Bodleian Libraries, University of Oxford']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_4284"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']","['Khamsah-ʼi Niẓāmī', 'پنج کنج']",,['1501'],['Small Nastaʻlīq.'],['346 ff.'],['11¼ × 6¼ in.'],['Unwan. 42 miniatures.'],"['Manuscript description based on: Beeston, A. F. L. (Alfred Felix Landon); Ethé, Hermann, 1844-1917.; Sachau, Eduard, 1845-1930; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû manuscripts in the Bodleian Library, Oxford; at the Clarendon Press 1889-1953.']",['Persian Manuscripts'],,,['paper'],['Makhzan al-asrār (ff. 2a-32a). Khusraw va-Shīrīn (ff. 32b-101a). Laylá va-Majnūn (ff. 101b-158a). Haft Paykar (ff. 158b-221a). Kitāb-i Sharafnāmah-ʼi Iskandarī (ff. 221b-300a). Kitāb-i Iqbālnamah-ʼi Iskandarī (ff. 300b-346a).'],,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/e800b13a-6699-49ae-9bc2-c9b8c35b7a25.json,4 works by 4 authors on the subjects of Persian poetry and love poetry,https://digital.bodleian.ox.ac.uk/objects/e800b13a-6699-49ae-9bc2-c9b8c35b7a25/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/d2e3a606-135b-4b7d-9402-ad1f84e5a235/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/d2e3a606-135b-4b7d-9402-ad1f84e5a235']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/e800b13a-6699-49ae-9bc2-c9b8c35b7a25/"">View on Digital Bodleian</a></span>']",['4 works by 4 authors on the subjects of Persian poetry and love poetry'],['Bodleian Library MS. Elliott 239'],"['ʻAṣṣār Tabrīzī, Muḥammad, d. 1382 or 3', 'Ghazālī Mashhadī, 1526-1572', 'Saʻdī', 'Niẓāmī Ganjavī, 1140 or 41-1202 or 3']",['Persian'],['Shīrāz'],['2019-03-01T18:03:53Z'],"['Bodleian Libraries, University of Oxford']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_4305"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",,,['1582'],['Nastaʻlīq.'],['298 ff.'],['10 × 5⅝ in.'],['Unwan. 9 miniatures. Decorative borders etc.'],"['Manuscript description based on: Beeston, A. F. L. (Alfred Felix Landon); Ethé, Hermann, 1844-1917.; Sachau, Eduard, 1845-1930; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû manuscripts in the Bodleian Library, Oxford; at the Clarendon Press 1889-1953.']",['Persian Manuscripts'],,,['paper'],"['Muḥammad ʻAṣṣār Tabrīzī, Mihr va-Mushtarī (ff. 1b-260a, centre columns). Ghazālī Mashhadī, Naqsh-i badīʻ (ff. 260b-287a). Saʻdī, Khulāṣah-ʼi Būstān (ff. 287b-298b). Niẓāmī Ganjavī, Khusraw va-Shīrīn (ff. 3b-270a, margin column).']","['Qāsim Anvār, ʻAlī ibn Naṣīr, 1356-1433']","['Yellow and red goatskin, covered in lacquer, painted with birds, flowers and butterflies. Rebacked.']",,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/56911adf-3d32-4a52-a9c6-653eb5bd6cb7.json,"['Manuscript commissioned by the Mughal emperor Akbar (1542-1605), containing stories by the Persian poet Jami (1414-1492), entitled Baharistan (Garden of spring).', 'Contents: MS. introduction by Sir Gore Ouseley entitled ""Beharistan"", dated Nov. 1817 (ff. iv-vii). Jami, Baharistan (ff. 1-67).', 'Extent: 67 leaves. 300 x 195 mm (written area 170 x 83, frame-ruled).', 'Layout: Written in 1 column of 14 lines.', 'Hand: Nastaʿlīq.', 'Decoration: Illuminated frontispiece; 6 miniature paintings by the Mughal court artists; the margins decorated throughout with gold patterns and figures, some painted.', 'Binding: 19th-century red velvet over cardboard with brass centrepiece and corner pieces on upper and lower covers.']",https://digital.bodleian.ox.ac.uk/objects/56911adf-3d32-4a52-a9c6-653eb5bd6cb7/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/9e138e48-c46d-4c74-ab9d-b4382a418ce3/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/9e138e48-c46d-4c74-ab9d-b4382a418ce3']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/56911adf-3d32-4a52-a9c6-653eb5bd6cb7/"">View on Digital Bodleian</a></span>']",['Baharistan'],['Bodleian Library MS. Elliott 254'],"['Jami, 1414-1492']","['Persian', 'English']",['Lahore'],['2018-04-09T10:56:37Z'],"['Bodleian Libraries, University of Oxford']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_22930"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",,,['1595'],,,,,"['Image descriptions based in part on Topsfield, A. (2007), Paintings from Mughal India.']",['Persian Manuscripts'],['Ethé 963'],"['Ouseley, Gore, Sir, 1770-1844', 'Shahjahan, Emperor of India, ca. 1592-1666', 'Akbar, Emperor of Hindustan, 1542-1605', 'Elliott, John Bardoe']",,,,,['Written for Akbar (1542-1605); from the collection of Sir Gore Ouseley (1770-1844); from the collection of John Bardoe Elliott; presented to Bodleian Library 1859.'],,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/ace58ad4-966e-4e8f-92fe-440fee104ad8.json,نسخۀ ناسخۀ مثنويات سقيمه,https://digital.bodleian.ox.ac.uk/objects/ace58ad4-966e-4e8f-92fe-440fee104ad8/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/76126f65-13d5-46b1-bc95-5c968ba46ca1/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/76126f65-13d5-46b1-bc95-5c968ba46ca1']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/ace58ad4-966e-4e8f-92fe-440fee104ad8/"">View on Digital Bodleian</a></span>']",['نسخۀ ناسخۀ مثنويات سقيمه'],['Bodleian Library MS. Elliott 264'],"['Jalāl al-Dīn Rūmī, Maulana, 1207-1273 جلال الدين الرومي، محمد بن محمد، 604-672 هـ']",['Persian'],,['2019-08-15T07:46:05Z'],"['Bodleian Libraries, University of Oxford']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_4316"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['Nuskhah-ʼi nāsikhah-ʼi mas̲navīyāt-i saqīmah'],,['1652'],['Nastaʻlīq.'],['405 ff.'],['10¾ × 6½ in.'],['Unwan.'],"['Manuscript description based on: Beeston, A. F. L. (Alfred Felix Landon); Ethé, Hermann, 1844-1917; Sachau, Eduard, 1845-1930; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû manuscripts in the Bodleian Library, Oxford; at the Clarendon Press 1889-1953.']",['Persian Manuscripts'],,,['paper'],,,,,,,,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/c4f5fe53-43f3-474b-ac57-e6d250cae0b9.json,"['1 copy of Sharafnāmah-ʼi taʼrīkh-i Kurdistān by Bidlīsī, Sharaf Khān, b. 1543.']",https://digital.bodleian.ox.ac.uk/objects/c4f5fe53-43f3-474b-ac57-e6d250cae0b9/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/ab5f7cdc-19fe-49ad-afc4-12f95db388db/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/ab5f7cdc-19fe-49ad-afc4-12f95db388db']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/c4f5fe53-43f3-474b-ac57-e6d250cae0b9/"">View on Digital Bodleian</a></span>']",['شرفنامۀ تأریخ کردستان'],['Bodleian Library MS. Elliott 332'],"['Bidlīsī, Sharaf Khān, b. 1543']",['Persian'],,['2022-06-28T15:01:58Z'],"['Bodleian Libraries, University of Oxford']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_4347"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['Sharafnāmah-ʼi taʼrīkh-i Kurdistān'],,['29th Dhū al-Ḥijjah 1005 AH; 13th August 1597 CE'],['Naskh.'],['ff. 246.'],,,"['Manuscript description based on: Beeston, A. F. L. (Alfred Felix Landon); Ethé, Hermann, 1844-1917; Sachau, Eduard, 1845-1930; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû manuscripts in the Bodleian Library, Oxford; at the Clarendon Press 1889-1953.']",['Persian Manuscripts'],['Ethé 312'],"['Ouseley, Gore, Sir, 1770-1844', 'Elliott, John Bardoe, 1785-1863']",,,,,"['The collections of Sir Gore Ouseley. The collections of John Bardoe Elliott. Presented to the Bodleian Library by J.B. Elliott, in 1859.']","[""This copy is the author's autograph.""]",['<span>The Tolkien Trust</span>'],,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/99009d40-fd00-4160-8bd3-7e946c9f0716.json,['1 copy of Taʼrīkh-i ʻAbbāsī by Jalāl al-Dīn Muḥammad Munajjim Yazdī.'],https://digital.bodleian.ox.ac.uk/objects/99009d40-fd00-4160-8bd3-7e946c9f0716/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/5689aab0-9c8b-42c9-84ca-dd7c943abebf/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/5689aab0-9c8b-42c9-84ca-dd7c943abebf']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/99009d40-fd00-4160-8bd3-7e946c9f0716/"">View on Digital Bodleian</a></span>']",['تأريخ عبّاسى'],['Bodleian Library MS. Elliott 367'],"['Munajjim Yazdī, Jalāl al-Dīn Muḥammad, d. 1619 or 20']",['Persian'],,['2021-05-26T10:32:13Z'],"['Bodleian Libraries, University of Oxford']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_4370"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['Taʼrīkh-i ʻAbbāsī'],,['14th November 1643'],['Nastaʻlīq.'],['ff. 564.'],,,"['Manuscript description based on: Beeston, A. F. L. (Alfred Felix Landon); Ethé, Hermann, 1844-1917; Sachau, Eduard,1845-1930; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû manuscripts in the Bodleian Library, Oxford; at the Clarendon Press 1889-1953.']",['Persian Manuscripts'],['Ethé 288'],"['Ouseley, Gore, Sir, 1770-1844', 'John Bardoe Elliott (1785-1863)']",,,,,"['The collections of Sir Gore Ouseley. The collections of John Bardoe Elliott. Presented to the Bodleian Library by J.B. Elliott, in 1859.']",,['<span>The Tolkien Trust</span>'],,,,
https://iiif.bodleian.ox.ac.uk/iiif/manifest/f2aaafc7-e268-42fd-98cd-c8220aaa3e74.json,['1 copy of Kullīyāt-i Saʻdī by Saʻdī.'],https://digital.bodleian.ox.ac.uk/objects/f2aaafc7-e268-42fd-98cd-c8220aaa3e74/,"['https://iiif.bodleian.ox.ac.uk/iiif/image/6b0a76b7-e0a4-445c-9ac3-c43bfc940e73/full/256,/0/default.jpg', 'https://iiif.bodleian.ox.ac.uk/iiif/image/6b0a76b7-e0a4-445c-9ac3-c43bfc940e73']","['<span><a href=""https://digital.bodleian.ox.ac.uk/objects/f2aaafc7-e268-42fd-98cd-c8220aaa3e74/"">View on Digital Bodleian</a></span>']",['كلّيّات سعدى'],['Bodleian Library MS. Fraser 73'],['Shaikh Saʻdī'],['Persian'],"['Shīrāz, dar Āsitānah-ʼi Ḥaḍrat-i Mawlānā Ḥusām al-Dīn Ibrāhīm']",['2021-05-26T10:22:55Z'],"['Bodleian Libraries, University of Oxford']","['<a href=""https://www.fihrist.org.uk/catalog/manuscript_4491"">Fihrist: Union Catalogue of Manuscripts from the Islamicate World</a>']",['Kullīyāt-i Saʻdī'],,['c. 1550'],"['Very small, distinct, and clear Nastaʻlīq.']",['ff. 177.'],,['Two richly coloured pictures at the beginning; the first two pages of the text most luxuriously adorned in blue and gold; all the headings throughout beautifully illuminated.'],"['Manuscript description based on: Beeston, A. F. L. (Alfred Felix Landon); Ethé, Hermann, 1844-1917.; Sachau, Eduard, 1845-1930; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû manuscripts in the Bodleian Library, Oxford; at the Clarendon Press 1889-1953.']",['Persian Manuscripts'],['Ethé 687'],,,,,['Splendid binding.'],,['Folio 2b contains the minuscule signature of Rūzbihān the Illuminator على يد العبد روزبهان المذهب.'],['<span>The Tolkien Trust</span>'],['Rūzbihān the Illuminator'],"['First of three volumes. Second volume: MS. Fraser 74, third volume: Ms. Fraser 75.']",,
