id,description,attribution,preview,condition,origin-place,provenance,physical-location,extent,abstract,date-of-creation,title,authors-of-the-record,material,classmark,notes,subjects,associated-names,languages,layout,recipients,authors,scribes,funding,donors,former-owners
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-02586,"<p style='text-align: justify;'>Deed of sale in which Abū l-Faḵr b. ʿAmram sells to Abū l-Faraj a quarter of the apartment belonging to him in a house belonging to Sitt al-Riḍā in the al-Muʿtamid passage of the Tujīb quarter of Fusṭāṭ for 17 dinars. Dated Sivan 1544 (= 1233 CE). Signed by Evyatar ha-Kohen b. Ephraim, Daniel b. Saʿadya, and Joseph Bet Din Kohen Ṣadoq, under the authority of Abraham Maimonides.</p>","Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-02586-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-02586-000-00001.jp2']","['Torn, holes, stained, rubbed']",['Fusṭāṭ'],"['Acquired in 1880, of uncertain provenance. Probably from the Cairo Genizah']",['Cambridge University Library'],"['1 leaf. Leaf height: 30 cm, width: 23 cm.']","[""<p style='text-align: justify;'>Deed of sale in which Abū l-Faḵr b. ʿAmram sells to Abū l-Faraj a quarter of the apartment belonging to him in a house belonging to Sitt al-Riḍā in the al-Muʿtamid passage of the Tujīb quarter of Fusṭāṭ for 17 dinars. Dated Sivan 1544 (= 1233 CE). Signed by Evyatar ha-Kohen b. Ephraim, Daniel b. Saʿadya, and Joseph Bet Din Kohen Ṣadoq, under the authority of Abraham Maimonides.</p>""]",['1233 CE'],['Legal document'],['CUL'],['Paper'],['Add.2586'],['Verso is presumably blank but is glued to a sheet of paper.'],['Cairo Genizah'],['Sitt al-Riḍā; Abū l-Faḵr b. ʿAmram; Abū l-Faraj b. Abū l-Faḵr b. ʿAmram; Abraham Maimonides'],['Hebrew; Judaeo-Arabic; Aramaic'],['27 lines (recto; verso is blank)'],,,,,,
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-03335,"<p style='text-align: justify;'>Letter from a Jewish notable who had previously been minister of finance in Egypt, seeking assistance from the Jewish community in Constantinople. The letter begins with many lines of poetry and greetings to the Constantinople community, after which the writer describes his fall from favour and how he has now been supplanted by a new Christian minister of finance. The recently deceased Nagid Mevoraḵ b. Saʿadya's elevation by the Vizier al-Afḍal is described, and the very high regard in which he was held at court. The Nagid's death had presumably left the writer and other Jews in high positions exposed to court intrigue. Dated to soon after 1111 CE (when the Nagid died).</p>","Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-03335-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-03335-000-00001.jp2']","['Torn, holes, stained']",['Egypt'],['Purchased from S. A. Wertheimer in 1896. Probably from the Cairo Genizah.'],['Cambridge University Library'],"['1 leaf (scroll). Leaf height: 143 cm, width: 16 cm.']","[""<p style='text-align: justify;'>Letter from a Jewish notable who had previously been minister of finance in Egypt, seeking assistance from the Jewish community in Constantinople. The letter begins with many lines of poetry and greetings to the Constantinople community, after which the writer describes his fall from favour and how he has now been supplanted by a new Christian minister of finance. The recently deceased Nagid Mevoraḵ b. Saʿadya's elevation by the Vizier al-Afḍal is described, and the very high regard in which he was held at court. The Nagid's death had presumably left the writer and other Jews in high positions exposed to court intrigue. Dated to soon after 1111 CE (when the Nagid died).</p>""]",['1111-1112 CE'],['Letter'],['CUL'],['Paper'],['Add.3335'],['Several leaves have been joined end to end to create a rotulus.'],['Cairo Genizah'],['Mevoraḵ b. Saʿadya (Nagid); al-Afḍal (Vizier)'],['Hebrew (isolated Tiberian vocalisation)'],['127 lines (recto); 128 lines (verso)'],,,,,,
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-03336,"<p style='text-align: justify;'>Recto: piyyuṭim (qinot and seliḥot), including some by Qallir and Saʿadya Gaʾon, probably for the 9th Av. Verso: commercial letter in Judaeo-Arabic to Abū ʿAlī Ezekiel b. Nathaniel Dimyāṭī (brother of the 12th-century merchant Ḥalfon b. Nathaniel), and a Fatimid petition in Arabic to a Muslim official, regarding tax and land tenure.</p>","Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-03336-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-03336-000-00001.jp2']","['Torn, holes, stained']",['Egypt'],['Purchased from S. A. Wertheimer in 1896. Probably from the Cairo Genizah.'],['Cambridge University Library'],"['1 leaf (scroll). Leaf height: 145 cm, width: 21 cm.']","[""<p style='text-align: justify;'>Recto: piyyuṭim (qinot and seliḥot), including some by Qallir and Saʿadya Gaʾon, probably for the 9th Av. Verso: commercial letter in Judaeo-Arabic to Abū ʿAlī Ezekiel b. Nathaniel Dimyāṭī (brother of the 12th-century merchant Ḥalfon b. Nathaniel), and a Fatimid petition in Arabic to a Muslim official, regarding tax and land tenure.</p>""]",['12th century'],['Letter; legal document; piyyuṭ'],['CUL'],['Paper'],['Add.3336'],['Several leaves have been joined end to end to create a rotulus.'],['Cairo Genizah'],,['Hebrew; Judaeo-Arabic; Arabic'],['160 lines (recto); 43 lines + marginalia (verso)'],['Abū ʿAlī Ezekiel b. Nathaniel Dimyāṭī'],['Qallir; Saʿadya Gaʾon'],,,,
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-03337,"<p style='text-align: justify;'>Deed of release in which Moses b. Yešuʿa releases his former employer, Abū Ḡālib Elʿazar b. Solomon ha-Kohen from any obligation, now that his employment has come to an end (the relatives of Abū Ḡālib are also released from any obligation). Dated Ṭevet 1436 (= December 1124 CE). Signed by Joseph b. Ḥalfon, Šemarya b. Nathan ha-Kohen, and Abraham b. Saʿadya.</p>","Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-03337-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-03337-000-00001.jp2']",['Holes'],['Fusṭāṭ'],['Purchased from S. A. Wertheimer in 1896. Probably from the Cairo Genizah.'],['Cambridge University Library'],"['1 leaf. Leaf height: 46 cm, width: 16 cm.']","[""<p style='text-align: justify;'>Deed of release in which Moses b. Yešuʿa releases his former employer, Abū Ḡālib Elʿazar b. Solomon ha-Kohen from any obligation, now that his employment has come to an end (the relatives of Abū Ḡālib are also released from any obligation). Dated Ṭevet 1436 (= December 1124 CE). Signed by Joseph b. Ḥalfon, Šemarya b. Nathan ha-Kohen, and Abraham b. Saʿadya.</p>""]",['1124 CE'],['Legal document'],['CUL'],['Paper'],['Add.3337'],['Two leaves have been joined end to end.'],['Cairo Genizah'],['Moses b. Yešuʿa; Abū Ḡālib Elʿazar b. Solomon ha-Kohen; Joseph b. Ḥalfon; Šemarya b. Nathan ha-Kohen; Abraham b. Saʿadya'],['Hebrew; Judaeo-Arabic'],['35 lines (recto; verso is blank)'],,,,,,
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-03340,"<p style='text-align: justify;'>Letter from Joseph b. Samuel ha-Levi ibn Ḵatuš in Granada, Spain, to the merchant Ḥalfon b. Nathaniel ha-Levi, dated Sivan 4890 (= May 1130 CE). Ḥalfon has just arrived back in Spain after travelling to Egypt and Joseph is eager for news.</p>","Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-03340-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-03340-000-00001.jp2']",['Good condition'],['Granada'],,['Cambridge University Library'],"['1 leaf. Leaf height: 34 cm, width: 20 cm.']","[""<p style='text-align: justify;'>Letter from Joseph b. Samuel ha-Levi ibn Ḵatuš in Granada, Spain, to the merchant Ḥalfon b. Nathaniel ha-Levi, dated Sivan 4890 (= May 1130 CE). Ḥalfon has just arrived back in Spain after travelling to Egypt and Joseph is eager for news.</p>""]",['1130 CE'],['Letter'],['CUL'],['Paper'],['Add.3340'],,['Cairo Genizah'],,['Judaeo-Arabic'],['21 lines (recto); 6 lines (verso)'],['Ḥalfon b. Nathaniel ha-Levi'],['Joseph b. Samuel ha-Levi ibn Ḵatuš'],,,,
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-03341,"<p style='text-align: justify;'>Ruling from the Bet Din of Minyat Ziftā, addressed to the Nagid Abraham Maimonides, dated Ṭevet 1531 (= 1219-1220 CE). Despite vehement opposition from other parties in the town, Moses b. Peraḥya is cleared of charges against him and his appointment is recommended. Moses is reported to be 'extremely modest, bashful, humble, taciturn, forbearing, and inexperienced in trouble-making'. Signed by Ṣedaqa b. Šela, Solomon b. Benjamin, Solomon b. Yefet, Yefet b. Isaiah ha-Levi, Moses b. Ṭahor ha-Kohen, Moses b. Yefet, Ḥalfon b. Obadiah, and Judah b. [...].</p>","Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-03341-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-03341-000-00001.jp2']","['Torn, holes']",['Minyat Ziftā'],['Purchased from S. A. Wertheimer in 1896. Probably from the Cairo Genizah.'],['Cambridge University Library'],"['1 leaf. Leaf height: 26 cm, width: 17 cm.']","[""<p style='text-align: justify;'>Ruling from the Bet Din of Minyat Ziftā, addressed to the Nagid Abraham Maimonides, dated Ṭevet 1531 (= 1219-1220 CE). Despite vehement opposition from other parties in the town, Moses b. Peraḥya is cleared of charges against him and his appointment is recommended. Moses is reported to be 'extremely modest, bashful, humble, taciturn, forbearing, and inexperienced in trouble-making'. Signed by Ṣedaqa b. Šela, Solomon b. Benjamin, Solomon b. Yefet, Yefet b. Isaiah ha-Levi, Moses b. Ṭahor ha-Kohen, Moses b. Yefet, Ḥalfon b. Obadiah, and Judah b. [...].</p>""]",['1219-1220 CE'],['Legal document'],['CUL'],['Paper'],['Add.3341'],,['Cairo Genizah'],['Moses b. Peraḥya; Ṣedaqa b. Šela; Solomon b. Benjamin; Solomon b. Yefet; Yefet b. Isaiah ha-Levi; Moses b. Ṭahor ha-Kohen; Moses b. Yefet; Ḥalfon b. Obadiah; Judah b. [...]'],['Hebrew; Judaeo-Arabic'],['27 lines (recto; verso is blank)'],['Abraham Maimonides'],,,,,
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-03342,"<p style='text-align: justify;'>Letter, with rhymed praises, to the judge ʿAzarya b. Ephraim from the court scribe Mevoraḵ b. Nathan. ʿAzarya has been seriously unwell but is now recovering. The writer welcomes the arrival of Jews from Jerusalem who have fled Crusaders there (the letter was written in Spring 1172, at the start of Saladin's rule). Dated Nisan 1483 (= March/April 1172 CE).</p>","Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-03342-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-03342-000-00001.jp2']","['Torn, holes, stained']",['Egypt'],['Purchased from S. A. Wertheimer in 1896. Probably from the Cairo Genizah.'],['Cambridge University Library'],"['1 leaf. Leaf height: 49 cm, width: 19 cm.']","[""<p style='text-align: justify;'>Letter, with rhymed praises, to the judge ʿAzarya b. Ephraim from the court scribe Mevoraḵ b. Nathan. ʿAzarya has been seriously unwell but is now recovering. The writer welcomes the arrival of Jews from Jerusalem who have fled Crusaders there (the letter was written in Spring 1172, at the start of Saladin's rule). Dated Nisan 1483 (= March/April 1172 CE).</p>""]",['1172 CE'],['Letter'],['CUL'],['Paper'],['Add.3342'],['Several leaves have been joined end to end to create a longer leaf. Joins with T-S 8J19.8.; Associated manuscripts: T-S 8J19.8'],['Cairo Genizah'],['Saladin'],['Hebrew'],['61 lines (recto; verso is blank)'],['ʿAzarya b. Ephraim'],['Mevoraḵ b. Nathan'],['Mevoraḵ b. Nathan'],,,
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-03343,"<p style='text-align: justify;'>Letter from the scribe Solomon b. Elijah the judge to his cousin Abū l-Barakāt b. Abū l-Manṣūr al-Ḥarīrī. Solomon is cancelling his planned visit before Passover due a period of unrest and expresses concern for the plight of the Jews. Solomon is unenthusiastic to learn of a marriage that has recently taken place between Ibn al-ʿAmmānī and Solomon's paternal cousin, and he feels that Ibn al-ʿAmmānī has made the better match. Reference is made to a forthcoming marriage in the family, and greetings are sent to various individuals. From T-S 13J34.9 we learn that Solomon's cousin who married Hibatallāh b. Futūḥ Ibn al-ʿAmmānī was Sitt al-Yumn. This is possibly the same cousin Sitt al-Yumn that Solomon had unsuccessfully tried to marry himself in 1219 CE (T-S 13J18.22).</p>","Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-03343-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-03343-000-00001.jp2']","['Torn, holes, stained']",['Egypt'],['Purchased from S. A. Wertheimer in 1896. Probably from the Cairo Genizah.'],['Cambridge University Library'],"['1 leaf. Leaf height: 22 cm, width: 16 cm.']","[""<p style='text-align: justify;'>Letter from the scribe Solomon b. Elijah the judge to his cousin Abū l-Barakāt b. Abū l-Manṣūr al-Ḥarīrī. Solomon is cancelling his planned visit before Passover due a period of unrest and expresses concern for the plight of the Jews. Solomon is unenthusiastic to learn of a marriage that has recently taken place between Ibn al-ʿAmmānī and Solomon's paternal cousin, and he feels that Ibn al-ʿAmmānī has made the better match. Reference is made to a forthcoming marriage in the family, and greetings are sent to various individuals. From T-S 13J34.9 we learn that Solomon's cousin who married Hibatallāh b. Futūḥ Ibn al-ʿAmmānī was Sitt al-Yumn. This is possibly the same cousin Sitt al-Yumn that Solomon had unsuccessfully tried to marry himself in 1219 CE (T-S 13J18.22).</p>""]",['13th century'],['Letter'],['CUL'],['Paper'],['Add.3343'],['Associated manuscripts: T-S 13J34.9 T-S 13J18.22'],['Cairo Genizah'],['Hibatallāh b. Futūḥ Ibn al-ʿAmmānī; Sitt al-Yumn'],['Hebrew; Judaeo-Arabic; Arabic'],['23 lines + marginalia (recto); 19 lines (verso)'],['Abū l-Barakāt b. Abū l-Manṣūr al-Ḥarīrī'],['Solomon b. Elijah'],['Solomon b. Elijah'],,,
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-03345,,"Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-03345-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-03345-000-00001.jp2']",,,,['Cambridge University Library'],,,,['Genizah Fragment'],['CUL'],,['Add.3345'],,['Cairo Genizah'],,,,,,,,,
https://cudl.lib.cam.ac.uk/iiif/MS-ADD-03348,,"Provided by Cambridge University Library. Zooming image © Cambridge University Library, All rights reserved.  This image may be used in accord with fair use and fair dealing provisions, including teaching and research. If you wish to reproduce it within publications or on the public web, please contact genizah@lib.cam.ac.uk.   This metadata is published free of restrictions, under the terms of the Creative Commons CC0 1.0 Universal Public Domain Dedication.","['https://images.lib.cam.ac.uk/iiif/MS-ADD-03348-000-00001.jp2', 'https://images.lib.cam.ac.uk/iiif/MS-ADD-03348-000-00001.jp2']",,,,['Cambridge University Library'],,,,['Genizah Fragment'],['CUL'],,['Add.3348'],,['Cairo Genizah'],,,,,,,,,
