id,personal_name,shown_at,preview,raw_object,title,titleInfo_title,name_namePart,typeOfResource,genre,originInfo_place_placeTerm,language_languageTerm,physicalDescription_form,note,subject_geographicCode,subject_topic,subject_geographic,subject_hierarchicalGeographic_country,relatedItem_titleInfo_title,identifier,relatedItem_location_url,location_url,location_physicalLocation,extension_DRSMetadata_inDRS,extension_librarycloud_availableTo,extension_sets_set_systemId,recordInfo_descriptionStandard,title_alternative,classification,subject_name_namePart,recordInfo_recordCreationDate,titleInfo_nonSort,recordInfo_recordContentSource,tableOfContents,physicalDescription_reformattingQuality,abstract,extension_librarycloud_HarvardRepositories_HarvardRepository,subject_temporal,physicalDescription_extent,subject_cartographics_scale,relatedItem_identifier,subject_titleInfo_title,accessCondition,extension_librarycloud_originalDocument
990019984110203941,"['Sukkarī, Muḥammad Amīn Ṣūfī.', 'سكري، محمد أمين صوفي.']","['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990019984110203941', 'https://id.lib.harvard.edu/digital_collections/990019984110203941']","['https://ids.lib.harvard.edu/ids/iiif/11404183/full/,150/0/default.jpg']",['https://nrs.harvard.edu/urn-3:FHCL:2303067'],"['Kitāb Samīr al-layālī', 'Samīr al-layālī', 'سمير الليالي', 'كتاب سمير الليالي']","['Kitāb Samīr al-layālī', 'Samīr al-layālī', 'سمير الليالي', 'كتاب سمير الليالي']","['Sukkarī, Muḥammad Amīn Ṣūfī.', 'سكري، محمد أمين صوفي.']",['text'],['handbook'],"['Ṭarābulus al-Shām', 'طرابلس الشام :']",['Arabic'],['print'],"['li-Muḥammad Amīn Ṣūfī al-Sukkarī.', 'With (in pocket) 7 p. descriptive advertisement for 2nd ed. of 1327 AH [1909 AD].', 'لمحمد أمين صوفي السكري.']",['aw-----'],"['Handbooks, vade-mecums, etc']","['Middle East', 'Turkey']",['Lebanon'],['Open Collections Program at Harvard University'],['9240348'],['https://id.lib.harvard.edu/alma/990019984110203941/catalog'],['https://id.lib.harvard.edu/digital_collections/990019984110203941'],"['Widener Library, Harvard University']",['true'],['Everyone'],['7'],['aacr'],,,,,,,,,,,,,,,,,
990020388870203941,"['Fanārī, Muḥammad ibn Ḥamzah', 'فناري، محمد بن حمزة.']","['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990020388870203941', 'https://id.lib.harvard.edu/digital_collections/990020388870203941']","['https://ids.lib.harvard.edu/ids/iiif/11090852/full/,150/0/default.jpg']","['https://nrs.harvard.edu/urn-3:FHCL:2175614', 'https://hdl.handle.net/2027/hvd.HW57MT']","['Kitāb Fuṣūl al-badāʼiʻ fī uṣūl al-sharāʼiʻ', 'Fuṣūl al-badāʼiʻ fī uṣūl al-sharāʼiʻ', 'Fuṣūl al-badāʼiʻ fī uṣūl al-sharāʼiʻ', 'فصول البدائع في أصول الشرائع', 'كتاب فصول البدايع في أصول الشرايع', 'فصول البدائع في أصول الشرائع']","['Kitāb Fuṣūl al-badāʼiʻ fī uṣūl al-sharāʼiʻ', 'Fuṣūl al-badāʼiʻ fī uṣūl al-sharāʼiʻ', 'Fuṣūl al-badāʼiʻ fī uṣūl al-sharāʼiʻ', 'فصول البدائع في أصول الشرائع', 'كتاب فصول البدايع في أصول الشرايع', 'فصول البدائع في أصول الشرائع']","['1350 or 1351-1430 or 1431', '1350 or 1351-1430 or 1431']",['text'],"['bibliography', 'Lithographs.']","['[Istanbul', '[استانبول :']",['Arabic'],['print'],"['muʻallifuhu Shams al-Dīn Muḥammad ibn Ḥamzah ibn Muḥammad al-Fanārī.', 'Lithograph.', 'Title embedded in text.', 'مؤلفه شمس الدين محمد بن حمزة بن محمد الفناري.']",,"['Interpretation and construction', 'Hanafites']",,['Turkey'],['Open Collections Program at Harvard University'],['48160953'],['https://id.lib.harvard.edu/alma/990020388870203941/catalog'],"['https://id.lib.harvard.edu/digital_collections/990020388870203941', 'https://hdl.handle.net/2027/hvd.HW57MT']","['Widener Library, Harvard University']",['true'],['Everyone'],['7'],['aacr'],"['Fuṣūl al-badāʼiʻ fī uṣūl al-sharāʼiʻ', 'فصول البدائع في أصول الشرائع']",['BP175.J5 S56'],,,,,,,,,,,,,,,
990020392720203941,"['Sīrūzī, Muṣṭafá al-Quṭb al-Rīzawī.', 'Kalanbawī, Ismāʻīl ibn Muṣṭafá', 'Kalanbawī, Ismāʻīl ibn Muṣṭafá,', 'سيروزي، مصطفى القطب الريزوي.', 'كلنبوي، إسماعيل بن مصطفى،', 'كلنبوي، إسماعيل بن مصطفى،']","['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990020392720203941', 'https://id.lib.harvard.edu/digital_collections/990020392720203941']","['https://ids.lib.harvard.edu/ids/iiif/11234165/full/,150/0/default.jpg']","['https://nrs.harvard.edu/urn-3:FHCL:2232054', 'https://hdl.handle.net/2027/hvd.32044106136559']","['Sharḥ al-Burhān', 'Burhān fī ʻilm al-mīzān', 'شرح البرهان', 'برهان في علم الميزان']","['Sharḥ al-Burhān', 'شرح البرهان']","['Sīrūzī, Muṣṭafá al-Quṭb al-Rīzawī.', 'سيروزي، مصطفى القطب الريزوي.', '-1790 or 1791']",['text'],['bibliography'],"['[Istanbul', '[استانبول :']",['Arabic'],['print'],"['[Muṣṭafá al-Quṭb al-Rīzawī al-Sīrūzī].', '[مصطفى القطب الريزوي السيروزي].']",,"['Logic', 'Logic']",,['Turkey'],"['Burhān fī ʻilm al-mīzān. 1880', 'Open Collections Program at Harvard University']",['426325910'],['https://id.lib.harvard.edu/alma/990020392720203941/catalog'],"['https://id.lib.harvard.edu/digital_collections/990020392720203941', 'https://hdl.handle.net/2027/hvd.32044106136559']","['Widener Library, Harvard University', 'Widener Library, Harvard University']",['true'],['Everyone'],['7'],['aacr'],,,"['-1790 or 1791', '-1790 or 1791']",,,,,,,,,,,,,,
990020411910203941,"['Qarah Khalīl', 'Fanārī, Muḥammad ibn Ḥamzah', '،قره خليل', 'فناري، محمد بن حمزة،']","['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990020411910203941', 'https://id.lib.harvard.edu/digital_collections/990020411910203941']","['https://ids.lib.harvard.edu/ids/iiif/11219767/full/,150/0/default.jpg']","['https://nrs.harvard.edu/urn-3:FHCL:2225242', 'https://catalog.hathitrust.org/Record/102744087']","['Ḥāshiyat Qarah Khalīl ʻalá al-Fanārī', 'Ḥāshiyah-ʼi Qarah Khalīl ʻalá al-Fanārī', ""Haşiye-yi Kara Halil ale'l-Fenari"", 'Khalāʼ al-anẓār fī ḥall ʻawīṣāt al-afkār', 'Fawāʼid al-Fanārīyah', 'خلاء الأنظار في حل عويصة الأفكار', 'حاشية قره خليل على الفناري', 'حاشيه قره خليل على الفناري', 'حاشيه قره خليل على الفناري', 'فوائد الفنارية']","['Ḥāshiyat Qarah Khalīl ʻalá al-Fanārī', 'Ḥāshiyah-ʼi Qarah Khalīl ʻalá al-Fanārī', ""Haşiye-yi Kara Halil ale'l-Fenari"", 'Khalāʼ al-anẓār fī ḥall ʻawīṣāt al-afkār', 'خلاء الأنظار في حل عويصة الأفكار', 'حاشية قره خليل على الفناري', 'حاشيه قره خليل على الفناري', 'حاشيه قره خليل على الفناري']","['-1711 or 1712', '-1711 or 1712']",['text'],"['bibliography', 'Early works']","['[Istanbul]', '[استانبول] :']",['Arabic'],['print'],,,['Logic'],,['Turkey'],"['Khalāʼ al-anẓār fī ḥall ʻawīṣāt al-afkār', 'Open Collections Program at Harvard University']",['33855304'],['https://id.lib.harvard.edu/alma/990020411910203941/catalog'],"['https://id.lib.harvard.edu/digital_collections/990020411910203941', 'https://catalog.hathitrust.org/Record/102744087']","['Widener Library, Harvard University']",['true'],['Everyone'],['7'],['aacr'],"['Ḥāshiyah-ʼi Qarah Khalīl ʻalá al-Fanārī', ""Haşiye-yi Kara Halil ale'l-Fenari"", 'حاشيه قره خليل على الفناري', 'حاشيه قره خليل على الفناري']",,"['1350 or 1351-1430 or 1431', '1350 or 1351-1430 or 1431']",,,,,,,,,,,,,,
990020493890203941,"['Ḥamzah, Maḥmūd ibn Muḥammad Nasīb', 'Muḥammad', 'Prophet', 'Dāghistānī, ʻAlī ibn Ṣādiq,', 'حمزة، محمود بن محمد نسيب،', 'داغستاني، علي بن صادق،']","['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990020493890203941', 'https://id.lib.harvard.edu/digital_collections/990020493890203941']","['https://ids.lib.harvard.edu/ids/iiif/11304300/full/,150/0/default.jpg']","['https://nrs.harvard.edu/urn-3:FHCL:2252630', 'https://hdl.handle.net/2027/hvd.HW580Z']","['[Majmūʻat rasāʼil]', 'Tafāwuḍ fī al-tanāquḍ', 'Risālah fī khalal al-muḥāḍir wa-al-sijillāt', 'Risālat Rafʻ al-ghishāwah ʻan jawāz akhdh al-ujrah ʻalá al-tilāwah', 'Nūr al-lāmiʻ fī uṣūl al-jāmiʻ', 'Īḍāḥ al-maqāl fī al-dirham wa-al-mithqāl', 'Kashf al-sutūr ʻan ṣiḥḥat al-mihāyah fī al-maʼjūr', 'Urjūzah fī fann al-firāsah', 'Maṣāliḥ al-dirāyah fī iṣṭilāḥ al-hidāyah', 'Taṣḥīḥ al-nuqūl fī samāʻ daʻwá al-marʼah bi-kull al-miʻjāl baʻd al-dukhūl', 'Tanbīh al-khawāṣṣ ʻalá an al-imḍāʼ min al-qaḍaʼ fī al-ḥudūd lā fī al-qiṣāṣ', 'Risālat Kashf al-majānah ʻan al-ghasl fī al-ijānah', 'Fatwá al-khawāṣṣ fī ḥill mā ṣīda bi-al-raṣāṣ', 'Taḥrīr fī ḍamān al-maʼmūr wa-al-āmir wa-al-ajīr', 'Risālah fī ithbāt al-najāh wa-al-imān', '[مجموعة رسائل]', 'تفاوض في التناقض', 'رسالة في خلل المحاضر والسجلات', 'رسالة رفع الغشاوة عن جواز أخذ الأجرة على التلاوة', 'نور اللامع في أصول الجامع', 'إيضاح المقال في الدرهم والمثقال', 'كشف الستور عن صحة المهاية في المأجور', 'أرجوزة في فن الفراسة', 'مصالح الدراية في اصطلاح الهداية', 'تصحيح النقول في سماع دعوى المرأة بكل المعجال بعد الدخول', 'تنبيه الخواص على أن الامضاء من القضاء في الحدود لا في القصاص', 'رسالة كشف المجانة عن الغسل في الاجانة', 'فتوى الخواص في حل ما صيد بالرصاص', 'تحرير في ضمان المأمور والآمر والاجير', 'رسالة في اثبات النجاة والإيمان']","['[Majmūʻat rasāʼil]', 'Tafāwuḍ fī al-tanāquḍ', 'Risālah fī khalal al-muḥāḍir wa-al-sijillāt', 'Risālat Rafʻ al-ghishāwah ʻan jawāz akhdh al-ujrah ʻalá al-tilāwah', 'Nūr al-lāmiʻ fī uṣūl al-jāmiʻ', 'Īḍāḥ al-maqāl fī al-dirham wa-al-mithqāl', 'Kashf al-sutūr ʻan ṣiḥḥat al-mihāyah fī al-maʼjūr', 'Urjūzah fī fann al-firāsah', 'Maṣāliḥ al-dirāyah fī iṣṭilāḥ al-hidāyah', 'Taṣḥīḥ al-nuqūl fī samāʻ daʻwá al-marʼah bi-kull al-miʻjāl baʻd al-dukhūl', 'Tanbīh al-khawāṣṣ ʻalá an al-imḍāʼ min al-qaḍaʼ fī al-ḥudūd lā fī al-qiṣāṣ', 'Risālat Kashf al-majānah ʻan al-ghasl fī al-ijānah', 'Fatwá al-khawāṣṣ fī ḥill mā ṣīda bi-al-raṣāṣ', 'Taḥrīr fī ḍamān al-maʼmūr wa-al-āmir wa-al-ajīr', 'Risālah fī ithbāt al-najāh wa-al-imān', '[مجموعة رسائل]', 'تفاوض في التناقض', 'رسالة في خلل المحاضر والسجلات', 'رسالة رفع الغشاوة عن جواز أخذ الأجرة على التلاوة', 'نور اللامع في أصول الجامع', 'إيضاح المقال في الدرهم والمثقال', 'كشف الستور عن صحة المهاية في المأجور', 'أرجوزة في فن الفراسة', 'مصالح الدراية في اصطلاح الهداية', 'تصحيح النقول في سماع دعوى المرأة بكل المعجال بعد الدخول', 'تنبيه الخواص على أن الامضاء من القضاء في الحدود لا في القصاص', 'رسالة كشف المجانة عن الغسل في الاجانة', 'فتوى الخواص في حل ما صيد بالرصاص', 'تحرير في ضمان المأمور والآمر والاجير', 'رسالة في اثبات النجاة والإيمان']","['1820 or 1821-1887 or 1888', '1820 or 1821-1887 or 1888', '1713 or 1714-1784 or 1785']",['text'],['bibliography'],"['[Damascus]', '[دمشق] :']",['Arabic'],['print'],"['li-Maḥmūd Afandī al-Ḥamzāwī.', 'Total pages : 163.', '""Risālah fī ithbāt al-najāh wa-al-imān"" by ʻAlī al-Dāghistānī: 8 p. at end.', 'لمحمود افندي الحمزاوي.']",,"['Interpretation and construction', 'Functionaries', 'Characters and characteristics', 'Dowry (Islamic law)', 'Marriage (Islamic law)', 'Dietary laws', 'Liability (Islamic law)', 'Judicial process (Islamic law)', 'Fatwas', 'Legal instruments (Islamic law)']",,['Syria'],"['Risālah fī ithbāt al-najāh wa-al-imān', 'Tafāwuḍ fī al-tanāquḍ', 'Risālah fī khalal al-muḥāḍir wa-al-sijillāt', 'Risālat Rafʻ al-ghishāwah ʻan jawāz akhdh al-ujrah ʻalá al-tilāwah', 'Nūr al-lāmiʻ fī uṣūl al-jāmiʻ', 'Īḍāḥ al-maqāl fī al-dirham wa-al-mithqāl', 'Kashf al-sutūr ʻan ṣiḥḥat al-mihāyah fī al-maʼjūr', 'Urjūzah fī fann al-firāsah', 'Maṣāliḥ al-dirāyah fī iṣṭilāḥ al-hidāyah', 'Taṣḥīḥ al-nuqūl fī samāʻ daʻwá al-marʼah bi-kull al-miʻjāl baʻd al-dukhūl', 'Tanbīh al-khawāṣṣ ʻalá an al-imḍāʼ min al-qaḍaʼ fī al-ḥudūd lā fī al-qiṣāṣ', 'Risālat Kashf al-majānah ʻan al-ghasl fī al-ijānah', 'Fatwá al-khawāṣṣ fī ḥill mā ṣīda bi-al-raṣāṣ', 'Taḥrīr fī ḍamān al-maʼmūr wa-al-āmir wa-al-ajīr', 'Risālah fī ithbāt al-najāh wa-al-imān', 'Open Collections Program at Harvard University']",['78363817'],['https://id.lib.harvard.edu/alma/990020493890203941/catalog'],"['https://id.lib.harvard.edu/digital_collections/990020493890203941', 'https://hdl.handle.net/2027/hvd.HW580Z']","['Widener Library, Harvard University']",['true'],['Everyone'],['7'],['aacr'],"['Tafāwuḍ fī al-tanāquḍ', 'Risālah fī khalal al-muḥāḍir wa-al-sijillāt', 'Risālat Rafʻ al-ghishāwah ʻan jawāz akhdh al-ujrah ʻalá al-tilāwah', 'Nūr al-lāmiʻ fī uṣūl al-jāmiʻ', 'Īḍāḥ al-maqāl fī al-dirham wa-al-mithqāl', 'Kashf al-sutūr ʻan ṣiḥḥat al-mihāyah fī al-maʼjūr', 'Urjūzah fī fann al-firāsah', 'Maṣāliḥ al-dirāyah fī iṣṭilāḥ al-hidāyah', 'Taṣḥīḥ al-nuqūl fī samāʻ daʻwá al-marʼah bi-kull al-miʻjāl baʻd al-dukhūl', 'Tanbīh al-khawāṣṣ ʻalá an al-imḍāʼ min al-qaḍaʼ fī al-ḥudūd lā fī al-qiṣāṣ', 'Risālat Kashf al-majānah ʻan al-ghasl fī al-ijānah', 'Fatwá al-khawāṣṣ fī ḥill mā ṣīda bi-al-raṣāṣ', 'Taḥrīr fī ḍamān al-maʼmūr wa-al-āmir wa-al-ajīr', 'Risālah fī ithbāt al-najāh wa-al-imān', 'تفاوض في التناقض', 'رسالة في خلل المحاضر والسجلات', 'رسالة رفع الغشاوة عن جواز أخذ الأجرة على التلاوة', 'نور اللامع في أصول الجامع', 'إيضاح المقال في الدرهم والمثقال', 'كشف الستور عن صحة المهاية في المأجور', 'أرجوزة في فن الفراسة', 'مصالح الدراية في اصطلاح الهداية', 'تصحيح النقول في سماع دعوى المرأة بكل المعجال بعد الدخول', 'تنبيه الخواص على أن الامضاء من القضاء في الحدود لا في القصاص', 'رسالة كشف المجانة عن الغسل في الاجانة', 'فتوى الخواص في حل ما صيد بالرصاص', 'تحرير في ضمان المأمور والآمر والاجير', 'رسالة في اثبات النجاة والإيمان']",,['-632'],,,,,,,,,,,,,,
990020540170203941,"['Sarı Abdullah', 'صاري عبد الله،']","['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990020540170203941', 'https://id.lib.harvard.edu/digital_collections/990020540170203941']","['https://ids.lib.harvard.edu/ids/iiif/11290675/full/,150/0/default.jpg']",['https://nrs.harvard.edu/urn-3:FHCL:2251909'],"[""Semerat ül-fuad fi 'l-mebde ve 'l-me'ad"", ""Semeratü'l-fuâd fi'l-mebde ve'l-meâd"", 'Thamarāt al-fuʼād fī al-mabdaʼ wa-al-maʻād', ""Semeratü'l-fuâd fi'l-mebde ve'l-meâd"", 'Thamarāt al-fuʼād fī al-mabdaʼ wa-al-maʻād', 'ثمرات الفؤاد في المبدأ والمعاد', 'ثمرات الفؤاد في المبدأ والمعاد', 'ثمرات الفؤاد في المبدأ والمعاد']","[""Semerat ül-fuad fi 'l-mebde ve 'l-me'ad"", ""Semeratü'l-fuâd fi'l-mebde ve'l-meâd"", 'Thamarāt al-fuʼād fī al-mabdaʼ wa-al-maʻād', ""Semeratü'l-fuâd fi'l-mebde ve'l-meâd"", 'Thamarāt al-fuʼād fī al-mabdaʼ wa-al-maʻād', 'ثمرات الفؤاد في المبدأ والمعاد', 'ثمرات الفؤاد في المبدأ والمعاد', 'ثمرات الفؤاد في المبدأ والمعاد']","['1584-1660 or 1661', '1584-1660 or 1661']",['text'],"['bibliography', 'Biographies', 'Biographies']","['[Istanbul]', '[استانبول] :']","['Turkish, Ottoman (1500-1928)']",['print'],"['li-şarih il-Mesnevi Abdullah Efendi.', 'Imprint and date taken from colophon.', 'In Ottoman Turkish.', 'لشارح المثنوي عبد الله افندى.']",,"['Turkish poetry', 'Mysticism in literature', 'Muslim saints', 'Sufis']",,['Turkey'],"[""Semerat ül-fuad fi 'l-mebde ve 'l-me'ad"", 'Open Collections Program at Harvard University']",['4068435'],['https://id.lib.harvard.edu/alma/990020540170203941/catalog'],['https://id.lib.harvard.edu/digital_collections/990020540170203941'],"['Widener Library, Harvard University']",['true'],['Everyone'],['7'],['aacr'],"[""Semeratü'l-fuâd fi'l-mebde ve'l-meâd"", 'Thamarāt al-fuʼād fī al-mabdaʼ wa-al-maʻād', ""Semeratü'l-fuâd fi'l-mebde ve'l-meâd"", 'Thamarāt al-fuʼād fī al-mabdaʼ wa-al-maʻād', 'ثمرات الفؤاد في المبدأ والمعاد', 'ثمرات الفؤاد في المبدأ والمعاد']","['PL248 S245s, 1871']",,,,,,,,,,,,,,,
990020546770203941,"['Nuri Mehmet Şemseddin', 'Müstakimzade Süleyman Sadeddin,', 'نوري محمد شمس الدين،', 'مستقيم زاده سليمان سعد الدين،']","['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990020546770203941', 'https://id.lib.harvard.edu/digital_collections/990020546770203941']","['https://ids.lib.harvard.edu/ids/iiif/11305785/full/,150/0/default.jpg']","['https://hdl.handle.net/2027/hvd.HWR5WY', 'https://nrs.harvard.edu/urn-3:FHCL:2252639']","['Vasiyetname', 'Şerh-i evrad-i Kadiri', 'Waṣīyatnāmah', 'Şerh-i evrad-i Kadiri', 'وصيتنامه', 'شرح اوراد قادري', 'وصيتنامه', 'شرح اوراد قادري']","['Vasiyetname', 'Şerh-i evrad-i Kadiri', 'Waṣīyatnāmah', 'Şerh-i evrad-i Kadiri', 'وصيتنامه', 'شرح اوراد قادري', 'وصيتنامه', 'شرح اوراد قادري']","['-approximately 1863', '-approximately 1863', '1718-1787']",['text'],['bibliography'],"['İstanbul', 'استانبول :']","['Turkish, Ottoman (1500-1928)']",['print'],"['Şeyh Şemseddin Mehmet en-Nuri.', 'No collective t.p.; titles transcribed from individual title pages (p. [2] et p. [18]).', 'In Ottoman Turkish.', 'شيخ شمس الدين محمد النوري.']",,"['Doctrines', 'Sufism', 'Qādirīyah']",,['Turkey'],"['Şerh-i evrad-i Kadiri', 'Şerh-i evrad-i Kadiri', 'Open Collections Program at Harvard University']",['34049540'],['https://id.lib.harvard.edu/alma/990020546770203941/catalog'],"['https://id.lib.harvard.edu/digital_collections/990020546770203941', 'https://ids.lib.harvard.edu/ids/iiif/11305785/full/,150/0/default.jpg']","['Widener Library, Harvard University']",['true'],['Everyone'],['7'],['aacr'],"['Şerh-i evrad-i Kadiri', 'Waṣīyatnāmah', 'Şerh-i evrad-i Kadiri', 'شرح اوراد قادري', 'وصيتنامه', 'شرح اوراد قادري']",,,,,,,,,,,,,,,,
990020890050203941,"['Ḥamzah, Maḥmūd ibn Muḥammad Nasīb', 'Muʻaẓẓam, Muḥammad Nasīb.', 'حمزة، محمود بن محمد نسيب،', 'معظم، محمد نسيب.']","['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990020890050203941', 'https://id.lib.harvard.edu/digital_collections/990020890050203941']","['https://ids.lib.harvard.edu/ids/iiif/11500194/full/,150/0/default.jpg']","['https://nrs.harvard.edu/urn-3:FHCL:2350191', 'https://hdl.handle.net/2027/hvd.HW59EL']","['Kitāb al-Fatāwá al-naẓm', 'كتاب الفتاوى النظم']","['Kitāb al-Fatāwá al-naẓm', 'كتاب الفتاوى النظم']","['1820 or 1821-1887 or 1888', 'Muʻaẓẓam, Muḥammad Nasīb.', '1820 or 1821-1887 or 1888', 'معظم، محمد نسيب.']",['text'],['bibliography'],"['Dimashq', 'دمشق :']",['Arabic'],['print'],"['li-Maḥmūd Afandī al-Ḥamzāwī.', 'In verse.', '""Ḥuqūq al-ṭabʻ maḥfūẓah li-Muḥammad Naṣīb al-Muʻaẓẓam""--Cover.', 'لمحمود افندي الحمزاوي.']",,"['Islamic law', 'Fatwas']",,['Syria'],"['Kitāb al-fatāwá al-naẓm', 'Open Collections Program at Harvard University']",['48805731'],['https://id.lib.harvard.edu/alma/990020890050203941/catalog'],"['https://id.lib.harvard.edu/digital_collections/990020890050203941', 'https://hdl.handle.net/2027/hvd.HW59EL']","['Widener Library, Harvard University', 'Widener Library, Harvard University']",['true'],['Everyone'],['7'],['aacr'],,['BP144 .H36 1908'],,,,,,,,,,,,,,,
990021017680203941,"['Dimashqī, Maḥmūd Maḥfūẓ.', 'Muḥammad', 'Prophet', 'دمشقي، محمود محفوظ.']","['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990021017680203941', 'https://id.lib.harvard.edu/digital_collections/990021017680203941']","['https://ids.lib.harvard.edu/ids/iiif/11548374/full/,150/0/default.jpg']",['https://nrs.harvard.edu/urn-3:FHCL:2380010'],"['Hādhā Mawlid al-Nabī', 'Mawlid al-Nabī', 'مولد النبي', 'هذا مولد النبي']","['Hādhā Mawlid al-Nabī', 'Mawlid al-Nabī', 'مولد النبي', 'هذا مولد النبي']","['Dimashqī, Maḥmūd Maḥfūẓ.', 'دمشقي، محمود محفوظ.']",['text'],['bibliography'],"['Miṣr [Cairo]', 'مصر [القاهرة] :']",['Arabic'],['print'],"['li-Maḥmūd Maḥfūẓ al-Dimashqī al-Shāfiʻī.', 'لمحمود محفوظ الدمشقي الشافعي.']",,['Mawlid al-Nabī'],,['Egypt'],['Open Collections Program at Harvard University'],['741445410'],['https://id.lib.harvard.edu/alma/990021017680203941/catalog'],['https://id.lib.harvard.edu/digital_collections/990021017680203941'],"['Widener Library, Harvard University']",['true'],['Everyone'],['7'],['aacr'],,,['-632'],,,,,,,,,,,,,,
990021024670203941,"['Zaydān, Jirjī', 'Ṣāliḥ, Ilyās', 'Ḥalawānī, Amīn ibn Ḥasan', 'Zaydān, Jirjī', 'زيدان، جرجي،', 'حلواني، امين بن حسن،', 'زيدان، جرجي،', 'صالح، إلياس،']","['https://id.lib.harvard.edu/digital_collections/990021024670203941', 'https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990021024670203941']","['https://ids.lib.harvard.edu/ids/iiif/13153412/full/,150/0/default.jpg']","['https://nrs.harvard.edu/urn-3:FHCL:2958481', 'https://hdl.handle.net/2027/hvd.HXFZ9E']","['Radd rannān ʻalá Nabsh al-hadhayān', 'Raddun rannān ʻalá Nabsh al-hadhayān', 'Nabsh al-hadhayān min tārīkh Jirjī Zaydān', 'Tārīkh Miṣr al-ḥadīth', 'رد رنان على نبش الهذيان', 'نبش الهديان من تاريخ جرجي زيدان', 'تاريخ مصر الحديث']","['Radd rannān ʻalá Nabsh al-hadhayān', 'Raddun rannān ʻalá Nabsh al-hadhayān', 'رد رنان على نبش الهذيان']","['1861-1914', '1839-1885', '1861-1914', '1839-1885']",['text'],,"['Miṣr', 'مصر :']",['Arabic'],['print'],"['[Jurjī Zaydān].', 'Ilyās Ṣāliḥ wrote the introduction.', 'Zaydan\'s answer to the criticism of his Tārīkh Miṣr al-ḥadīth made by Ḥalawānī in his ""Nabsh al-hadhayān min tārīkh Jirjī Zaydān"".', '[جرجي زيدان].']",['f-ua---'],,"['Egypt', 'Islamic Empire']",['Egypt'],['Open Collections Program at Harvard University'],['33857083'],['https://id.lib.harvard.edu/alma/990021024670203941/catalog'],"['https://id.lib.harvard.edu/curiosity/islamic-heritage-project/40-990021024670203941', 'https://hdl.handle.net/2027/hvd.HXFZ9E']","['Widener Library, Harvard University', 'Widener Library, Harvard University']",['true'],['Everyone'],['7'],,['Raddun rannān ʻalá Nabsh al-hadhayān'],,"['-1898', '1861-1914', '-1898', '1861-1914']",['910124'],,,,,,,,,,,,,
