id,description_fr,subject_fr,title_fr,publisher,title,creator,contributor,identifier,source,language,subject,type,description,rights,date,coverage,subject_ar,subject_en,title_en,description_en
oai:HAL:medihal-00852405v1,['Mission archéologique française à Palmyre. 1923. Gélatine (9x14)'],"['époque romaine', 'Calcaire Palmyre', 'Tombeaux', 'تدمر', 'Tadmor', 'Syrie', 'Palmyre']","['Syrie, Palmyre, Vallée des tombeaux nécropole ouest et butte de Belqis en direction du village']",['HAL CCSD'],"['Syrie, Palmyre, Vallée des tombeaux nécropole ouest et butte de Belqis en direction du village']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00852405', 'https://media.hal.science/medihal-00852405', 'https://media.hal.science/medihal-00852405/image', 'https://media.hal.science/medihal-00852405/file/ifpo_03084_-_copie.jpg']","['https://media.hal.science/medihal-00852405', 'Photography. Syria. 1923']",['en'],"['époque romaine', 'Calcaire Palmyre', 'Tombeaux', 'تدمر', 'Tadmor', 'Syrie', 'Palmyre', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory', '[SHS]Humanities and Social Sciences']","['info:eu-repo/semantics/other', 'Photos']",['Mission archéologique française à Palmyre. 1923. Gélatine (9x14)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1923'],,,,,
oai:HAL:medihal-00852404v1,['Époque romaine ; Mission archéologique française à Palmyre. 1923. Gélatine (9x14)'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'sculpture ornementale', 'porte', 'calcaire de Palmyre', 'époque romaine']","['Tombeau de Aailami et Zébida , fragment de porte à caisson (Palmyre, Syrie)']",['HAL CCSD'],"['Tombeau de Aailami et Zébida , fragment de porte à caisson (Palmyre, Syrie)']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00852404', 'https://media.hal.science/medihal-00852404', 'https://media.hal.science/medihal-00852404/image', 'https://media.hal.science/medihal-00852404/file/IMG02948_cd329.jpg']","['https://media.hal.science/medihal-00852404', 'Photography. Ifpo-02948, Syria. 1923']",['en'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'sculpture ornementale', 'porte', 'calcaire de Palmyre', 'époque romaine', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory']","['info:eu-repo/semantics/other', 'Photos']",['Époque romaine ; Mission archéologique française à Palmyre. 1923. Gélatine (9x14)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1923'],,,,,
oai:HAL:medihal-00852403v1,['Époque romaine ; Mission archéologique française à Palmyre. 1923. Gélatine (9x14)'],"['Ifpo', 'Syrie -Qasr EL Heir', 'calcaire de Palmyre', 'époque romaine']","[""Portes Est et Ouest de l'enceinte Ouest (Qasr EL Heir, Syrie)""]",['HAL CCSD'],"['Portes Est et Ouest de l####enceinte Ouest (Qasr EL Heir, Syrie)']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00852403', 'https://media.hal.science/medihal-00852403', 'https://media.hal.science/medihal-00852403/image', 'https://media.hal.science/medihal-00852403/file/IMG02599_cd325.jpg', 'https://media.hal.science/medihal-00852403/file/IMG02599_cd325.tif']","['https://media.hal.science/medihal-00852403', 'Photography. Ifpo-02599, Qasr El Heir, Syria. 1923']",['en'],"['Ifpo', 'Syrie -Qasr EL Heir', 'calcaire de Palmyre', 'époque romaine', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory']","['info:eu-repo/semantics/other', 'Photos']",['Époque romaine ; Mission archéologique française à Palmyre. 1923. Gélatine (9x14)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1923'],"['Qasr El Heir, Syria']",,,,
oai:HAL:medihal-00852401v1,['Époque romaine ; Mission archéologique française à Palmyre. 1923. gélatine plan-film (9x14)'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'tombeau', 'sculpture ornementale', 'calcaire de Palmyre', 'époque romaine']","[""Hypogée d'Atenatan fils Zabdateh, exèdre de Maqqai les sarcophages à kliné nord (Palmyre, Syrie)""]",['HAL CCSD'],"['Hypogée d####Atenatan fils Zabdateh, exèdre de Maqqai les sarcophages à kliné nord (Palmyre, Syrie)']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00852401', 'https://media.hal.science/medihal-00852401', 'https://media.hal.science/medihal-00852401/image', 'https://media.hal.science/medihal-00852401/file/IMG02585_cd326.jpg', 'https://media.hal.science/medihal-00852401/file/IMG02585_cd326.tif']","['https://media.hal.science/medihal-00852401', 'Photography. Ifpo-02585, Syria. 1923']",['en'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'tombeau', 'sculpture ornementale', 'calcaire de Palmyre', 'époque romaine', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory']","['info:eu-repo/semantics/other', 'Photos']",['Époque romaine ; Mission archéologique française à Palmyre. 1923. gélatine plan-film (9x14)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1923'],,,,,
oai:HAL:medihal-00852400v1,['Époque romaine ; Mission archéologique française à Palmyre. 1923. gélatine plan-film (9x14)'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'tombeau', 'sculpture ornementale', 'calcaire de Palmyre', 'époque romaine']","[""Hypogée d'Atenatan fils Zabdateh, fragment de bas-relief représentant Priape (Palmyre, Syrie)""]",['HAL CCSD'],"['Hypogée d####Atenatan fils Zabdateh, fragment de bas-relief représentant Priape (Palmyre, Syrie)']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00852400', 'https://media.hal.science/medihal-00852400', 'https://media.hal.science/medihal-00852400/image', 'https://media.hal.science/medihal-00852400/file/IMG02580.jpg', 'https://media.hal.science/medihal-00852400/file/IMG02580.tif']","['https://media.hal.science/medihal-00852400', 'Photography. Ifpo-02580, Syria. 1923']",['en'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'tombeau', 'sculpture ornementale', 'calcaire de Palmyre', 'époque romaine', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory']","['info:eu-repo/semantics/other', 'Photos']",['Époque romaine ; Mission archéologique française à Palmyre. 1923. gélatine plan-film (9x14)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1923'],,,,,
oai:HAL:medihal-00852399v1,['Époque romaine ; Mission archéologique française à Palmyre. 1923. gélatine plan-film (9x14)'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'tombeau', 'sculpture ornementale', 'calcaire de Palmyre', 'époque romaine']","[""Hypogée d'Atenatan fils Zabdateh, fragment d'homme couché costume palmyréniein (Palmyre, Syrie)""]",['HAL CCSD'],"['Hypogée d####Atenatan fils Zabdateh, fragment d####homme couché costume palmyréniein (Palmyre, Syrie)']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00852399', 'https://media.hal.science/medihal-00852399', 'https://media.hal.science/medihal-00852399/image', 'https://media.hal.science/medihal-00852399/file/IMG02579.jpg', 'https://media.hal.science/medihal-00852399/file/IMG02579.tif']","['https://media.hal.science/medihal-00852399', 'Photography. Ifpo-02779, Syria. 1923']",['en'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'tombeau', 'sculpture ornementale', 'calcaire de Palmyre', 'époque romaine', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory']","['info:eu-repo/semantics/other', 'Photos']",['Époque romaine ; Mission archéologique française à Palmyre. 1923. gélatine plan-film (9x14)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1923'],,,,,
oai:HAL:medihal-00852398v1,['époque romaine ; Mission archéologique française à Palmyre. 1923. Plaque (9x14)'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'tombeau', 'sculpture ornementale', 'calcaire de Palmyre', 'époque romaine']","[""Hypogée d'Atenatan fils Zabdateh, fragment d'homme couché costume palmyréniein !Palmyre, Syrie)""]",['HAL CCSD'],"['Hypogée d####Atenatan fils Zabdateh, fragment d####homme couché costume palmyréniein !Palmyre, Syrie)']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00852398', 'https://media.hal.science/medihal-00852398', 'https://media.hal.science/medihal-00852398/image', 'https://media.hal.science/medihal-00852398/file/IMG02578.jpg', 'https://media.hal.science/medihal-00852398/file/IMG02578.tif']","['https://media.hal.science/medihal-00852398', 'Photography. Ifpo-02578, Syria. 1923']",['en'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'tombeau', 'sculpture ornementale', 'calcaire de Palmyre', 'époque romaine', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory']","['info:eu-repo/semantics/other', 'Photos']",['époque romaine ; Mission archéologique française à Palmyre. 1923. Plaque (9x14)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1923'],,,,,
oai:HAL:medihal-00834931v1,['Plaque (24x18)'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'vue aérienne', 'époque romaine']","['Vue aérienne du temple de Bêl (2) (Palmyre, Syrie)']",['HAL CCSD'],"['Vue aérienne du temple de Bêl (2) (Palmyre, Syrie)']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00834931', 'https://media.hal.science/medihal-00834931', 'https://media.hal.science/medihal-00834931/image', 'https://media.hal.science/medihal-00834931/file/IMG21686.jpg']","['https://media.hal.science/medihal-00834931', 'Photography. Ifpo-021686, Palmyre, Syria. 1938']",['en'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'vue aérienne', 'époque romaine', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory']","['info:eu-repo/semantics/other', 'Photos']",['Plaque (24x18)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1938-07-07'],"['Palmyre, Syria']",,,,
oai:HAL:medihal-00834927v1,"[""Tirage ancien d'une plaque de verre disparue. Plaque (24x18)""]","['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'vue aérienne', 'époque romaine']","['Vue aérienne du sanctuaire de Bel dégagé (1er 2ème siècle) (Palmyre, Syrie)']",['HAL CCSD'],"['Vue aérienne du sanctuaire de Bel dégagé (1er 2ème siècle) (Palmyre, Syrie)']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00834927', 'https://media.hal.science/medihal-00834927', 'https://media.hal.science/medihal-00834927/image', 'https://media.hal.science/medihal-00834927/file/IMG21684.jpg']","['https://media.hal.science/medihal-00834927', 'Photography. Ifpo-021684, Palmyre, Syria. 1932']",['en'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'vue aérienne', 'époque romaine', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory']","['info:eu-repo/semantics/other', 'Photos']",['Tirage ancien d####une plaque de verre disparue. Plaque (24x18)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1932-10-12'],"['Palmyre, Syria']",,,,
oai:HAL:medihal-00834923v1,"[""Vue prise vers l'ouest à une date inconnue - 06.03.1936 ? Plaque (24x18)""]","['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'vue aérienne', 'époque romaine']","['Vue aérienne du temple du sanctuaire de Bêl (1er 2ème siècle) (Palmyre, Syrie)']",['HAL CCSD'],"['Vue aérienne du temple du sanctuaire de Bêl (1er 2ème siècle) (Palmyre, Syrie)']","['(ifpo), Institut Français Du Proche-Orient']",['Institut Français du Proche-Orient (IFPO) ; Ministère de l####Europe et des Affaires étrangères (MEAE)-Centre National de la Recherche Scientifique (CNRS)'],"['medihal-00834923', 'https://media.hal.science/medihal-00834923', 'https://media.hal.science/medihal-00834923/image', 'https://media.hal.science/medihal-00834923/file/IMG21681.jpg']","['https://media.hal.science/medihal-00834923', 'Photography. Ifpo-21681, Palmyre, Syria. 1936']",['en'],"['Ifpo', 'Syrie', 'Palmyre', 'Tadmor', 'تدمر', 'vue aérienne', 'époque romaine', '[SHS.ARCHEO]Humanities and Social Sciences/Archaeology and Prehistory']","['info:eu-repo/semantics/other', 'Photos']",['Vue prise vers l####ouest à une date inconnue - 06.03.1936 ? Plaque (24x18)'],"['http://creativecommons.org/licenses/by-nc-nd/', 'info:eu-repo/semantics/OpenAccess']",['1936-03-06'],"['Palmyre, Syria']",,,,
