context,id,iiif_format,profile,resource,contributors,creator,date,description,identifier,index-terms,language,title,type,repository,source
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:0/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:0/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Zogbe, Bibi']",['1949'],['Beginning of the third album in the collection: Les Peintres Du Liban'],['38a'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi -- Nenuphars']",['French'],['Les Peintres du Liban38a'],['Text page with a chiefly colored and mounted plate of Nenuphars'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/0"">Les Peintres du Liban38a</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:1/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:1/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Douaihy, Saliba']",['1949'],"[""Vieux Moulin de L'Akkar dans la region de Quoubayyat.""]",['09'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi -- Akkar -- Quoubayyat']",['French'],['Les Peintres du Liban09'],['Chiefly colored and mounted plate in Akkar'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/1"">Les Peintres du Liban09</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:2/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:2/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Douaihy, Saliba']",['1949'],['Palais de Beit-Ed-Dine'],['10'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi -- Beit-Ed-Dine']",['French'],['Les Peintres du Liban10'],['Chiefly colored and mounted plate of Beit-Ed-Dine'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/2"">Les Peintres du Liban10</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:3/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:3/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Douaihy, Saliba']",['1949'],"['Un grand Poete Arabe, Ahmad-As-Safi El-Najafi']",['11'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi -- Poets -- Ahmad-As-Safi El-Najafi']",['French'],['Les Peintres du Liban11'],"['Chiefly colored and mounted plate for Ahmad-As-Safi El-Najafi, an Arab poet']",['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/3"">Les Peintres du Liban11</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:4/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:4/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Douaihy, Saliba']",['1949'],['Rechmaya'],['12'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi -- Rechmaya']",['French'],['Les Peintres du Liban12'],"['Chiefly colored and mounted plate of Rechmaya, a Lebanese village']",['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/4"">Les Peintres du Liban12</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:5/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:5/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Douaihy, Saliba']",['1949'],['Effet de Lumiere. Sur un coin de ferme. -- Diman'],['13'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi -- Diman']",['French'],['Les Peintres du Liban13'],['Chiefly colored and mounted plate for a small part of Diman'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/5"">Les Peintres du Liban13</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:6/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:6/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Douaihy, Saliba']",['1949'],"[""Maison Libanaise du village d'Ehden""]",['14'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi -- Ehden -- Lebanese houses -- Lebanese villages']",['French'],['Les Peintres du Liban14'],['Chiefly colored and mounted plate of a Lebanese house in Ehden'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/6"">Les Peintres du Liban14</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:7/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:7/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Douaihy, Saliba']",['1949'],['Type de femme Druze du Hauran'],['15'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi -- Druze Women-- Hauran']",['French'],['Les Peintres du Liban15'],['Chiefly colored and mounted plate representing the Druze Women'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/7"">Les Peintres du Liban15</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:8/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:8/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Douaihy, Saliba']",['1949'],"['Village de Meksy. Au loin, le Grand Hermon.']",['16'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi -- Lebanese villages -- Meksy -- Mount Hermon']",['French'],['Les Peintres du Liban16'],['Chiefly colored and mounted plate of Meksy and Mount Hermon'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/8"">Les Peintres du Liban16</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll2:9/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll2:9/full/full/0/default.jpg,['Saliba Douaihy -- Victor Hakim -- Omar Onsi -- Bibi Zogbe -- Georges Cyr -- Charles Corn'],"['Douaihy, Saliba']",['1949'],['Rayon de soleil sur Qashaya au fond de la Vallee Sainte.'],['17'],"['Douaihy, Saliba -- Lebanon -- Painters -- Onsi, Omar -- Zogbe, Bibi --  Vallee Sainte -- Wadi Qadisha -- Qashaya']",['French'],['Les Peintres du Liban17'],['Chiefly colored and mounted plate of the sun rays reflection on Qashaya and Vallee Sainte'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll2/id/9"">Les Peintres du Liban17</a></span>']"
