context,id,iiif_format,profile,resource,date,description,dimension,title,repository,source
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:0/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:0/full/full/0/default.jpg,['Late 16th/early 17th century'],"['Bohja, silk twill embroidered with colored silk']",['126 x 112cm'],['Plate 01'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/0"">Plate 01</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:1/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:1/full/full/0/default.jpg,['Early 20th century'],"['Towel, linen embroidered with colored silk and metal thread']",['140 x 47cm'],['Plate 49'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/1"">Plate 49</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:2/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:2/full/full/0/default.jpg,['Early 20th century'],"['Kilim, wool and linen embroidered with colored silk and metal thread (flat gold wire, called plate)']",['214 x 138cm'],['Plate 50'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/2"">Plate 50</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:3/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:3/full/full/0/default.jpg,['Early 20th century'],"['Towel, linen embroidered with colored silk and metal thread (with Oya border)']",['145 x 26.5cm'],['Plate 57'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/3"">Plate 57</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:4/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:4/full/full/0/default.jpg,['Early 20th century'],"['Kilim, wool and linen embroidered with colored silk and metal thread (flat gold wire, called plate)']",['192 x 134cm'],['Plate 51'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/4"">Plate 51</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:5/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:5/full/full/0/default.jpg,['Early 20th century'],"['Towel, linen embroidered with colored silk and metal thread (silver)']",['154 x 46cm'],['Plate 52'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/5"">Plate 52</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:6/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:6/full/full/0/default.jpg,['Early 20th century'],"['Towel, linen embroidered with colored silk and metal thread (silver)']",['159 x 44cm'],['Plate 53'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/6"">Plate 53</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:7/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:7/full/full/0/default.jpg,['Early 20th century'],"['Towel, linen embroidered with colored silk and metal thread (silver)']",['158 x 44 cm'],['Plate 54'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/7"">Plate 54</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:8/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:8/full/full/0/default.jpg,['Early 20th century'],"['Cushion, fuchsia pink satin, embroidered with cotton thread in the Aghabani technique']",['48 x 45cm'],['Plate 55'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/8"">Plate 55</a></span>']"
http://iiif.io/api/presentation/2/context.json,https://cdm16366.contentdm.oclc.org/iiif/p15255coll1:9/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm16366.contentdm.oclc.org/iiif/2/p15255coll1:9/full/full/0/default.jpg,['Early 20th century'],"['Towel, linen embroidered with colored silk and metal thread (with Oya border)']",['145 x 26.5cm'],['Plate 56'],['Library Digital Collections'],"['<span>From: <a href=""http://contentdm.lau.edu.lb/digital/collection/p15255coll1/id/9"">Plate 56</a></span>']"
