id,description,date,identifier,language,format,preview,shown_at,subject,title,type,location_country
http://www.loc.gov/item/2013269685/,"['Weekly Began with: Sene 1, numara 1 (1 Mayıs 1297 [13 May 1881]); ceased with: Sene 2, numara 20, published in 1303 [1886]? Also available in digital form on the Library of Congress Web site. Founder and publisher: Mahmut Celâleddin. Turkish Arabic script. Library of Congress. Karl Süssheim Collection, no. 666. Süssheim Collection, gift of Yale University, March 1992. Description based on: [Sene 1], numara 41 [February 1882?]; title from caption. Latest issue consulted: Sene 2, numara 18 (10 Cemazeyilahir 1303 [16 March 1886]).']",1881-01-01,"AP95.T8 H39 AP95.T8 H39 Set 2,","['turkish, ottoman (1500-1928)']",['periodical'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/435761343/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/435761343/0001.gif#h=150&w=103', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:435761343:0001/full/pct:12.5/0/default.jpg#h=376&w=258', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:435761343:0001/full/pct:25/0/default.jpg#h=752&w=517', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:435761343:0001/full/pct:50/0/default.jpg#h=1504&w=1034', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:435761343:0001/full/pct:100/0/default.jpg#h=3008&w=2069']",https://www.loc.gov/item/2013269685/,"['turkey', 'periodicals']",Hazine-yi evrak.,['periodical'],
http://www.loc.gov/item/2016397763/,"[""Also available in digital form on the Library of Congress Web site. Turkish Arabic script. Inscriptions on front and back covers: [tughra] el-Müstenid bi-tevfikât ir-Rabbâniye, Melik üd-Devlet-il-aliyet-il-Osmaniye, es-Sultan ibn us-Sultan is-Sultan el-Gazi Abdülhamid / Han-i Sâni Hazretlerinin taraf-i eşref-i mülukânelerinden / Vaşingtonda Meclis-i Mebusân azasından Mösyö / Hewit hazretlerinin marifetile Muctema-yi Amerika Kütüphane-yi Milliye ihda buyurulmuştur 1302-1884 = Gift made by H.I. M. the Sultan / Abdul-Hamid II. / to the national library of the / United States of America / through the Honorable / A.S. Hewitt / member / of the House of Representatives / in Washington / A.H.1302-1884 A.D. = Don fait par S.M.I le Sultan / Abdul-Hamid II / à ;a Bibliothèque nationale / des États-Unis d'Amérique / par l'entremise de l'honorable / Mr. A.S. Hewitt / membre / de la Chambre des Représentants / a Washington / A.H. 1302-1884 A.D. -- Özege, M. S. Eski harflerle, 14286""]",1883-01-01,D20 .M677 1883,"['turkish, ottoman (1500-1928)']",['book'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039525/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039525/0001.gif#h=150&w=107', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039525:0001/full/pct:12.5/0/default.jpg#h=410&w=292', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039525:0001/full/pct:25/0/default.jpg#h=821&w=585', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039525:0001/full/pct:50/0/default.jpg#h=1642&w=1170', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039525:0001/full/pct:100/0/default.jpg#h=3284&w=2340']",https://www.loc.gov/item/2016397763/,['world history'],Muhtasar tarih-i umumi,['text'],
http://www.loc.gov/item/2008223098/,"[""Cumadelâhire 1299 (Apr. 1882)- Title from caption. Inscriptions on front and back covers: [tughra] el-Müstenid bi-tevfikât ir-Rabbâniye, Melik üd-Devlet-il-aliyet-il-Osmaniye, es-Sultan ibn us-Sultan is-Sultan el-Gazi Abdülhamid / Han-i Sâni Hazretlerinin taraf-i eşref-i mülukânelerinden / Vaşingtonda Meclis-i Mebusân azasından Mösyö / Hewit hazretlerinin marifetile Muctema-yi Amerika Kütüphane-yi Milliye ihda buyurulmuştur 1302-1884 = Gift made by H.I. M. the Sultan / Abdul-Hamid II. / to the national library of the / United States of America / through the Honorable / A.S. Hewitt / member / of the House of Representatives / in Washington / A.H.1302-1884 A.D. = Don fait par S.M.I le Sultan / Abdul-Hamid II / à ;a Bibliothèque nationale / des États-Unis d'Amérique / par l'entremise de l'honorable / Mr. A.S. Hewitt / membre / de la Chambre des Représentants / a Washington / A.H. 1302-1884 A.D. -- Turkish Arabic script. Latest issue consulted: Rebiülahir 1302 (Feb. 1885).""]",1882-01-01,DR448 .M43,"['turkish, ottoman (1500-1928)']",['periodical'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039641/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039641/0001.gif#h=150&w=105', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039641:0001/full/pct:12.5/0/default.jpg#h=470&w=329', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039641:0001/full/pct:25/0/default.jpg#h=940&w=659', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039641:0001/full/pct:50/0/default.jpg#h=1880&w=1318', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039641:0001/full/pct:100/0/default.jpg#h=3761&w=2637']",https://www.loc.gov/item/2008223098/,"['turkey', 'periodicals', 'history, military', 'military']",Mecmua-i fünūn-i askeriye.,['periodical'],
http://www.loc.gov/item/85146759/,"['Also available in digital form on the Library of Congress Web site. Turkish; Arabic script. Date on t.p.: 1297. Özege, M.S. Eski harflerle, 18191']",1880-01-01,"DR486 .S63 1880 DR486 .S63 1880 Copy 2,","['turkish, ottoman (1500-1928)']",['book'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039598/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039598/0001.gif#h=150&w=102', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039598:0001/full/pct:12.5/0/default.jpg#h=488&w=332', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039598:0001/full/pct:25/0/default.jpg#h=976&w=664', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039598:0001/full/pct:50/0/default.jpg#h=1953&w=1328', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039598:0001/full/pct:100/0/default.jpg#h=3907&w=2657']",https://www.loc.gov/item/85146759/,"['turkey', 'history']",Solakzade tarihi.,['text'],
http://www.loc.gov/item/sn91038213/,"['Irregular Numara 1 (22 Teşrin-i sâni 1881)- ; cild-i 1, no.23/24 [1882])- Also available in digital form on the Library of Congress Web site. Inconsistencies in numbering and dates. Turkish Arabic script. Latest issue consulted: Sene 1, cild-i 1, adet 6 (16 Safer 1302 = 22 Teşrin-i evvel 1300).']",1882-01-01,"G1 .M535 G1 .M525 Set 2, G1 .M535 Set 3,","['turkish, ottoman (1500-1928)']",['periodical'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039689/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039689/0001.gif#h=150&w=110', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039689:0001/full/pct:6.25/0/default.jpg#h=305&w=222', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039689:0001/full/pct:12.5/0/default.jpg#h=610&w=445', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039689:0001/full/pct:25/0/default.jpg#h=1220&w=890', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039689:0001/full/pct:50/0/default.jpg#h=2440&w=1781', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039689:0001/full/pct:100/0/default.jpg#h=4880&w=3563']",https://www.loc.gov/item/sn91038213/,"['periodicals', 'geography']",Mirʼat-i alem.,['periodical'],
http://www.loc.gov/item/2016397761/,"[""Also available in digital form on the Library of Congress Web site. Turkish Arabic script. Inscriptions on front and back covers: [tughra] el-Müstenid bi-tevfikât ir-Rabbâniye, Melik üd-Devlet-il-aliyet-il-Osmaniye, es-Sultan ibn us-Sultan is-Sultan el-Gazi Abdülhamid / Han-i Sâni Hazretlerinin taraf-i eşref-i mülukânelerinden / Vaşingtonda Meclis-i Mebusân azasından Mösyö / Hewit hazretlerinin marifetile Muctema-yi Amerika Kütüphane-yi Milliye ihda buyurulmuştur 1302-1884 = Gift made by H.I. M. the Sultan / Abdul-Hamid II. / to the national library of the / United States of America / through the Honorable / A.S. Hewitt / member / of the House of Representatives / in Washington / A.H.1302-1884 A.D. = Don fait par S.M.I le Sultan / Abdul-Hamid II / à ;a Bibliothèque nationale / des États-Unis d'Amérique / par l'entremise de l'honorable / Mr. A.S. Hewitt / membre / de la Chambre des Représentants / a Washington / A.H. 1302-1884 A.D. -- Özege, M. S. Eski harflerle, 12661""]",1882-01-01,KBP144 .A248 1882,"['turkish, ottoman (1500-1928)']",['book'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039501/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039501/0001.gif#h=150&w=107', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039501:0001/full/pct:12.5/0/default.jpg#h=407&w=289', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039501:0001/full/pct:25/0/default.jpg#h=814&w=579', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039501:0001/full/pct:50/0/default.jpg#h=1629&w=1158', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039501:0001/full/pct:100/0/default.jpg#h=3259&w=2316']",https://www.loc.gov/item/2016397761/,['islamic law'],Medhal-i fıkıh,['text'],
http://www.loc.gov/item/ne62000951/,"['Annual (irregular) Began with [1. tertip, cilt 1] in 1279 [1863]. ""Kanunlar, Türkiye Büyük Millet Meclisi Kararları, Kanun Hükmünde Kararnameler, Bakanlar Kurulu Kararları (Andlaşmalar ve Sözleşmeler, Tüzükler, Yönetmelikler), Anayasa Mahkemesi Kararları ile Yargıtay, Danıştay, Askeri Yargıtay, Askeri Yüksek İdare Mahkemesi ve Sayıştay İçtihadı Birleştirme Kararlarını kapsamaktadır, "" <5. tertip, cilt 38 (1 Ekim 1998/30 Eylül 1999)--> [Birinci tertip, cilt 1]-8 (1863-1908); 2. tertip, cilt 1-12 (1908-1920); 3. tertip, cilt 1-41 (1920-1960); 4. tertip, cilt 1 (1960/1961); 5. tertip, cilt 1-<38> (1961-1998/1999> [Birinci tertip, cilt 1] reprinted with additions in 1282 [1865] and 1289 [1872]. [Birinci tertip, cilt 1] lacks numbering; subsequent vols. lack tertip numbering and called: Cüz-i 2. (1290 [1873]); cilt-i 3. (1293 [1876]); cüz-i 4. (1296 [1879]). Birinci tertip, cilt 5-8 published out of chronological order, 1937-1943. Vols. for <1998/1999-> issued in 2 vols. Some vols. accompanied by supplements and addenda; four supplements called ""zeyl"" published 1296-1302 [1879-1884]; supplement called ""mütemmim"" published 1335 [1919]. Vols. published before 1928 in Ottoman Turkish. Ser. 3, v. 1-38 (1906-1957). Ser. 3, v. 39-41 (1958-1960). Ser. 4 (1960-1961). Ser. 5, v. 1-9 (1961-1970). Description based on: [1. tertip, cilt 1], published in 1865. Latest issue consulted: 5. tertip, cilt 38 (1 Ekim 1998/30 Eylül 1999). ACQN: aq 96004851']",1863,KKX12 .T865,"['turkish, ottoman (1500-1928)', 'turkish']",['periodical'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039604/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039604/0001.gif#h=150&w=102', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039604:0001/full/pct:12.5/0/default.jpg#h=485&w=329', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039604:0001/full/pct:25/0/default.jpg#h=970&w=658', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039604:0001/full/pct:50/0/default.jpg#h=1940&w=1316', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039604:0001/full/pct:100/0/default.jpg#h=3880&w=2632']",https://www.loc.gov/item/ne62000951/,"['turkey', 'law reports, digests, etc', 'https://id.oclc.org/worldcat/entity/e39pbjxmhg9jjjctm3y4pfrqcp', 'treaties', 'delegated legislation', 'municipal law', 'law']",Düstur,['periodical'],
http://www.loc.gov/item/2017406051/,"[""Turkish Arabic script. Master microform held by: DLC Microfilm. Washington, D.C., United States Library of Congress, [19--]. 1 reel, 35 mm. Inscriptions on front and back covers: [tughra] el-Müstenid bi-tevfikât ir-Rabbâniye, Melik üd-Devlet-il-aliyet-il-Osmaniye, es-Sultan ibn us-Sultan is-Sultan el-Gazi Abdülhamid / Han-i Sâni Hazretlerinin taraf-i eşref-i mülukânelerinden / Vaşingtonda Meclis-i Mebusân azasından Mösyö / Hewit hazretlerinin marifetile Muctema-yi Amerika Kütüphane-yi Milliye ihda buyurulmuştur 1302-1884 = Gift made by H.I. M. the Sultan / Abdul-Hamid II. / to the national library of the / United States of America / through the Honorable / A.S. Hewitt / member / of the House of Representatives / in Washington / A.H.1302-1884 A.D. = Don fait par S.M.I le Sultan / Abdul-Hamid II / à ;a Bibliothèque nationale / des États-Unis d'Amérique / par l'entremise de l'honorable / Mr. A.S. Hewitt / membre / de la Chambre des Représentants / a Washington / A.H. 1302-1884 A.D. --""]",1883-01-01,KKX32.C66 T87 1883 Micro 4245,,['book'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/0004245/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/0004245/0001.gif#h=150&w=115', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004245:0001/full/pct:6.25/0/default.jpg#h=508&w=391', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004245:0001/full/pct:12.5/0/default.jpg#h=1017&w=783', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004245:0001/full/pct:25/0/default.jpg#h=2034&w=1566', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004245:0001/full/pct:50/0/default.jpg#h=4068&w=3132', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004245:0001/full/pct:100/0/default.jpg#h=8137&w=6265']",https://www.loc.gov/item/2017406051/,"['turkey', 'judicial statistics', 'statistics', 'commercial law', 'criminal law']","İstatistik, Mehakim-i Devlet-i Âliye-yi Osmaniyeye geçen doksandokuz (1299-1883) ...",['text'],
http://www.loc.gov/item/2016404013/,"['Also available in digital form on the Library of Congress Web site. Turkish Arabic script. Vols. 3-5 published by: Ceride-yi Askeriye Matbaası. Özege, M. S. Eski harflerle, 13883']",1877-01-01,"KZ846 1877 KZ846 1877 Copy 2,","['turkish, ottoman (1500-1928)']",['book'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039707/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/437039707/0001.gif#h=150&w=100', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039707:0001/full/pct:12.5/0/default.jpg#h=456&w=305', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039707:0001/full/pct:25/0/default.jpg#h=913&w=610', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039707:0001/full/pct:50/0/default.jpg#h=1827&w=1220', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:437039707:0001/full/pct:100/0/default.jpg#h=3654&w=2441']",https://www.loc.gov/item/2016404013/,"['turkey', 'treaties', 'foreign relations']",Muahedat mecmuası.,['text'],
http://www.loc.gov/item/2018672721/,"[""Master Microform held by: DLC Inscriptions on front and back covers: [tughra] el-Müstenid bi-tevfikât ir-Rabbâniye, Melik üd-Devlet-il-aliyet-il-Osmaniye, es-Sultan ibn us-Sultan is-Sultan el-Gazi Abdülhamid / Han-i Sâni Hazretlerinin taraf-i eşref-i mülukânelerinden / Vaşingtonda Meclis-i Mebusân azasından Mösyö / Hewit hazretlerinin marifetile Muctema-yi Amerika Kütüphane-yi Milliye ihda buyurulmuştur 1302-1884 = Gift made by H.I. M. the Sultan / Abdul-Hamid II. / to the national library of the / United States of America / through the Honorable / A.S. Hewitt / member / of the House of Representatives / in Washington / A.H.1302-1884 A.D. = Don fait par S.M.I le Sultan / Abdul-Hamid II / à la Bibliothèque nationale / des États-Unis d'Amérique / par l'entremise de l'honorable / Mr. A.S. Hewitt / membre / de la Chambre des Représentants / a Washington / A.H. 1302-1884 A.D. Özege, M.S. Eski harflerle, 12473 Also available in digital form on the Library of Congress Web site. Microfilm. Washington, D.C., United States Library of Congress, [19--]. 1 reel, 34 mm. Record based on source data supplied by New York University. Original pagination: 5 volumes :18 cm.""]",1876-01-01,Micro 210,"['turkish, ottoman (1500-1928)']",['book'],"['https://tile.loc.gov/storage-services/service/amed/amedhamid2/0004210/0001.gif', 'https://tile.loc.gov/storage-services/service/amed/amedhamid2/0004210/0001.gif#h=150&w=112', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004210:0001/full/pct:6.25/0/default.jpg#h=281&w=209', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004210:0001/full/pct:12.5/0/default.jpg#h=562&w=419', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004210:0001/full/pct:25/0/default.jpg#h=1125&w=838', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004210:0001/full/pct:50/0/default.jpg#h=2250&w=1676', 'https://tile.loc.gov/image-services/iiif/service:amed:amedhamid2:0004210:0001/full/pct:100/0/default.jpg#h=4501&w=3352']",https://www.loc.gov/item/2018672721/,"['turkey', 'engineering', '19th century', 'history']",Mecelle-yi hendese,['text'],
