id,description,date,identifier,language,format,preview,shown_at,subject,title,type
http://www.loc.gov/item/72960258/,['Romanized. Includes bibliographical references (p. 126-127).'],1968-01-01,BL1695 .H88 1968 BL1695 .H88 1968 Copy 2,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/72960258/72960258.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/72960258/72960258.gif#h=448&w=310']",https://www.loc.gov/item/72960258/,['druzes'],"Ṭāʼifat al-Durūz, tārīkhuhā wa-ʻaqāʼiduhā,",
http://www.loc.gov/item/2015421828/,['In Arabic.'],1931-01-01,BM585 .B398 1931,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/2015421828/2015421828.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/2015421828/2015421828.gif#h=428&w=310']",https://www.loc.gov/item/2015421828/,"['controversial literature', 'in islam', 'judaism', 'religious aspects', 'arab-israeli conflict', 'palestine', 'in judaism', 'islam']",Bayān Jamʻīyat Ḥirāsat al-Masjid al-Aqṣá wa-al-amākin al-Islāmīyah al-muqaddasah bi-al-Quds.,
http://www.loc.gov/item/2015421817/,['LC copy signed by publisher. In Arabic.'],1939-01-01,BM585 .M326 1939,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/2015421817/2015421817.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/2015421817/2015421817.gif#h=445&w=310']",https://www.loc.gov/item/2015421817/,"['controversial literature', 'early works to 1800', 'judaism', 'relations', 'islam']",Badhl al-majhūd fī ifḥām al-Yahūd,
http://www.loc.gov/item/2017498710/,['In Arabic.'],1947-01-01,BM585 .S56 1947,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498710/2017498710.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498710/2017498710.gif#h=222&w=310']",https://www.loc.gov/item/2017498710/,"['controversial literature', 'judaism']",al-Yahūd wa-tārīkhuhum wa-al-ṭarīqah al-ḍarūrīyah lil-takhalluṣ minhum,
http://www.loc.gov/item/2017498746/,['Errata sheet inserted. In Arabic.'],1928-01-01,BP166.93 .A67 1928,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498746/2017498746.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498746/2017498746.gif#h=222&w=310']",https://www.loc.gov/item/2017498746/,"['mahdism', 'jesus christ', 'mahdi', 'islamic interpretations']",al-Qawl al-ṣaḥīḥ fī al-radd ʻalá man ankara khurūj al-mahdī wa-sayyidinā ʻĪsá al-masīḥ,
http://www.loc.gov/item/2017498747/,['In Arabic.'],1928-01-01,BP172 .S51748 1928,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498747/2017498747.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498747/2017498747.gif#h=450&w=310']",https://www.loc.gov/item/2017498747/,"['jesus christ', 'islamic interpretations']",al-Sayf wa-al-Mūsá fī al-dhabb ʻan al-buhtān ʻalá ʻĪsá / taʼlīf al-ḥāfiẓ al-shahīr al-ʻallāmah al-jalīl al-Shaykh Muḥammad al-Khaḍir ibn Sīdī ʻAbd Allāh ibn Māyābī al-Jakanī al-Shinqīṭī.,
http://www.loc.gov/item/2015421822/,['Cover title. In Arabic.'],1937-01-01,BP173.J8 Y34 1937,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/2015421822/2015421822.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/2015421822/2015421822.gif#h=467&w=310']",https://www.loc.gov/item/2015421822/,"['palestine', 'in judaism', 'judaism', 'relations', 'islam']",al-Yahūd wa-al-Islām qadīman wa-ḥadīthan : al-Yahūd wa-Filasṭīn : wa-āyāt al-jihād wa-al-aḥādīth ʻanh : risālat Maktab al-Istiʻlāmāt al-Filasṭīnī al-ʻArabī bi-al-Qāhirah.,
http://www.loc.gov/item/2017498687/,['In Arabic.'],1938-01-01,BP173.J8 Y345 1938,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498687/2017498687.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498687/2017498687.gif#h=439&w=310']",https://www.loc.gov/item/2017498687/,"['palestine', 'in judaism', 'judaism', 'relations', 'islam']","al-Yahūd wa-Filasṭīn, al-Yahūd wa-al-Islām qadīman wa-ḥadīthan : ṣafḥah tārīkhīyah fī bayān muʼāmarāt al-Yahūd wa-ʻadāwatihim lil-Islām",
http://www.loc.gov/item/2017498734/,['In Arabic.'],1932-01-01,BP190.5.P3 B39 1932,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498734/2017498734.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/2017498734/2017498734.gif#h=447&w=310']",https://www.loc.gov/item/2017498734/,"['palestine', 'in islam', 'jerusalem', 'islamic shrines']",Bayān ilá al-ʻālam al-Islāmī ʻāmmatan ʻan al-amākin al-muqaddasah al-Islāmīyah fī Filasṭīn.,
http://www.loc.gov/item/2015421813/,['In Arabic.'],1948-01-01,BP190.5.P3 M38 1948 BP190.5.P3 M38 1948 Copy 2,['arabic'],['book'],"['https://tile.loc.gov/storage-services/service/amed/amedeltaher/2015421813/2015421813.gif', 'https://tile.loc.gov/storage-services/service/amed/amedeltaher/2015421813/2015421813.gif#h=464&w=310']",https://www.loc.gov/item/2015421813/,"['christianity', 'in islam', 'christian shrines', 'religious aspects', 'islamic shrines', 'arab-israeli conflict', 'palestine', 'in christianity', 'islam']","Maṭāmiʻ al-Yahūd fī al-amākin al-muqaddasah bi-Filasṭīn : iʻtidāʼātuhum al-munkarah ʻalá al-Masjid al-Aqṣá, Kanīsat al-Qiyāmah wa-baqīyat al-amākin al-muqaddasah.",
