id,description,thumbnail,author,alternative,extent,identifier,title,uniform-title,creator,language,subject,call-number,location,electronic-locations,member-of-collections,abstract,source-acquisition,provenance,date,content-type,owner,rendered-holding-location,indexed-by,embargo-date
https://figgy.princeton.edu/concern/scanned_resources/7ff5ac6c-af5b-4c49-9906-0e0de844cf25/manifest,"['(i) lower margin 3.0 cm. (ii) lower margin 3.5 cm. (iii) lower margin 1.5 cm. (iv) upper margin 3.0 cm., lower margin 3.3 cm. (v) upper margin 3.0 cm.', 'Ms. fragment', 'Oxyrhynchus, n.d.']","['https://iiif-cloud.princeton.edu/iiif/2/ca%2F6f%2Fe0%2Fca6fe0a5eca043f489e8f1f755435f46%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/ca%2F6f%2Fe0%2Fca6fe0a5eca043f489e8f1f755435f46%2Fintermediate_file']",['Homer'],"['Princeton Papyri Collections (C0401), AM 4422 verso;']",['1 item ((i) 16 lines (ii) 14 lines (iii) 28 lines (iv) 12 lines (v) 8 lines) : papyrus ; (a) 12.0 x 7.5 cm. (b) 11.0 x 8.3 cm. (c) 8.8 x 3.5 cm. (d) 9.5 x 7.9 cm. (e) 5.7 x 4.0 cm. (f) 8.1 x 8.5 cm. (g) 4.2 x 3.6 cm. (h) 8.5 x 6.2 cm.'],"[""<a href='http://arks.princeton.edu/ark:/88435/mk61rm45r' alt='Identifier'>http://arks.princeton.edu/ark:/88435/mk61rm45r</a>""]","['Odyssey, xxii and xxiii, cols. (i), (ii), (iii), (iv), and (v) in Princeton, the rest in the Cornell collection, currently housed at the University of Michigan. Marks of elision made by the original scribe; other diacriticals and corrections done by a second hand. The Princeton portions of the papyrus consist of eight fragments on which the text is preserved in the following manner: (i) fragment a (ii) fragment b (iii) fragments b, c, d, e (iv) fragments f, g (v) fragment h. Fragment h now preserves only 8 lines, not twelve as published in the ed. pr. The 12 lines of column (iv) are not wholly consecutive: (f) 10 lines from the top of the column, (g) 2 lines from the bottom of a column']",['Odyssey. Selections'],['Homer'],"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)']","['Princeton Papyri Collections frame 33', 'Electronic Resource']","['HSVM Princeton Papyri Collections frame 33', 'HSVM Electronic Resource', 'ELF1 Princeton Papyri Collections frame 33', 'ELF1 Electronic Resource']",[None],"['Digitized Manuscripts', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",,,,,,,,,
https://figgy.princeton.edu/concern/scanned_resources/51873f73-4fd1-408c-9c1d-553f4e6fea56/manifest,"['Lower margin 1.5 cm.', 'Provenance unknown, Date unknown', 'Greek.']","['https://iiif-cloud.princeton.edu/iiif/2/00%2Ff3%2Fdc%2F00f3dca6835a4198bf8a325b82f2b228%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/00%2Ff3%2Fdc%2F00f3dca6835a4198bf8a325b82f2b228%2Fintermediate_file']",,['Princeton Papyri Collections (C0401): AM 11247 F'],['6 lines papyrus 6.0 x 5.4 cm'],['ark:/88435/gh93h398p'],['Documentary text'],,,"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)—New Jersey—Princeton']",['C0401: AM 11247 F Middle Wall 1-2 (papyri cabinets)'],['HSVM C0401: AM 11247 F Middle Wall 1-2 (papyri cabinets)'],,"['Digitized Manuscripts', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",['Probably part of a contract. Last three lines contain the signature of one of the parties to the transaction.'],,,,,,,,
https://figgy.princeton.edu/concern/scanned_resources/34b3aefb-f5c5-4fbd-b59a-58b378249453/manifest,"['Fayum, 206 A.D.', 'Ms. fragment', 'Upper margin 1.5 cm., lower margin 4.0 cm.']","['https://iiif-cloud.princeton.edu/iiif/2/62%2Fff%2F7d%2F62ff7d8a9a16444ebe09b320bbc744e8%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/62%2Fff%2F7d%2F62ff7d8a9a16444ebe09b320bbc744e8%2Fintermediate_file']",,"['Princeton Papyri Collections (C0401), GD 7630.']",['1 item (7 lines) : papyrus ; 12.0 x 10.0 cm.'],"[""<a href='http://arks.princeton.edu/ark:/88435/zc77st626' alt='Identifier'>http://arks.princeton.edu/ark:/88435/zc77st626</a>""]","['Receipt for tax, τeλοσ μoσχου θυομeνου, the tax imposed upon calves offered for sacrifice']",,,"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)']","['Princeton Papyri Collections', 'Electronic Resource']","['HSVM Princeton Papyri Collections', 'HSVM Electronic Resource', 'ELF1 Princeton Papyri Collections', 'ELF1 Electronic Resource']",[None],"['Robert Garrett', 'Digitized Manuscripts', 'Collections Donated to Princeton University Library', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",,"['Gift of Robert Garrett, Class of 1897.']",,,,,,,
https://figgy.princeton.edu/concern/scanned_resources/98382edb-ef24-4a46-8bac-5c8db0b79996/manifest,"['Ms. fragment', 'Provenance unknown, III A.D.']","['https://iiif-cloud.princeton.edu/iiif/2/88%2F24%2F89%2F8824891ceec841ceb65251580e701165%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/88%2F24%2F89%2F8824891ceec841ceb65251580e701165%2Fintermediate_file']",,"['Princeton Papyri Collections (C0401), GD 7676']",['1 item ((a) 14 lines (b) 12 lines) : papyrus ; 18.0 x 12 and 11.0 x 6.0 cm.'],"[""<a href='http://arks.princeton.edu/ark:/88435/4j03d317j' alt='Identifier'>http://arks.princeton.edu/ark:/88435/4j03d317j</a>""]","['RECEIPT. For tax. Two fragments. On the verso of both, sections from money accounts']",,,"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)']","['Princeton Papyri Collections', 'Electronic Resource']","['HSVM Princeton Papyri Collections', 'HSVM Electronic Resource', 'ELF1 Princeton Papyri Collections', 'ELF1 Electronic Resource']",[None],"['Digitized Manuscripts', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",,,,,,,,,
https://figgy.princeton.edu/concern/scanned_resources/67782c71-5fc5-423f-86ec-11b12fa738d9/manifest,"['Text is under a layer of soil.', 'Provenance unknown, Date unknown', 'Greek.']","['https://iiif-cloud.princeton.edu/iiif/2/2e%2F64%2F49%2F2e6449490edc4418a8e92588b6591dc3%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/2e%2F64%2F49%2F2e6449490edc4418a8e92588b6591dc3%2Fintermediate_file']",,['Princeton Papyri Collections (C0401): AM 15960 3C 3 verso'],['12 lines papyrus 5.5 x 13.3 cm'],['ark:/88435/mk61rn417'],['Documentary text'],,,"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)—New Jersey—Princeton']",['C0401: AM 15960 3C 3 verso Middle Wall 1-2 (cabinets) Frame K 9'],['HSVM C0401: AM 15960 3C 3 verso Middle Wall 1-2 (cabinets) Frame K 9'],,"['Digitized Manuscripts', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",,,['Kase Collection.'],,,,,,
https://figgy.princeton.edu/concern/scanned_resources/4dd42bc2-50ec-4c52-9cb4-09406f4f95f9/manifest,"['Ms. fragment', 'Provenance unknown, IV A.D.', 'Upper margin 1.5 cm.']","['https://iiif-cloud.princeton.edu/iiif/2/53%2Fa3%2Fdc%2F53a3dc70961f4609920ecd6c2dea5779%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/53%2Fa3%2Fdc%2F53a3dc70961f4609920ecd6c2dea5779%2Fintermediate_file']",,"['Princeton Papyri Collections (C0401), GD 7647.']",['1 item (26 lines) : papyrus ; 24.5 x 6.0 cm.'],"[""<a href='http://arks.princeton.edu/ark:/88435/q811kp12k' alt='Identifier'>http://arks.princeton.edu/ark:/88435/q811kp12k</a>""]",['Letter'],,,"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)']","['Princeton Papyri Collections', 'Electronic Resource']","['HSVM Princeton Papyri Collections', 'HSVM Electronic Resource', 'ELF1 Princeton Papyri Collections', 'ELF1 Electronic Resource']",[None],"['Robert Garrett', 'Digitized Manuscripts', 'Collections Donated to Princeton University Library', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",,"['Gift of Robert Garrett, Class of 1897.']",,,,,,,
https://figgy.princeton.edu/concern/scanned_resources/f432e207-4f49-4bc6-a7e2-632134e84357/manifest,"['Left margin 0.8 cm.', 'Arsinoite nome, III A.D.', 'Greek.']","['https://iiif-cloud.princeton.edu/iiif/2/c5%2F3e%2F5a%2Fc53e5a6db9b54d16b77ae54a3af3ba2b%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/c5%2F3e%2F5a%2Fc53e5a6db9b54d16b77ae54a3af3ba2b%2Fintermediate_file']",,['Princeton Papyri Collections (C0401): AM 15960 3B 2'],['12 lines papyrus 8.5 x 9.5 cm'],['ark:/88435/44558j76j'],['Lease for land at Kerkeosiris'],,,"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)—New Jersey—Princeton']",['C0401: AM 15960 3B 2 Middle Wall 1-2 (cabinets) Frame K 8'],['HSVM C0401: AM 15960 3B 2 Middle Wall 1-2 (cabinets) Frame K 8'],,"['Digitized Manuscripts', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",,,['Kase Collection.'],['0200-0299'],,,,,
https://figgy.princeton.edu/concern/scanned_resources/0e0ca096-6c64-4eb4-8f62-a6326ad48a80/manifest,"['Hermopolis, about 264 A.D.', 'Ms. fragment']","['https://iiif-cloud.princeton.edu/iiif/2/db%2Faa%2F3e%2Fdbaa3e744f42491392a3c90b30327f66%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/db%2Faa%2F3e%2Fdbaa3e744f42491392a3c90b30327f66%2Fintermediate_file']",,"['Princeton Papyri Collections (C0401), GD 7645 B recto = SB XVIII 14051.']",['1 item (8 lines) : papyrus ; 7.5 x 16.5 cm.'],"[""<a href='http://arks.princeton.edu/ark:/88435/1z40kx34m' alt='Identifier'>http://arks.princeton.edu/ark:/88435/1z40kx34m</a>""]",['Petition to a strategus'],,,"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)']","['Princeton Papyri Collections', 'Electronic Resource']","['HSVM Princeton Papyri Collections', 'HSVM Electronic Resource', 'ELF1 Princeton Papyri Collections', 'ELF1 Electronic Resource']",[None],"['Robert Garrett', 'Digitized Manuscripts', 'Collections Donated to Princeton University Library', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",,"['Gift of Robert Garrett, Class of 1897.']",,,,,,,
https://figgy.princeton.edu/concern/scanned_resources/d917851a-312d-45a4-a5d3-e4d85bb203df/manifest,"['Ms. fragment', 'Provenance unknown, IV A.D.']","['https://iiif-cloud.princeton.edu/iiif/2/27%2F57%2Fab%2F2757ab2e7427478cb5a1ff20a0efb766%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/27%2F57%2Fab%2F2757ab2e7427478cb5a1ff20a0efb766%2Fintermediate_file']",,"['Princeton Papyri Collections (C0401), GD 7673 B (1926, H. I. Bell, no. II 226.)']",['1 item ((i) 9 lines (ii) 14 lines) : papyrus ; 10.8 x 7.2 cm.'],"[""<a href='http://arks.princeton.edu/ark:/88435/hq37vs09m' alt='Identifier'>http://arks.princeton.edu/ark:/88435/hq37vs09m</a>""]",['Account for money in two columns'],,,"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)']","['Princeton Papyri Collections', 'Electronic Resource']","['HSVM Princeton Papyri Collections', 'HSVM Electronic Resource', 'ELF1 Princeton Papyri Collections', 'ELF1 Electronic Resource']",[None],"['Robert Garrett', 'Digitized Manuscripts', 'Collections Donated to Princeton University Library', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",,"['Gift of Robert Garrett, Class of 1897.']",,,,,,,
https://figgy.princeton.edu/concern/scanned_resources/ccff000a-ea05-48fc-9643-870afcf20aa5/manifest,"['Lower margin 3.0 cm.', 'Ms. fragment', 'Provenance unknown, IV A.D.']","['https://iiif-cloud.princeton.edu/iiif/2/6a%2F50%2Fa1%2F6a50a1abac8b43c6b2699858dd0f0ee9%2Fintermediate_file/full/!200,150/0/default.jpg', 'https://iiif-cloud.princeton.edu/iiif/2/6a%2F50%2Fa1%2F6a50a1abac8b43c6b2699858dd0f0ee9%2Fintermediate_file']",,"['Princeton Papyri Collections (C0401), AM 8960 (mounted with P.Princeton II 107)']",['1 item (19 lines) : papyrus ; 23.5 x 8.5 cm.'],"[""<a href='http://arks.princeton.edu/ark:/88435/kp78gk88v' alt='Identifier'>http://arks.princeton.edu/ark:/88435/kp78gk88v</a>""]",['Contract'],,,"['Greek, Ancient (to 1453)']","['Manuscripts, Greek (Papyri)']","['Princeton Papyri Collections', 'Electronic Resource']","['HSVM Princeton Papyri Collections', 'HSVM Electronic Resource', 'ELF1 Princeton Papyri Collections', 'ELF1 Electronic Resource']",[None],"['Digitized Manuscripts', 'Ancient and Modern Greek Collections at PUL', 'Princeton Papyri Collections']",,,,,,,,,
