context,id,iiif_format,profile,resource,yayın-yeri-place-of-publication,sorumluluk-alanı-creator,tarih-date,açıklama-description,format,url,dil-language,telif-hakkı-rights,diziler-series,başlık-title,tür-type,repository,source,yayıncı-publisher,diğer-başlık-title-alternative,diğer-sorumlular-alt-author,system-det,boyutlar-measurements,envanter-numarası-accession-number
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1767/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1767/full/full/0/default.jpg,['[İstanbul]'],"['Dino, Abidin, 1913-1993']",['1939.'],"[""Abidin Dino - Resim - Mecdi Devrim - Edebiyat. Desen. Mecdi Devrim'in 'İnkılabı anlayalım' başlıklı yazısına eşlik ediyor.""]",['pdf'],['http://digital.sabanciuniv.edu/abidindino/desen/3040200001217.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],"['Sanat Edebiyat Sosyoloji Mecmuası, 1939.06.07; sayı 1 (sayfa: 14).']",['Desen.'],['Resim'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1767"">Desen.</a></span>']",,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1768/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1768/full/full/0/default.jpg,,"['Dino, Abidin, 1913-1993']",,['Resim.'],['pdf'],['http://digital.sabanciuniv.edu/abidindino/desen/3040200003278.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],,['Desen.'],['Resim'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1768"">Desen.</a></span>']",,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1769/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1769/full/full/0/default.jpg,,"['Sözen, Nurettin.']",,"['Abidin Dino - Resim - Heykel - ""Dayanışma Anıtı"" - İstanbul - Türkiye. Abidin Dino\'nun İstanbul Maçka\'ya dikilen ""Dayanışma Anıtı""nın açılışında yapılan konuşma.']",['pdf'],['http://digital.sabanciuniv.edu/abidindino/belge/3040200000488.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],,"[""Dayanışma Anıtı'nın açılışında yapılan konuşma.""]",['Belge'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1769"">Dayanışma Anıtı\'nın açılışında yapılan konuşma.</a></span>']",,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1770/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1770/full/full/0/default.jpg,,"['Dino, Abidin, 1913-1993']",,['Desen.'],['pdf'],['http://digital.sabanciuniv.edu/abidindino/desen/3040200001027.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],,['Desen.'],['Resim'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1770"">Desen.</a></span>']",,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1771/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1771/full/full/0/default.jpg,,"['Dino, Abidin, 1913-1993']",['1967.'],"[""Abidin Dino - Resim. Desen. Abidin Dino'nun yazısına eşlik ediyor.""]",['pdf'],['http://digital.sabanciuniv.edu/abidindino/desen/3040200001371.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],"['Ant, 1967.10.10; sayı 41 (sayfa: 13).']",['Desenler.'],['Resim'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1771"">Desenler.</a></span>']",,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1772/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1772/full/full/0/default.jpg,['İstanbul'],"['Daponte, Kosta.']",['1978.'],"[""Abidin Dino - Resim - Sergi - Çiçekler - Atina - Yunanistan. Abidin Dino, Atina'da Çiçekler sergisini açmıştır. Yazı.""]",['pdf'],['http://digital.sabanciuniv.edu/abidindino/kupur/3040200000266.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],"['Cumhuriyet Gazetesi, 1978.??.26.']","[""Dino, Atina'daki sergisine ilişkin izlenimlerini anlattı.""]",['Gazete küpürü'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1772"">Dino, Atina\'daki sergisine ilişkin izlenimlerini anlattı.</a></span>']",['Cumhuriyet'],,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1773/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1773/full/full/0/default.jpg,,"['Dino, Abidin, 1913-1993']",,['Desen.'],['pdf'],['http://digital.sabanciuniv.edu/abidindino/desen/3040200003283.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],,['Desen.'],['Resim'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1773"">Desen.</a></span>']",,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1774/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1774/full/full/0/default.jpg,['[İstanbul]'],"['Balcıoğlu, Şahap.']",,"[""Abidin Dino - Resim - 'D Grubu' - Türkiye.""]",['pdf'],['http://digital.sabanciuniv.edu/abidindino/belge/3040200001327.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],['Sanat Dünyamız Dergisi; (sayfa: 55-56).'],"[""D Grubu'nun şerefine.""]",['Makale'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1774"">D Grubu\'nun şerefine.</a></span>']",,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1775/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1775/full/full/0/default.jpg,,"['Dino, Abidin, 1913-1993']",,['Desen.'],['pdf'],['http://digital.sabanciuniv.edu/abidindino/desen/3040200003316.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],,['Desen.'],['Resim'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1775"">Desen.</a></span>']",,,,,,
http://iiif.io/api/presentation/2/context.json,https://cdm21044.contentdm.oclc.org/iiif/abidindino:1776/manifest.json,image/jpeg,http://iiif.io/api/image/2/level1.json,https://cdm21044.contentdm.oclc.org/iiif/2/abidindino:1776/full/full/0/default.jpg,,"['Dino, Abidin, 1913-1993']",,['Desen.'],['pdf'],['http://digital.sabanciuniv.edu/abidindino/desen/3040200003259.pdf'],['Türkçe'],['© Sabancı Üniversitesi Sakıp Sabancı Müzesi. Tüm hakları saklıdır.'],,['Desen.'],['Resim'],['digitalSSM'],"['<span>From: <a href=""http://www.digitalssm.org/digital/collection/abidindino/id/1776"">Desen.</a></span>']",,,,,,
