id,title,creator,category,date,description,link,preview
http://shahrefarang.com/?p=23291/,"Plasco Building, Tehran",سورنا پرهام,"['Architecture', 'Nostalgia', 'تهران', 'خیابان', 'ساختمان', 'مناظر شهری']","Fri, 20 Jan 2017 06:38:34 +0000","The Plasco Building was a 17-story high-rise in Tehran. It was built in 1962 by the prominent Iranian Jewish businessman Habib Elghanian, and it was named after his plastics company. The building was the tallest building in Iran when it was constructed, and it was considered an iconic landmark of the Tehran skyline. The Plasco building collapsed on January 19, 2017, during a fire.",https://shahrefarang.com/en/plasco-tehran/,https://shahrefarang.com/wp-content/uploads/2017/01/plasco-101-712x742.jpg
http://shahrefarang.com/en/?p=23059,1920s Vintage Ads in Iranian Newspapers,شهرفرنگ,"['Everyday Life', 'Fashion', 'Literature', 'Nostalgia', 'Advertisement', 'Car', 'Clothing']","Mon, 05 Dec 2016 19:29:44 +0000","Advertising in Iranian newspapers was a new phenomenon in the late 1920s. Advertisements introduced Iranians to some other new phenomena such as cars, radio, instant cameras, and the European-style outfit that revolutionized how Iranians lived and interacted with each other. The ads here are selected from the newspapers published between 1926 to 1931.",https://shahrefarang.com/en/iran-ads-1920s-2/,https://shahrefarang.com/wp-content/uploads/2016/11/ads-rezashah-header-1-712x324.jpg
http://shahrefarang.com/en/?p=22761,"Bushehr, the Early 1970s",شهرفرنگ,"['Architecture', 'Everyday Life', 'cityscapes', 'Street']","Thu, 03 Nov 2016 03:45:58 +0000","The ancient city of Bushehr on the Persian gulf, also known as ""Bushire"" in English, used to be a prosperous and active port for centuries, especially during the 19th century. But by the 1930s the city declined in importance, and many of its buildings were abandoned. The photos here, taken in the early 1970s, show the last remains of Bushehr's traditional architecture.",https://shahrefarang.com/en/bushehr-2/,https://shahrefarang.com/wp-content/uploads/2016/10/Bushehr-header-712x329.jpg
http://shahrefarang.com/en/?p=22360,The Defenders of the Shrine,شهرفرنگ,"['Everyday Life', 'Photography', 'Syria', 'War']","Tue, 10 May 2016 18:46:34 +0000","At the 29th Tehran International Book Fair (4-14 May 2016) the visitors could put on military costume, hold a grenade, and take photos in front of backdrop picture of the war ruins in Syria. The photo-booth was called ""The Defenders of the Shrine"". IRNA, the publisher of these photographs, describes them as ""virtual and spiritual.""",https://shahrefarang.com/en/syria-photo-booth-2/,https://shahrefarang.com/wp-content/uploads/2016/05/Syria-photo-booth-cover-712x362.jpg
http://shahrefarang.com/?p=16597,Armenian families in Isfahan,Mehrdad,"['Fashion', 'Nostalgia', 'Armenians', 'Clothing', 'Reza Shah']","Sun, 24 Apr 2016 16:22:04 +0000","Three photographs of Armenian families, most likely taken to be attached to travel documents. The photographs were taken in Isfahan by Minas Patkerhanian Machertich in 1920s-1930s.",https://shahrefarang.com/en/armenian-families-in-isfahan/,https://shahrefarang.com/wp-content/uploads/2014/08/EAP001_1_1-2_L-580x321.jpg
http://shahrefarang.com/?p=16593,Orientalist Music Sheets’ Covers,شهرفرنگ,"['Visual Arts', 'Illustration', 'Music', 'Orientalism', 'Women']","Fri, 15 Apr 2016 04:13:30 +0000","At the turn of the 20th century, in the popular art and media of the “West,” the ""Middle East"" was depicted as a mysterious, exotic region. Cliched images such as camels, deserts, half-naked dancing women, and buildings with minarets and domes were ubiquitous in illustrating anything related to Iran or the Middle East.",https://shahrefarang.com/en/orientalist-music-sheets-covers-2/,https://shahrefarang.com/wp-content/uploads/2014/12/music-sheet-10-571x850.jpg
http://shahrefarang.com/en/?p=22066,Nowruz Shopping,سورنا پرهام,"['uncategorized', 'Ceremonies', 'Nowruz', 'Street', 'Tehran']","Sat, 19 Mar 2016 14:38:02 +0000","Pre-Nowruz shopping on Vali-Asr avenue in Tehran, between two important intersections, the intersection of Vali-asr and Jomhouri avenues and the intersection of Valiasr and Enqelab avenues. March 17, 2016.",https://shahrefarang.com/en/nowruz-shopping-2/,https://shahrefarang.com/wp-content/uploads/2016/03/nowruz-shopping-1395-cover-712x286.jpg
http://shahrefarang.com/en/?p=21621,Iranian Women in Harper’s (1887),سورنا پرهام,"['Fashion', 'Nostalgia', 'Armenians', 'Clothing', 'Qajar', 'Women']","Sun, 06 Mar 2016 17:32:26 +0000","In May 1887, the American periodical “Harper’s New Monthly Magazine” published an article about a trip from Tehran to Baghdad. The following images are from that article and show the outfits of Iranian women in that period. The photographs show the clothing of different minorities, as well as outfits for indoor and outdoor use and the different seasons.",https://shahrefarang.com/en/qajar-women-harpers-2/,https://shahrefarang.com/wp-content/uploads/2016/02/harpers-women-qajar-cover-712x484.jpg
http://shahrefarang.com/?p=16609,Portraits of Qajar Women,سورنا پرهام,"['Fashion', 'Nostalgia', 'Clothing', 'Qajar', 'Sexuality', 'Women']","Tue, 01 Mar 2016 13:49:23 +0000",Portraits of Iranian women from the late Qajar period (late 19th century to early 20th century). The images are from the photo archive of Institute for Iranian Contemporary Historical Studies.,https://shahrefarang.com/en/portraits-qajar-women-2/,https://shahrefarang.com/wp-content/uploads/2016/01/roospian-00-712x296.jpg
http://shahrefarang.com/en/?p=21452,Tehran at Night,شهرفرنگ,"['Everyday Life', 'Fashion', 'Street', 'Tehran']","Sun, 28 Feb 2016 15:31:55 +0000","Discussing her pictures the photographer, Samin Ahmadzadeh, says: ""This series was taken from a single location in Tehran on a street famed for its shopping. The movement of people as they negotiate their way through the crowds provided a sense of theater from the everyday. Light from the shop windows illuminates single faces in this flowing crowd, guiding the eye around the picture and allowing a focus on a personal space.""",https://shahrefarang.com/en/tehran-night-2/,https://shahrefarang.com/wp-content/uploads/2016/02/tehran-at-night-00-712x360.jpg
