id,source,title,creator,type,date,language,identifier,subject,description
oai:library.ucla.edu:ark:/21198/z1dz4cw0,['Historic Cairo Architectural Mapping'],['Historic Cairo Architectural Mapping: Original Proposal'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['1995', '1995']",['eng'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1992bk9/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1dz4cw0']",,
oai:library.ucla.edu:ark:/21198/z1hq83hs,['Historic Cairo Architectural Mapping'],['Historic Cairo Architectural Mapping: Report'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['1997', '1997']",['eng'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d2627j/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1hq83hs']",,
oai:library.ucla.edu:ark:/21198/z1mh1t2v,['Historic Cairo Architectural Mapping'],['Map Column 1'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/car'],"['2005', '2005']",,"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt9rrw/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1mh1t2v']","['Wikalas', 'City walls', 'Tomb', 'Architecture, Egyptian', 'Islamic architecture', 'Religious architecture', 'Mausoleums', 'Gates', 'Mosques', 'Kuttabs', 'Facades', 'Architecture', 'Public baths']","['https://digital.library.ucla.edu/catalog/ark:/21198/z11k4b15', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1h1826f', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1w71m1n', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1bc8zr8']"
oai:library.ucla.edu:ark:/21198/z1zs712g,['Historic Cairo Architectural Mapping'],['Map Column 2'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/car'],"['2005', '2005']",,"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v168ch/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1zs712g']","['Wikalas', 'Churches', 'Madrasahs', 'Architecture, Egyptian', 'Mihrabs', 'Islamic architecture', 'Religious architecture', 'Mausoleums', 'Synagogues', 'Jewish Architecture', 'Mosques', 'Kuttabs', 'Facades', 'City walls', 'Architecture', 'Public baths', 'Palaces', 'Gates']","['https://digital.library.ucla.edu/catalog/ark:/21198/z11k4b15', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1h1826f', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1w71m1n', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1bc8zr8']"
oai:library.ucla.edu:ark:/21198/z1b31zv6,['Historic Cairo Architectural Mapping'],['Map Column 3'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/car'],"['2005', '2005']",,"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16b173t/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1b31zv6']","['Wikalas', 'Churches', 'Madrasahs', 'Minarets', 'Architecture, Egyptian', 'Islamic architecture', 'Religious architecture', 'Palaces', 'Gates', 'Mosques', 'Kuttabs', 'Mausoluems', 'Facades', 'Architecture', 'Public baths', 'Cathedrals']","['https://digital.library.ucla.edu/catalog/ark:/21198/z11k4b15', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1h1826f', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1w71m1n', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1bc8zr8']"
oai:library.ucla.edu:ark:/21198/z1pc75z5,['Historic Cairo Architectural Mapping'],['Map Column 4'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/car'],"['2005', '2005']",,"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm6f7v/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1pc75z5']","['Wikalas', 'City walls', 'Minarets', 'Architecture, Egyptian', 'Islamic architecture', 'Tombs', 'Religious architecture', 'Palaces', 'Gates', 'Mosques', 'Mausoleum', 'Kuttabs', 'Facades', 'Museums', 'Architecture', 'Public baths']","['https://digital.library.ucla.edu/catalog/ark:/21198/z11k4b15', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1h1826f', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1w71m1n', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1bc8zr8']"
oai:library.ucla.edu:ark:/21198/z11k3fb2,['Historic Cairo Architectural Mapping'],['Map Column 5'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/car'],"['2005', '2005']",,"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt2xsg/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z11k3fb2']","['Wikalas', 'Wells', 'Madrasahs', 'Minarets', 'Architecture, Egyptian', 'Architecture', 'Tombs', 'Religious architecture', 'Palaces', 'Citadels', 'Mosques', 'Gates', 'Islamic architecture', 'Public baths', 'Mausoleums', 'Kuttabs']","['https://digital.library.ucla.edu/catalog/ark:/21198/z11k4b15', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1h1826f', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1w71m1n', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1bc8zr8']"
oai:library.ucla.edu:ark:/21198/z1kh5nht,['Historic Cairo Architectural Mapping'],['Map Column 6'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/car'],"['2005', '2005']",,"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr4wtj/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1kh5nht']","['Wells', 'City walls', 'Minarets', 'Architecture, Egyptian', 'Architecture', 'Tombs', 'Animals, Mythical', 'Religious architecture', 'Palaces', 'Citadel (Cairo, Egypt)', 'Mosques', 'Kuttabs', 'Facades', 'Madrasahs', 'Baths, public', 'Islamic architecture', 'Mausoleums', 'Gates']","['https://digital.library.ucla.edu/catalog/ark:/21198/z11k4b15', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1h1826f', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1w71m1n', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1bc8zr8']"
oai:library.ucla.edu:ark:/21198/z1t203xc,['Historic Cairo Architectural Mapping'],['Map Column 7'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/car'],"['2005', '2005']",,"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p89c35/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1t203xc']","['Facades', 'City walls', 'Minarets', 'Baths, public', 'Architecture', 'Tombs', 'Water-wheels', 'Religious architecture', 'Palaces', 'Gates', 'Mosques', 'Kuttabs', 'Architecture, Egyptian', 'Islamic architecture', 'Mausoleums']","['https://digital.library.ucla.edu/catalog/ark:/21198/z11k4b15', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1h1826f', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1w71m1n', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1bc8zr8']"
oai:library.ucla.edu:ark:/21198/z11k4b15,['Historic Cairo Architectural Mapping'],['Historic Cairo Architectural Mapping: Descriptive Catalogue'],"['Warner, Nicholas']",['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['2005', '2005']",['eng'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt3tgk/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z11k4b15']",,
