id,source,title,type,identifier
oai:library.ucla.edu:ark:/21198/zz002h5xgt,"[""Iranian National Baha'i Archives""]",['Issue 22'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5749/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5xgt']"
oai:library.ucla.edu:ark:/21198/zz002h5xf9,"[""Iranian National Baha'i Archives""]",['Issue 21'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7tm9/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5xf9']"
oai:library.ucla.edu:ark:/21198/zz002h5xjv,"[""Iranian National Baha'i Archives""]",['Issue 24'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5dzt/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5xjv']"
oai:library.ucla.edu:ark:/21198/zz002h5xhb,"[""Iranian National Baha'i Archives""]",['Issue 23'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g78f9/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5xhb']"
oai:library.ucla.edu:ark:/21198/zz002h5xxj,"[""Iranian National Baha'i Archives""]",['Issue 35'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h944g/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5xxj']"
oai:library.ucla.edu:ark:/21198/zz002h5z02,"[""Iranian National Baha'i Archives""]",['Issue 37'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b586qn/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5z02']"
oai:library.ucla.edu:ark:/21198/zz002h5xz2,"[""Iranian National Baha'i Archives""]",['Issue 36'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj66dc/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5xz2']"
oai:library.ucla.edu:ark:/21198/zz002h5xw1,"[""Iranian National Baha'i Archives""]",['Issue 34'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6cgq/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5xw1']"
oai:library.ucla.edu:ark:/21198/zz002h5x4n,"[""Iranian National Baha'i Archives""]",['Issue 12'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3wz6/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5x4n']"
oai:library.ucla.edu:ark:/21198/zz002h5x2m,"[""Iranian National Baha'i Archives""]",['Issue 10'],['http://id.loc.gov/vocabulary/resourceTypes/txt'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6jd8/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/zz002h5x2m']"
