id,source,title,creator,publisher,type,subject,date,language,identifier
oai:library.ucla.edu:ark:/21198/z1m927t0,"['Soviet Armenian Posters', 'Armenia Collections']",['1985 թվականի փետրվարի 24-ին բոլորս դեպի Հայկական ՍՍՀ Գերագույն սովետի և ժողովրդական դեպուտատների տեղական սովետների ընտրությունները'],"['Mkrtchyan, S. S.', 'Մկրտչյան, Ս. Ս.', 'Baghdasaryan, M. M.']","['Երևան', '""Հայաստան"" հրատարակչություն (""Hayastan” Hratarakchʻutʻyun)']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Armenia (Republic)', 'Elections']","['1985', '1985']",['arm'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m927t0/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1m927t0']"
oai:library.ucla.edu:ark:/21198/z1q25zfd,"['Soviet Armenian Posters', 'Armenia Collections']",['վիճակախաղի շահումների խաղարկությունները կայանալու են'],"['State Department of Public Savings and Loan Armenian SSR', 'Պետաշխխնայդրամարկղների եւ պետվարկի Հայկական ՍՍՌ վարչություն']","['Ереван', 'Полиграфкомбинат (Poligrafkombinat)']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Armenia (Republic)', 'Lotteries']","['1963', '1963']",['arm'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25zfd/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1q25zfd']"
oai:library.ucla.edu:ark:/21198/z1q54nst,"['Soviet Armenian Posters', 'Armenia Collections']",['все нации придут к социализму...'],"['Բեգլարյան Վլադիմիր Արկադիի', 'Beglaryan, Vladimir Arkadi']","['Ереван', 'Издательство ""Айастан"" (""Hayastan” Hratarakchʻutʻyun)']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Propaganda, Communist', 'Lenin, Vladimir Ilʹich, 1870-1924']","['1965', '1965']",['rus'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54nst/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1q54nst']"
oai:library.ucla.edu:ark:/21198/z1zp65b9,"['Soviet Armenian Posters', 'Armenia Collections']",['Голосуите за Виктора Васильевича Жворостяна'],,"['[Լենինական]', 'Լենտեղարդի տպարան']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Armenia (Republic)', 'Elections', 'Khvorostyan, Viktor Vasily']",,['rus'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp65b9/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1zp65b9']"
oai:library.ucla.edu:ark:/21198/z1jm48x0,"['Soviet Armenian Posters', 'Armenia Collections']",['Առաջավորների փորձը – թեթև արդյունաբերության բոլոր աշխատողներին /  Ֆրունզիկ Գրիգորյանի շարժական հոլովակը'],"['Կենտրոնական նորմատիվա-հետազոտական կայան', 'Հայկական ՍՍՀ Մինիստրների սովետի պետպլան']","['Երևան', 'Հայկական ՍՍՀ Մինիստրների սովետի մամուլի պետական կոմիտեի պոլիգրաֆարդյունաբերության գլխավոր վարչություն']",['http://id.loc.gov/vocabulary/resourceTypes/img'],['Գրիգորյան Ֆրունզիկ Արամի'],,['arm'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm48x0/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1jm48x0']"
oai:library.ucla.edu:ark:/21198/z1dr4tpm,"['Soviet Armenian Posters', 'Armenia Collections']","['Ընդմիշտ դարձրեք սովորություն հանգցնել ծխախոտը, հանգցնել լուցկին']","['The Volunteer fire company of  the Armenian SSR', 'Հայկական ՍՍՌ Հրշեջ ընկերություն']","['Երևան', 'Պոլիգրաֆկոմբինատ (Poligrafkombinat)']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Armenia (Republic)', 'Public safety', 'Fire prevention']","['1954/1961', '1954/1961']",['arm'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4tpm/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1dr4tpm']"
oai:library.ucla.edu:ark:/21198/z18s6p36,"['Soviet Armenian Posters', 'Armenia Collections']","['Մի՛ ավելացրու 60 արագությունը, վտանգավոր է']","['The Technical Security Committee of The Ministry of Transport Arm. SSR', 'ՀՍՍՀ Ավտոտրանսպորտի մինիստրության տեխնիկական անվտանգության կոմիտե']","['Երևան', 'Պոլիգրաֆկոմբինատ (Poligrafkombinat)']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Armenia (Republic)', 'Traffic safety', 'Public safety', 'Ararat, Mount (Turkey)']","['1946/1953', '1946/1953']",['arm'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6p36/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z18s6p36']"
oai:library.ucla.edu:ark:/21198/z1zd024b,"['Soviet Armenian Posters', 'Armenia Collections']",['Պահպանեցեք աչքերը տրախոմայից'],"['Sargsyan, G.', 'Central Red Cross Committee of the Armenian SSR', 'Սարգսյան, Գ.', 'Հայկական ՍՍՌ կարմիր խաչի ընկերության կենտրոնական կոմիտե', 'Հայկական ՍՍՌ Առողջապահության մինիստրություն', 'Ministry of Health of the Armenian SSR']","['Երևան', 'Հայպետհրատ (Haypethrat)']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Diseases', 'Armenia (Republic)']","['1958/1961', '1958/1961']",['arm'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd024b/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1zd024b']"
oai:library.ucla.edu:ark:/21198/z1573b8q,"['Soviet Armenian Posters', 'Armenia Collections']","['Կանգնի՛ր,  ես կարմիր լույսն եմ']","['The Technical Security Committee of The Ministry of Transport Arm. SSR', 'ՀՍՍՀ Ավտոտրանսպորտի մինիստրության տեխնիկական անվտանգության կոմիտե']","['Երևան', 'Պոլիգրաֆկոմբինատ (Poligrafkombinat)']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Armenia (Republic)', 'Traffic safety', 'Public safety']","['1946/1953', '1946/1953']",['arm'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1573b8q/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1573b8q']"
oai:library.ucla.edu:ark:/21198/z14x771f,"['Soviet Armenian Posters', 'Armenia Collections']",['Հայկական ՍՍՌ 1966 թվականի բնագիծը'],"['Գաբրիելյան, Վազրիկ Ծերունի', 'Gabrielyan, Vazrik Tseruni']","['Երևան', '""Հայաստան"" հրատարակչություն (""Hayastan” Hratarakchʻutʻyun)']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Armenia (Republic)', 'Yerevan (Armenia)', 'Economic policy']","['1966', '1966']",['arm'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x771f/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z14x771f']"
