id,source,title,creator,publisher,type,subject,date,identifier
oai:library.ucla.edu:ark:/21198/z1738q6h,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Ahmed Mohammed Khidr in his Shop'],['Sherko Ali Omer'],"['Sulaimani, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],['Kurds--Social life and customs'],"['1978', '1978']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738q6h/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1738q6h']"
oai:library.ucla.edu:ark:/21198/z1vt3rbn,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Garade Villagers'],['Sherko Ali Omer'],"['Sulaimani, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Kurds--Social life and customs', 'Agriculture']","['1977', '1977']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3rbn/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1vt3rbn']"
oai:library.ucla.edu:ark:/21198/z10k47vc,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Garade Village'],['Sherko Ali Omer'],"['Sulaimani, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],['Kurds--Social life and customs'],"['1977', '1977']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k47vc/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z10k47vc']"
oai:library.ucla.edu:ark:/21198/z1r51q2d,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Darbandikhan Post Office Telephone Switchboard'],['Sherko Ali Omer'],"['Sulaimani, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],['Kurds--Social life and customs'],"['1976', '1976']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51q2d/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1r51q2d']"
oai:library.ucla.edu:ark:/21198/z14b50k3,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Dried Tobacco'],['Mohammed Amin Ali Omer'],"['Sulaimani, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Kurds--Social life and customs', 'Agriculture']","['1977', '1977']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b50k3/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z14b50k3']"
oai:library.ucla.edu:ark:/21198/z1zk7fz1,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Women Working in a Village'],['Rezan Kamal Omer'],['Iraq'],['http://id.loc.gov/vocabulary/resourceTypes/img'],['Kurds--Social life and customs'],"['1979', '1979']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7fz1/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1zk7fz1']"
oai:library.ucla.edu:ark:/21198/z1835r80,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Garade Farmer'],['Sherko Ali Omer'],"['Sulaimani, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Kurds--Social life and customs', 'Agriculture']","['1977', '1977']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1835r80/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1835r80']"
oai:library.ucla.edu:ark:/21198/z1tx5dpg,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Fatima Khan and Family'],,"['Qaradagh, Sulaimani, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],['Kurds--Social life and customs'],"['1965', '1965']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5dpg/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1tx5dpg']"
oai:library.ucla.edu:ark:/21198/z13b7zfb,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Fatima Ahmed Mohammed Khidr'],['Sherko Ali Omer'],"['Sulaimani, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Kurds--Social life and customs', 'Clothing & dress']","['1977', '1977']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7zfb/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z13b7zfb']"
oai:library.ucla.edu:ark:/21198/z1gn06jf,"['Middle East & North Africa Collections', 'Villages of Sulaimani (1960-1980)']",['Woman in Traditional Kurdish Dress'],,"['Baghdad, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Kurds--Social life and customs', 'Clothing & dress']","['1978', '1978']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn06jf/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1gn06jf']"
