id,source,title,creator,publisher,type,subject,date,language,identifier
oai:library.ucla.edu:ark:/21198/z1ff5wm4,"['Yazidi Posters', 'Middle East & North Africa Collections']",['کاره ساتا شنگالى : پىشمه رگه تاجا سه رى هه ر کوردکى وه لات پارىزه'],['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2014'],['kur'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5wm4/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1ff5wm4']"
oai:library.ucla.edu:ark:/21198/z1sn2d7f,"['Yazidi Posters', 'Middle East & North Africa Collections']",['داخوازا ئازادکرنا کچ و ژنىن ئيزديان دکه ىن ئه وىن ددستىن رىکخراوا تىرورىستيا داعش دا'],['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2014'],"['eng', 'kur']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2d7f/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1sn2d7f']"
oai:library.ucla.edu:ark:/21198/z1wd63tc,"['Yazidi Posters', 'Middle East & North Africa Collections']",['کاره ساتا شنگالى : رزگار کرنا ته داىى ؛ چه ژنا منه'],['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2014'],"['eng', 'kur']","['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd63tc/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1wd63tc']"
oai:library.ucla.edu:ark:/21198/z18p83sv,"['Yazidi Posters', 'Middle East & North Africa Collections']",['Two images of Yazidi refugees'],['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2014'],['kur'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p83sv/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z18p83sv']"
oai:library.ucla.edu:ark:/21198/z1nw1nhq,"['Yazidi Posters', 'Middle East & North Africa Collections']",['لدينا مطلبان، لن نتخلى عنهما... (إعادة الأسرى والمخطوفات) (تثبيت الجينوسايد)'],['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2014'],['ara'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw1nhq/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1nw1nhq']"
oai:library.ucla.edu:ark:/21198/z1rn5c32,"['Yazidi Posters', 'Middle East & North Africa Collections']",['داخوازنامه: ب چاڤدىرىا به رىز (مسعود بارزانى) سه روکى هه رىما کوردستانى و ب هه لکه فتا ىه که مىن سائڤه گه را کاره ساتا شنگالى ده سته ىا بلندا بنگه هى لالش ژىر دروشمى : بزاڤا رزگارىخوازا کوردى قه ردارا چياىى خوراگرى شنگالى ىه : دي ڤي روژى ب چه ندين چالاكييان ساخ كه ت  لروژا  دووشه مبي 3/8/2015 ل ده م ژمىر (5) ئيڤارى ل ئاڤاهيا بنگه هى لالش/ دهوک'],['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2015'],,"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5c32/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1rn5c32']"
oai:library.ucla.edu:ark:/21198/z14x7c2j,"['Yazidi Posters', 'Middle East & North Africa Collections']",['Five images of Yazidi refugees'],['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2014'],['kur'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7c2j/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z14x7c2j']"
oai:library.ucla.edu:ark:/21198/z1df8vf9,"['Yazidi Posters', 'Middle East & North Africa Collections']",['Female Yazidi refugee with child'],['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2014'],['kur'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8vf9/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1df8vf9']"
oai:library.ucla.edu:ark:/21198/z15x4d6x,"['Yazidi Posters', 'Middle East & North Africa Collections']",['انقذوا اطفالنا، انقذوا نساءنا ... انقذوا اسرانا من تحت انياب الدواعش...'],['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2014'],['ara'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4d6x/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z15x4d6x']"
oai:library.ucla.edu:ark:/21198/z1m3500d,"['Yazidi Posters', 'Middle East & North Africa Collections']","['Four images of Yazidi refugees boarding a truck, taking shelter, and walking']",['Bingehê Laliṣ'],"['Dihōk, Iraq']",['http://id.loc.gov/vocabulary/resourceTypes/img'],"['Yezidi women--Crimes against--Iraq--History--21st century', 'Genocide--Iraq--History--21st century', 'Yezidis--Crimes against--Iraq--History--21st century']",['2014'],['kur'],"['https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m3500d/full/!200,200/0/default.jpg', 'https://digital.library.ucla.edu/catalog/ark:/21198/z1m3500d']"
