,id,occurrence_id,last_modified,callnumber,title,scientificname,collector,collecting_date,latitude,longitude,datum,geographic_continent,geographic_country,geographic_stateprovince,geographic_county,geographic_municipality,geographic_locality,common_name,type,format,era,geographic_culture,identified_by,identification_references,previous_identifications,associated_references,image_path,image_link
13,2267566,urn:uuid:ff359642-3400-45d0-8e84-c48b3a88861a,2024-01-09T09:26:57.000Z,YPM ANT 261392,"(10) Sample of fine linen covered with resin on card that reads ""specimens of mummy cloth of the [6th] Dynasty but the name of the reigning Pharaoh unknown - Before BC 2250. From Sakkarah."" Plate II Saqqara, Egypt.; YPM ANT 261392",,,,,,,Africa,Egypt,,,Saqqara,,,ANT number 261392; lot count 1; accn=YPM.01950,burial goods,textile,Old Kingdom,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:1c3459bf-77fb-4b5a-b7a6-a27bebe912fc/full/full/0/default.jpg
14,2267572,urn:uuid:0362cb38-b20a-4883-b043-ec145a66bfde,2024-01-09T09:26:57.000Z,YPM ANT 261393,"(11) Sample of fine linen on card that reads ""specimens of mummy cloth of the [6th] Dynasty but the name of the reigning Pharaoh unknown - Before BC 2250. From Sakkarah."" Plate II Saqqara, Egypt.; YPM ANT 261393",,,,,,,Africa,Egypt,,,Saqqara,,,ANT number 261393; lot count 1; accn=YPM.01950,burial goods,textile,Old Kingdom,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:a467ca61-4edf-4c87-a554-24df5f0ebbed/full/full/0/default.jpg
15,2267578,urn:uuid:fd488ce5-680f-4c1d-9ca9-6068296087d6,2024-01-09T09:26:57.000Z,YPM ANT 261394,"(12) Sample of fine linen on card that reads ""specimens of mummy cloth of the [6th] Dynasty but the name of the reigning Pharaoh unknown - Before BC 2250. From Sakkarah."" Plate II Saqqara, Egypt.; YPM ANT 261394",,,,,,,Africa,Egypt,,,Saqqara,,,ANT number 261394; lot count 1; accn=YPM.01950,burial goods,textile,Old Kingdom,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:3f8a5b71-e599-44c7-b622-8fb19cb1915a/full/full/0/default.jpg
16,2266288,urn:uuid:0c4bb7d7-181d-4a11-a52b-84ddabc1c085,2024-01-09T09:26:57.000Z,YPM ANT 261413,"(134 Pl.24) Sample of medium texture linen on card that reads ""specimens of cloth used by the Egyptians to wrap their mummies with, during the Greek and Roman periods. After BC 330. From Abydos."" Abydos, Egypt.; YPM ANT 261413",,,,,,,Africa,Egypt,,,Abydos,,,ANT number 261413; lot count 1; accn=YPM.01950,textiles & weaving equipment,textile,Greco-Roman,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:63315a79-e065-486b-b7a7-0d99476b0ffd/full/full/0/default.jpg
17,2266294,urn:uuid:677173b9-3608-4850-9aab-d696c3e71ac5,2024-01-09T09:26:57.000Z,YPM ANT 261414,"(135 Pl.24) Sample of coarse linen on card that reads ""specimens of cloth used by the Egyptians to wrap their mummies with, during the Greek and Roman periods. After BC 330. From Abydos."" Abydos, Egypt.; YPM ANT 261414",,,,,,,Africa,Egypt,,,Abydos,,,ANT number 261414; lot count 1; accn=YPM.01950,textiles & weaving equipment,textile,Greco-Roman,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:803bf6f0-b78b-4c6c-bc25-d8cb566c2155/full/full/0/default.jpg
18,2266300,urn:uuid:2f0b91a7-b00e-42e9-83f9-db69939b8942,2024-01-09T09:26:57.000Z,YPM ANT 261415,"(136 Pl.24) Sample of coarse linen on card that reads ""specimens of cloth used by the Egyptians to wrap their mummies with, during the Greek and Roman periods. After BC 330. From Abydos."" Abydos, Egypt.; YPM ANT 261415",,,,,,,Africa,Egypt,,,Abydos,,,ANT number 261415; lot count 1; accn=YPM.01950,textiles & weaving equipment,textile,Greco-Roman,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:5675b1a5-2577-4e3e-b3dd-3970053a9363/full/full/0/default.jpg
19,2266306,urn:uuid:341f4edf-e975-49f5-838b-0d29b099e90f,2024-01-09T09:26:57.000Z,YPM ANT 261416,"(137 Pl.24) Sample of medium texture linen on card that reads ""specimens of cloth used by the Egyptians to wrap their mummies with, during the Greek and Roman periods. After BC 330. From Abydos."" Abydos, Egypt.; YPM ANT 261416",,,,,,,Africa,Egypt,,,Abydos,,,ANT number 261416; lot count 1; accn=YPM.01950,textiles & weaving equipment,textile,Greco-Roman,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:6b65a348-8c42-4d91-8dce-5dfa2e833667/full/full/0/default.jpg
20,2266312,urn:uuid:c8a47ce3-bf4f-4bd6-bffd-318a1b223b98,2024-01-09T09:26:57.000Z,YPM ANT 261417,"(138 Pl.24) Sample of medium texture linen on card that reads ""specimens of cloth used by the Egyptians to wrap their mummies with, during the Greek and Roman periods. After BC 330. From Abydos."" Abydos, Egypt.; YPM ANT 261417",,,,,,,Africa,Egypt,,,Abydos,,,ANT number 261417; lot count 1; accn=YPM.01950,textiles & weaving equipment,textile,Greco-Roman,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:bd5b487f-2535-4e68-9a27-159fbd7dcd5a/full/full/0/default.jpg
21,2266318,urn:uuid:a62891d9-3d4a-4e0f-a61e-d43f9846ac8f,2024-01-09T09:26:57.000Z,YPM ANT 261418,"(139 Pl.24) Sample of medium texture linen on card that reads ""specimens of cloth used by the Egyptians to wrap their mummies with, during the Greek and Roman periods. After BC 330. From Abydos."" Abydos, Egypt.; YPM ANT 261418",,,,,,,Africa,Egypt,,,Abydos,,,ANT number 261418; lot count 1; accn=YPM.01950,textiles & weaving equipment,textile,Greco-Roman,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:efb85239-de4a-4e3e-8eb2-9de1460ff64b/full/full/0/default.jpg
22,2259869,urn:uuid:ec27d232-8f51-4ec3-9526-857f3cbf6cb4,2023-12-28T21:57:03.000Z,YPM ANT 006192,"(187 Pl.32) Mummy cloth. Ptolemaic period. After B.C. 330. In the fields, surrounding the Great Pyramids. Egypt.; YPM ANT 006192",,,,,,,Africa,Egypt,,,Giza,,,ANT number 6192; lot count 1; accn=YPM.01950,burial goods,textile,Greco-Roman,African : Egypt,,,,,https://images.collections.yale.edu/iiif/2/ypm:2316ad3b-5118-4001-bfe4-5c3f2094fda2/full/full/0/default.jpg
